method,time_s,wet_volume_proxy_m3
reference,10,14988748.0
FrozenGlobal,10,11073676.0
reference,20,26914376.0
FrozenGlobal,20,20358458.0
reference,30,39035104.0
FrozenGlobal,30,26220596.0
reference,40,39227492.0
FrozenGlobal,40,25835770.0
reference,50,39354200.0
FrozenGlobal,50,27732662.0
reference,60,39433732.0
FrozenGlobal,60,29721308.0
reference,70,39546452.0
FrozenGlobal,70,30681080.0
reference,80,39734388.0
FrozenGlobal,80,31688108.0
reference,90,39914420.0
FrozenGlobal,90,33139692.0
reference,100,40124504.0
FrozenGlobal,100,34158672.0
reference,110,40155132.0
FrozenGlobal,110,34316696.0
reference,120,40176900.0
FrozenGlobal,120,34516512.0
reference,130,40304396.0
FrozenGlobal,130,35196016.0
reference,140,40391624.0
FrozenGlobal,140,35217588.0
reference,150,40464528.0
FrozenGlobal,150,35218068.0
reference,160,40543940.0
FrozenGlobal,160,35815280.0
reference,170,40666108.0
FrozenGlobal,170,36613756.0
reference,180,40784260.0
FrozenGlobal,180,37450056.0
reference,190,40865248.0
FrozenGlobal,190,38079620.0
reference,200,40930284.0
FrozenGlobal,200,38512940.0
reference,210,41013616.0
FrozenGlobal,210,38827016.0
reference,220,41089560.0
FrozenGlobal,220,38204232.0
reference,230,41164732.0
FrozenGlobal,230,37486916.0
reference,240,41264056.0
FrozenGlobal,240,36921212.0
reference,250,41327096.0
FrozenGlobal,250,36449592.0
reference,260,41388572.0
FrozenGlobal,260,36044964.0
reference,270,41439964.0
FrozenGlobal,270,35688116.0
reference,280,41480804.0
FrozenGlobal,280,35364352.0
reference,290,41518728.0
FrozenGlobal,290,35065448.0
reference,300,41563204.0
FrozenGlobal,300,34786116.0
reference,310,41612540.0
FrozenGlobal,310,34521280.0
reference,320,41663760.0
FrozenGlobal,320,34268508.0
reference,330,41710484.0
FrozenGlobal,330,34026076.0
reference,340,41748496.0
FrozenGlobal,340,33793448.0
reference,350,41780612.0
FrozenGlobal,350,33569604.0
reference,360,41824528.0
FrozenGlobal,360,33352696.0
reference,370,41879076.0
FrozenGlobal,370,33142812.0
reference,380,41924304.0
FrozenGlobal,380,32939500.0
reference,390,41946740.0
FrozenGlobal,390,32741212.0
reference,400,41976904.0
FrozenGlobal,400,32546820.0
reference,410,42009236.0
FrozenGlobal,410,32355256.0
reference,420,42044120.0
FrozenGlobal,420,32166330.0
reference,430,42083068.0
FrozenGlobal,430,31979616.0
reference,440,42118516.0
FrozenGlobal,440,31793800.0
reference,450,42136064.0
FrozenGlobal,450,31608408.0
reference,460,42152704.0
FrozenGlobal,460,31423672.0
reference,470,42169972.0
FrozenGlobal,470,31238674.0
reference,480,42184736.0
FrozenGlobal,480,31053632.0
reference,490,42212104.0
FrozenGlobal,490,30868608.0
reference,500,42242892.0
FrozenGlobal,500,30684526.0
reference,510,42271352.0
FrozenGlobal,510,30500676.0
reference,520,42275748.0
FrozenGlobal,520,30316798.0
reference,530,42269020.0
FrozenGlobal,530,30133196.0
reference,540,42267332.0
FrozenGlobal,540,29949732.0
reference,550,42271060.0
FrozenGlobal,550,29766284.0
reference,560,42276216.0
FrozenGlobal,560,29582730.0
reference,570,42287792.0
FrozenGlobal,570,29399720.0
reference,580,42293568.0
