time_s,method,series_role,gyirong_cctv_arrival_Q,rasuwagadhi_signal_loss_Q,syabrubesi_signal_loss_Q
0,FrozenGlobal,frozen_method,-38.95297622680664,143.80941772460938,169.83746337890625
10,FrozenGlobal,frozen_method,-111.539794921875,417.9683837890625,-1.7977581024169922
20,FrozenGlobal,frozen_method,19.788393020629883,546.4849853515625,-96.29329681396484
30,FrozenGlobal,frozen_method,332.85931396484375,636.9641723632812,-182.4688262939453
40,FrozenGlobal,frozen_method,546.8594360351562,832.169921875,-190.15615844726562
50,FrozenGlobal,frozen_method,849.5050048828125,1106.55908203125,-81.17017364501953
60,FrozenGlobal,frozen_method,1084.5897216796875,1241.177734375,-37.63996887207031
70,FrozenGlobal,frozen_method,1306.2138671875,1363.216552734375,-146.30783081054688
80,FrozenGlobal,frozen_method,1515.248291015625,1479.270263671875,-292.25323486328125
90,FrozenGlobal,frozen_method,1517.736572265625,1560.717041015625,-240.39303588867188
100,FrozenGlobal,frozen_method,1544.248291015625,1692.18798828125,-116.37794494628906
110,FrozenGlobal,frozen_method,1747.485595703125,1789.3330078125,-148.19329833984375
120,FrozenGlobal,frozen_method,1863.3145751953125,1827.9564208984375,-142.94854736328125
130,FrozenGlobal,frozen_method,2050.301025390625,1964.222900390625,-75.78399658203125
140,FrozenGlobal,frozen_method,2417.732421875,2168.86376953125,-80.12863159179688
150,FrozenGlobal,frozen_method,2760.310791015625,2330.73583984375,-193.37237548828125
160,FrozenGlobal,frozen_method,3287.0439453125,2632.03125,-377.6275939941406
170,FrozenGlobal,frozen_method,3915.7314453125,2919.10205078125,-397.5767822265625
180,FrozenGlobal,frozen_method,4121.77685546875,3177.892578125,-369.9425048828125
190,FrozenGlobal,frozen_method,4347.06640625,3281.57470703125,-398.12591552734375
200,FrozenGlobal,frozen_method,4151.3544921875,3134.1015625,-400.3242492675781
210,FrozenGlobal,frozen_method,3647.417236328125,3094.9306640625,-443.8763122558594
220,FrozenGlobal,frozen_method,3361.166748046875,3430.5751953125,-462.6788024902344
230,FrozenGlobal,frozen_method,3251.0048828125,4011.950927734375,-411.2950134277344
240,FrozenGlobal,frozen_method,3246.8291015625,4491.36865234375,-329.9933776855469
250,FrozenGlobal,frozen_method,3375.352783203125,4924.0361328125,-243.67996215820312
260,FrozenGlobal,frozen_method,3641.968505859375,5315.982421875,-159.58709716796875
270,FrozenGlobal,frozen_method,4031.955078125,5671.9677734375,-74.38958740234375
280,FrozenGlobal,frozen_method,4526.5341796875,5993.0556640625,8.1456298828125
290,FrozenGlobal,frozen_method,5111.021484375,6283.005859375,90.2403564453125
300,FrozenGlobal,frozen_method,5762.30517578125,6545.439453125,173.6964111328125
310,FrozenGlobal,frozen_method,6465.37890625,6782.93798828125,258.80670166015625
320,FrozenGlobal,frozen_method,7202.02880859375,6994.54541015625,348.5648193359375
330,FrozenGlobal,frozen_method,7954.85888671875,7183.63623046875,442.12127685546875
340,FrozenGlobal,frozen_method,8707.6708984375,7354.203125,540.7587890625
350,FrozenGlobal,frozen_method,9446.650390625,7506.69873046875,646.0238647460938
360,FrozenGlobal,frozen_method,10157.248046875,7642.8896484375,756.9462890625
370,FrozenGlobal,frozen_method,10825.787109375,7763.4970703125,870.4569091796875
380,FrozenGlobal,frozen_method,11440.0888671875,7870.541015625,989.4241943359375
390,FrozenGlobal,frozen_method,11993.3056640625,7964.2529296875,1113.425048828125
400,FrozenGlobal,frozen_method,12476.1953125,8046.896484375,1241.470458984375
410,FrozenGlobal,frozen_method,12885.8076171875,8118.2353515625,1374.215576171875
420,FrozenGlobal,frozen_method,13224.3154296875,8178.90625,1511.17822265625
430,FrozenGlobal,frozen_method,13498.7568359375,8230.2578125,1650.6981201171875
440,FrozenGlobal,frozen_method,13712.427734375,8273.611328125,1794.2652587890625
450,FrozenGlobal,frozen_method,13867.0927734375,8309.3408203125,1941.670654296875
460,FrozenGlobal,frozen_method,13971.9462890625,8336.728515625,2092.37841796875
470,FrozenGlobal,frozen_method,14029.8369140625,8356.15234375,2245.807861328125
480,FrozenGlobal,frozen_method,14040.296875,8368.08984375,2401.824462890625
490,FrozenGlobal,frozen_method,14013.279296875,8372.7666015625,2559.0400390625
500,FrozenGlobal,frozen_method,13951.994140625,8371.4853515625,2717.879150390625
510,FrozenGlobal,frozen_method,13862.6611328125,8364.7783203125,2880.43505859375
520,FrozenGlobal,frozen_method,13749.5751953125,8350.7783203125,3045.529296875
530,FrozenGlobal,frozen_method,13609.9013671875,8332.6005859375,3211.82763671875
540,FrozenGlobal,frozen_method,13450.912109375,8308.306640625,3381.51953125
550,FrozenGlobal,frozen_method,13278.4736328125,8280.228515625,3553.1904296875
560,FrozenGlobal,frozen_method,13096.3388671875,8248.154296875,3726.602783203125
570,FrozenGlobal,frozen_method,12905.4775390625,8211.7490234375,3901.65673828125
580,FrozenGlobal,frozen_method,12709.3271484375,8171.49951171875,4077.247802734375
590,FrozenGlobal,frozen_method,12506.3115234375,8127.9677734375,4254.3544921875
600,FrozenGlobal,frozen_method,12297.1279296875,8083.2919921875,4434.24462890625
610,FrozenGlobal,frozen_method,12081.56640625,8037.20361328125,4616.294921875
620,FrozenGlobal,frozen_method,11861.767578125,7988.7265625,4800.98974609375
630,FrozenGlobal,frozen_method,11639.509765625,7941.1533203125,4988.10400390625
640,FrozenGlobal,frozen_method,11416.39453125,7895.2001953125,5177.7392578125
650,FrozenGlobal,frozen_method,11195.2705078125,7851.93701171875,5369.322265625
660,FrozenGlobal,frozen_method,10978.5009765625,7807.353515625,5564.87109375
670,FrozenGlobal,frozen_method,10766.8037109375,7763.626953125,5762.271484375
680,FrozenGlobal,frozen_method,10560.61328125,7724.1474609375,5961.78076171875
690,FrozenGlobal,frozen_method,10361.8828125,7682.7548828125,6164.33251953125
700,FrozenGlobal,frozen_method,10169.609375,7643.45654296875,6368.13623046875
710,FrozenGlobal,frozen_method,9982.7900390625,7607.12255859375,6573.3134765625
720,FrozenGlobal,frozen_method,9802.099609375,7572.4736328125,6781.13330078125
730,FrozenGlobal,frozen_method,9631.54296875,7540.73876953125,6989.0673828125
740,FrozenGlobal,frozen_method,9464.2060546875,7512.51171875,7199.86279296875
750,FrozenGlobal,frozen_method,9302.375,7484.142578125,7410.904296875
760,FrozenGlobal,frozen_method,9147.375,7458.77734375,7624.3935546875
770,FrozenGlobal,frozen_method,9000.6123046875,7432.8876953125,7838.3505859375
780,FrozenGlobal,frozen_method,8859.447265625,7410.02734375,8053.71484375
790,FrozenGlobal,frozen_method,8726.11328125,7388.12158203125,8269.6904296875
800,FrozenGlobal,frozen_method,8598.17578125,7367.7138671875,8485.6259765625
810,FrozenGlobal,frozen_method,8475.79296875,7349.109375,8701.298828125
820,FrozenGlobal,frozen_method,8356.841796875,7332.140625,8918.3818359375
830,FrozenGlobal,frozen_method,8245.7568359375,7316.72998046875,9134.263671875
840,FrozenGlobal,frozen_method,8143.13330078125,7302.6953125,9349.728515625
850,FrozenGlobal,frozen_method,8046.087890625,7291.73828125,9563.732421875
860,FrozenGlobal,frozen_method,7952.6796875,7283.0078125,9777.5751953125
870,FrozenGlobal,frozen_method,7865.6259765625,7274.6708984375,9990.408203125
880,FrozenGlobal,frozen_method,7780.69775390625,7269.697265625,10202.677734375
890,FrozenGlobal,frozen_method,7701.25048828125,7265.93505859375,10413.279296875
900,FrozenGlobal,frozen_method,7628.3095703125,7263.56787109375,10625.03515625
910,FrozenGlobal,frozen_method,7559.9326171875,7262.6474609375,10836.7041015625
920,FrozenGlobal,frozen_method,7496.32763671875,7260.4140625,11047.7421875
930,FrozenGlobal,frozen_method,7437.2099609375,7259.2509765625,11256.267578125
940,FrozenGlobal,frozen_method,7381.8994140625,7256.47509765625,11462.064453125
950,FrozenGlobal,frozen_method,7326.99658203125,7254.595703125,11666.8203125
960,FrozenGlobal,frozen_method,7273.58056640625,7253.3994140625,11867.6484375
970,FrozenGlobal,frozen_method,7224.41357421875,7251.8017578125,12066.400390625
980,FrozenGlobal,frozen_method,7178.8046875,7248.09375,12264.841796875
990,FrozenGlobal,frozen_method,7134.7197265625,7244.58740234375,12462.337890625
1000,FrozenGlobal,frozen_method,7094.259765625,7240.763671875,12656.720703125
1010,FrozenGlobal,frozen_method,7054.64306640625,7237.2822265625,12847.23828125
1020,FrozenGlobal,frozen_method,7017.99267578125,7235.9814453125,13036.8359375
1030,FrozenGlobal,frozen_method,6982.6064453125,7229.88671875,13224.935546875
1040,FrozenGlobal,frozen_method,6948.091796875,7223.71240234375,13412.203125
1050,FrozenGlobal,frozen_method,6915.07275390625,7216.23583984375,13597.341796875
1060,FrozenGlobal,frozen_method,6882.482421875,7209.93359375,13780.474609375
1070,FrozenGlobal,frozen_method,6849.92431640625,7202.48486328125,13964.609375
1080,FrozenGlobal,frozen_method,6820.67138671875,7194.2255859375,14146.83203125
1090,FrozenGlobal,frozen_method,6792.0048828125,7187.80810546875,14330.400390625
1100,FrozenGlobal,frozen_method,6763.5791015625,7182.3857421875,14515.228515625
