time_s,gyirong_cctv_arrival_Q,gyirong_cctv_arrival_Qdebris,gyirong_cctv_arrival_hmax,gyirong_cctv_arrival_stage,gyirong_cctv_arrival_cmax,gyirong_cctv_arrival_wet_width_m,rasuwagadhi_signal_loss_Q,rasuwagadhi_signal_loss_Qdebris,rasuwagadhi_signal_loss_hmax,rasuwagadhi_signal_loss_stage,rasuwagadhi_signal_loss_cmax,rasuwagadhi_signal_loss_wet_width_m,syabrubesi_signal_loss_Q,syabrubesi_signal_loss_Qdebris,syabrubesi_signal_loss_hmax,syabrubesi_signal_loss_stage,syabrubesi_signal_loss_cmax,syabrubesi_signal_loss_wet_width_m,method,series_role
0,-38.95297622680664,0.0,1.216796875,1809.663818359375,0.0,90.0,143.80941772460938,0.0,2.64453125,1772.743408203125,0.0,60.0,169.83746337890625,0.0,2.73828125,1439.5631103515625,0.0,60.0,FrozenGlobal,frozen_method
10,-111.539794921875,-0.17066341638565063,1.2059470415115356,1809.65185546875,0.00449253898113966,90.0,417.9683837890625,0.0,2.622250556945801,1772.7200927734375,0.0,60.0,-1.7977581024169922,0.050848521292209625,2.72035813331604,1439.537109375,0.00873673614114523,60.0,FrozenGlobal,frozen_method
20,19.788393020629883,0.26993992924690247,1.204487919807434,1809.648193359375,0.0110012236982584,90.0,546.4849853515625,1.5002973079681396,2.6076200008392334,1772.7044677734375,0.0028308499604463577,60.0,-96.29329681396484,-0.2681181728839874,2.7105934619903564,1439.521240234375,0.008889417164027691,60.0,FrozenGlobal,frozen_method
30,332.85931396484375,5.167486667633057,1.2033387422561646,1809.6444091796875,0.021260138601064682,90.0,636.9641723632812,0.0,2.594043254852295,1772.689697265625,0.0,60.0,-182.4688262939453,-0.09628794342279434,2.706850290298462,1439.5098876953125,0.0040482524782419205,60.0,FrozenGlobal,frozen_method
40,546.8594360351562,13.505826950073242,1.2039586305618286,1809.64208984375,0.02903212420642376,90.0,832.169921875,0.0,2.5837948322296143,1772.6773681640625,0.0,60.0,-190.15615844726562,-0.4624360203742981,2.7055747509002686,1439.4986572265625,0.006227101199328899,60.0,FrozenGlobal,frozen_method
50,849.5050048828125,31.485815048217773,1.2035999298095703,1809.638916015625,0.04000129923224449,90.0,1106.55908203125,0.0,2.5774083137512207,1772.6690673828125,0.0,60.0,-81.17017364501953,0.1512165665626526,2.700073003768921,1439.4844970703125,0.006556172855198383,60.0,FrozenGlobal,frozen_method
60,1084.5897216796875,48.018341064453125,1.2050457000732422,1809.637451171875,0.04581698030233383,90.0,1241.177734375,0.0,2.5663397312164307,1772.65576171875,0.0,60.0,-37.63996887207031,0.4598885178565979,2.6961143016815186,1439.4735107421875,0.0077360873110592365,60.0,FrozenGlobal,frozen_method
70,1306.2138671875,65.98101806640625,1.2020379304885864,1809.6319580078125,0.05220478028059006,90.0,1363.216552734375,4.123785018920898,2.5560262203216553,1772.643798828125,0.003339253831654787,60.0,-146.30783081054688,-0.325516939163208,2.691145181655884,1439.46142578125,0.00992622971534729,60.0,FrozenGlobal,frozen_method
80,1515.248291015625,93.4742431640625,1.2017266750335693,1809.629150390625,0.06233740597963333,90.0,1479.270263671875,7.823159217834473,2.5484213829040527,1772.6329345703125,0.005984533578157425,60.0,-292.25323486328125,-0.8732806444168091,2.6856298446655273,1439.448486328125,0.009112166240811348,60.0,FrozenGlobal,frozen_method
90,1517.736572265625,91.48699951171875,1.2025617361068726,1809.626708984375,0.06348321586847305,90.0,1560.717041015625,4.334156036376953,2.540013074874878,1772.6219482421875,0.0036792131140828133,60.0,-240.39303588867188,-0.540757417678833,2.67989182472229,1439.431884765625,0.00941164419054985,60.0,FrozenGlobal,frozen_method
100,1544.248291015625,94.42898559570312,1.2006276845932007,1809.621826171875,0.0663241595029831,90.0,1692.18798828125,0.8432411551475525,2.531036615371704,1772.6112060546875,0.0009451436344534159,60.0,-116.37794494628906,0.3562201261520386,2.6728875637054443,1439.413330078125,0.00952719897031784,60.0,FrozenGlobal,frozen_method
110,1747.485595703125,117.51688385009766,1.2007341384887695,1809.61962890625,0.07345572113990784,90.0,1789.3330078125,0.0,2.5237865447998047,1772.6025390625,0.0,60.0,-148.19329833984375,0.6075350046157837,2.6654508113861084,1439.3963623046875,0.007968717254698277,60.0,FrozenGlobal,frozen_method
120,1863.3145751953125,136.35540771484375,1.2018749713897705,1809.618896484375,0.07974846661090851,90.0,1827.9564208984375,0.0,2.517960786819458,1772.5953369140625,0.0,60.0,-142.94854736328125,1.1930445432662964,2.6566085815429688,1439.3775634765625,0.005621619522571564,60.0,FrozenGlobal,frozen_method
130,2050.301025390625,165.2396697998047,1.200636625289917,1809.615478515625,0.08807254582643509,90.0,1964.222900390625,1.26741361618042,2.5077672004699707,1772.583984375,0.0008298715692944825,60.0,-75.78399658203125,1.5657451152801514,2.648961067199707,1439.3597412109375,0.005253493785858154,60.0,FrozenGlobal,frozen_method
140,2417.732421875,219.48486328125,1.1993547677993774,1809.6116943359375,0.09897647053003311,90.0,2168.86376953125,7.090127944946289,2.4968230724334717,1772.5706787109375,0.003700531553477049,60.0,-80.12863159179688,1.421555519104004,2.6451120376586914,1439.3472900390625,0.008238705806434155,60.0,FrozenGlobal,frozen_method
150,2760.310791015625,280.9447937011719,1.2001852989196777,1809.6099853515625,0.10178378969430923,60.0,2330.73583984375,21.575510025024414,2.489278793334961,1772.5601806640625,0.00992630049586296,60.0,-193.37237548828125,0.3837571144104004,2.6430461406707764,1439.3380126953125,0.01098008081316948,60.0,FrozenGlobal,frozen_method
160,3287.0439453125,378.40093994140625,1.1970041990280151,1809.6038818359375,0.1158633828163147,60.0,2632.03125,35.28232955932617,2.476263999938965,1772.5455322265625,0.014189204201102257,60.0,-377.6275939941406,-1.2722606658935547,2.6400132179260254,1439.3291015625,0.011894667521119118,60.0,FrozenGlobal,frozen_method
170,3915.7314453125,494.8807373046875,1.1918460130691528,1809.595703125,0.12637604773044586,60.0,2919.10205078125,53.68501281738281,2.4617245197296143,1772.52880859375,0.019321486353874207,60.0,-397.5767822265625,-1.6321022510528564,2.6375045776367188,1439.3209228515625,0.013509209267795086,60.0,FrozenGlobal,frozen_method
180,4121.77685546875,520.5022583007812,1.1845035552978516,1809.5853271484375,0.12632854282855988,60.0,3177.892578125,80.40962219238281,2.457258462905884,1772.521484375,0.026203330606222153,60.0,-369.9425048828125,-1.3387625217437744,2.631410837173462,1439.3082275390625,0.013734712265431881,60.0,FrozenGlobal,frozen_method
190,4347.06640625,552.15185546875,1.174390435218811,1809.572265625,0.14068947732448578,90.0,3281.57470703125,99.45758056640625,2.4502859115600586,1772.5103759765625,0.030978795140981674,60.0,-398.12591552734375,-1.6532340049743652,2.628350257873535,1439.2994384765625,0.01467165257781744,60.0,FrozenGlobal,frozen_method
200,4151.3544921875,489.92041015625,1.1669366359710693,1809.5611572265625,0.13188281655311584,90.0,3134.1015625,97.90888977050781,2.4401886463165283,1772.496337890625,0.03181961923837662,60.0,-400.3242492675781,-2.970381736755371,2.624131202697754,1439.289794921875,0.018110787495970726,60.0,FrozenGlobal,frozen_method
210,3647.417236328125,369.98297119140625,1.1629942655563354,1809.5540771484375,0.1152125746011734,90.0,3094.9306640625,102.32901763916016,2.4324069023132324,1772.4835205078125,0.03374699130654335,60.0,-443.8763122558594,-5.023656368255615,2.617741107940674,1439.2781982421875,0.022268716245889664,60.0,FrozenGlobal,frozen_method
220,3361.166748046875,296.3211364746094,1.159817099571228,1809.5479736328125,0.08515622466802597,60.0,3430.5751953125,130.84219360351562,2.427671432495117,1772.47412109375,0.03872232884168625,60.0,-462.6788024902344,-5.200974941253662,2.607417106628418,1439.2620849609375,0.02235735021531582,60.0,FrozenGlobal,frozen_method
