baseline,metric,mean_improvement,wins,ties,losses,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p_holm_within_baseline
FrozenGlobal,trajectory_h_rel_l2,-0.11750916683685908,0,0,20,-0.1372912296846171,-0.09791103534222341,1.52587890625e-05
FrozenGlobal,trajectory_momentum_rel_l2,0.48519264386861416,15,0,5,0.1856415420004194,0.778430784133787,0.0097198486328125
FrozenGlobal,change_region_h_rel_l2,0.067562392667699,20,0,0,0.061453135029495023,0.0728255303900153,1.52587890625e-05
FrozenGlobal,change_region_momentum_rel_l2,0.024185774797019964,16,0,4,0.013119600623667566,0.0349632551740727,0.0021228790283203125
FrozenGlobal,false_positive_wet_fraction,0.029639402654512176,20,0,0,0.022568146680934303,0.037555815195957555,1.52587890625e-05
FrozenGlobal,mixture_volume_relative_error,-0.03894138328028016,7,0,13,-0.08193321794178614,0.003961619928638583,0.09730720520019531
FrozenGlobal,debris_front_mae_km,0.7074147607377488,19,0,1,0.3947744608494806,1.0891975471681528,1.52587890625e-05
FrozenGlobal,final_wet_iou,0.04736318750314934,20,0,0,0.039615772652148024,0.057322858493811406,1.52587890625e-05
RandomAll_B10,trajectory_h_rel_l2,-0.1293073620350163,1,0,19,-0.15415441674394426,-0.10069655159823414,3.0517578125e-05
RandomAll_B10,trajectory_momentum_rel_l2,-0.9909743335458151,1,0,19,-1.361447718535049,-0.658334788839646,3.0517578125e-05
RandomAll_B10,change_region_h_rel_l2,0.032463023099767264,19,0,1,0.024520232995141927,0.03949673906180255,3.4332275390625e-05
RandomAll_B10,change_region_momentum_rel_l2,-0.013124491298727389,8,0,12,-0.02674922210950534,-0.0002862357825460218,0.2654533386230469
RandomAll_B10,false_positive_wet_fraction,-0.017601501353626498,3,0,17,-0.025763171130780436,-0.009564573179525946,0.0014476776123046875
RandomAll_B10,mixture_volume_relative_error,-0.010214432957135797,8,0,12,-0.047542483816516476,0.03087497169365851,0.3299827575683594
RandomAll_B10,debris_front_mae_km,0.806297234818912,19,0,1,0.4490174283377754,1.2054116517800166,4.76837158203125e-05
RandomAll_B10,final_wet_iou,-0.028587363051172765,2,0,18,-0.03644177983593583,-0.020910907035561598,4.76837158203125e-05
SupportRisk_Base_B10,trajectory_h_rel_l2,0.09581658197535496,20,0,0,0.07681550330924838,0.1151823579691127,1.52587890625e-05
SupportRisk_Base_B10,trajectory_momentum_rel_l2,-0.004129623954946049,10,0,10,-0.12835074981101913,0.11744557289137106,0.9854354858398438
SupportRisk_Base_B10,change_region_h_rel_l2,0.011176768731356113,15,0,5,0.006181848874881192,0.016406352293408717,0.00234222412109375
SupportRisk_Base_B10,change_region_momentum_rel_l2,0.038076873289735455,19,0,1,0.02679942109206205,0.04922601715515869,4.76837158203125e-05
SupportRisk_Base_B10,false_positive_wet_fraction,0.0038710164538195506,12,0,8,0.000771061927826284,0.007487511316648879,0.1063385009765625
SupportRisk_Base_B10,mixture_volume_relative_error,0.16004518255801037,20,0,0,0.1263226203651779,0.19389133443981596,1.52587890625e-05
SupportRisk_Base_B10,debris_front_mae_km,-0.11555708218102598,5,0,15,-0.2742286857221675,0.057669112205575176,0.07185173034667969
SupportRisk_Base_B10,final_wet_iou,0.012235116997037365,20,0,0,0.007984393970682457,0.017082578912659085,1.52587890625e-05
