time_s,dt_s,wall_s,total_volume_m3,debris_volume_m3,entrained_m3,ice_volume_m3,melted_m3,max_h_m,max_speed_m_s,debris_front_route_km,debris_front_upper_km,flood_front_route_km,gyirong_cctv_arrival_Q,gyirong_cctv_arrival_Qdebris,gyirong_cctv_arrival_hmax,gyirong_cctv_arrival_stage,gyirong_cctv_arrival_cmax,gyirong_cctv_arrival_wet_width_m,rasuwagadhi_signal_loss_Q,rasuwagadhi_signal_loss_Qdebris,rasuwagadhi_signal_loss_hmax,rasuwagadhi_signal_loss_stage,rasuwagadhi_signal_loss_cmax,rasuwagadhi_signal_loss_wet_width_m,syabrubesi_signal_loss_Q,syabrubesi_signal_loss_Qdebris,syabrubesi_signal_loss_hmax,syabrubesi_signal_loss_stage,syabrubesi_signal_loss_cmax,syabrubesi_signal_loss_wet_width_m,series_origin
0.975,0.9754352628321448,0.2,4737273.046875,1129570.751953125,0.0,210619.7479248047,19713.02993359859,9.704492568969728,5.981964588165283,,0.18,,-37.06879425048828,0.0,1.368072748184204,1809.8150634765625,0.0,90.0,143.5423583984375,0.0,2.853413343429565,1772.9522705078125,0.0,60.0,169.6756591796875,0.0,2.945244312286377,1439.7708740234375,0.0,60.0,ZENODO_V2_RELEASED
5.0,0.1223750364534099,0.3,9478119.7265625,5792526.5625,11.279612383805215,1074637.1337890625,106029.41583392456,9.70112133026123,7.53486967086792,,0.27,,-39.015907287597656,0.0,1.3732224702835083,1809.8201904296875,0.0,90.0,144.28622436523438,0.0,2.853470802307129,1772.952392578125,0.0,60.0,170.5795440673828,0.0,2.9452638626098637,1439.7708740234375,0.0,60.0,ZENODO_V2_RELEASED
10.0,0.1081756366448338,0.4,15380005.078125,11564173.828125,12527.069782814942,2114990.771484375,246342.5382888363,20.07247543334961,30.96914291381836,,0.45,,-40.417667388916016,0.0,1.3654695749282837,1809.8125,0.0,90.0,145.2203369140625,0.0,2.8536179065704346,1772.9525146484375,0.0,60.0,172.44973754882812,0.0,2.9475672245025635,1439.772705078125,0.0,60.0,ZENODO_V2_RELEASED
15.0,0.1149159473891092,0.8,21315930.46875,17301533.203125,65332.59488304611,3092860.986328125,449138.7787670232,38.91535186767578,51.78245162963867,,0.93,,-41.16900253295898,0.0,1.3502528667449951,1809.7972412109373,0.0,90.0,146.16195678710938,0.0,2.8537540435791016,1772.95263671875,0.0,60.0,175.91848754882812,0.0,2.9542410373687744,1439.779296875,0.0,60.0,ZENODO_V2_RELEASED
20.0,0.1208742198127872,1.2,27302814.84375,23020576.171875,174866.22964104172,4012680.76171875,709986.0866868139,39.57762145996094,59.23936080932617,,1.11,,-41.38904571533203,0.0,1.3309268951416016,1809.7779541015625,0.0,90.0,147.09698486328125,0.0,2.853916883468628,1772.9527587890625,0.0,60.0,180.07833862304688,0.0,2.962883710861206,1439.7874755859375,0.0,60.0,ZENODO_V2_RELEASED
25.0,0.0984384850490833,1.6,33348329.296875,28737562.5,347652.8404827928,4886157.12890625,1017176.0170769704,52.69245147705078,78.05684661865234,,1.14,,-41.35018539428711,0.0,1.311489462852478,1809.758544921875,0.0,90.0,148.04632568359375,0.0,2.854194641113281,1772.953125,0.0,60.0,184.00079345703125,0.0,2.970698595046997,1439.795166015625,0.0,60.0,ZENODO_V2_RELEASED
30.0,0.043295790756737,1.9,39423297.65625,34451405.859375,552450.7067557191,5734082.8125,1349916.397416511,67.82135772705078,79.59476470947266,,1.38,,-41.30490112304688,0.0,1.296087622642517,1809.7431640625,0.0,90.0,149.06832885742188,0.0,2.8547420501708984,1772.95361328125,0.0,60.0,187.31903076171875,0.0,2.9768083095550537,1439.80126953125,0.0,60.0,ZENODO_V2_RELEASED
35.0,0.120482993071505,2.3,39540621.09375,34310295.703125,693574.2056008196,5494218.75,1589780.292278928,96.48919677734376,81.14219665527344,,1.59,,-41.33089447021485,0.0,1.2856228351593018,1809.732666015625,0.0,90.0,150.24349975585938,0.0,2.8557169437408447,1772.95458984375,0.0,60.0,190.02386474609372,0.0,2.9813332557678223,1439.8056640625,0.0,60.0,ZENODO_V2_RELEASED
40.0,0.0469104791394912,2.7,39614779.6875,34154743.359375,789828.1188662862,5271298.2421875,1812701.040748016,141.1873016357422,83.82684326171875,,2.13,,-41.467716217041016,0.0,1.2801117897033691,1809.7271728515625,0.0,90.0,151.62542724609375,0.0,2.8572726249694824,1772.9561767578125,0.0,60.0,192.20590209960935,0.0,2.9845423698425293,1439.808837890625,0.0,60.0,ZENODO_V2_RELEASED
45.0,0.1089290399480731,3.1,39683946.09375,34029362.109375,877477.4549182272,5084573.73046875,1999425.7824153968,153.78330993652344,77.7947769165039,,2.49,,-41.75139236450195,0.0,1.2794411182403564,1809.7264404296875,0.0,90.0,153.21197509765625,0.0,2.8593554496765137,1772.958251953125,0.0,60.0,193.97116088867188,0.0,2.986646175384521,1439.810791015625,0.0,60.0,ZENODO_V2_RELEASED
