method,mean_selected_patch_count,mean_active_coverage
FrozenGlobal,0.0,0.0
RandomAll_B05,10.0,0.05447723926440392
RandomAll_B10,19.0,0.10404906029767233
RandomAll_B20,37.0,0.20304537534065215
RandomSupport_B05,10.0,0.07392418568916179
RandomSupport_B10,19.0,0.14128921063132643
RandomSupport_B20,37.0,0.2769641024053895
EngineeringROI_B05,10.0,0.05748532153823766
EngineeringROI_B10,19.0,0.1289875982605573
EngineeringROI_B20,37.0,0.25499509867108416
DynamicOnly_B10,19.0,0.17865577079499262
FrontOnly_B10,2.042708333333333,0.03712972286672805
SupportRiskOnly_B10,19.0,0.0688381037403462
SectionOnly_B10,2.2100694444444446,0.042502181854458206
EngineeringROI_NoDiversity_B10,19.0,0.11781592646336862
