method,mean_selected_dynamic_rank,mean_selected_front_rank,mean_selected_support_risk_rank,mean_selected_section_rank,mean_selected_base_score,selected_section_patch_count
FrozenGlobal,,,,,,
RandomAll_B05,,,,,,
RandomAll_B10,,,,,,
RandomAll_B20,,,,,,
RandomSupport_B05,,,,,,
RandomSupport_B10,,,,,,
RandomSupport_B20,,,,,,
EngineeringROI_B05,0.7612664237051493,0.07429687499999998,0.6358754426498259,0.11342592592592592,0.3962161668202252,1.2336805555555554
EngineeringROI_B10,0.6974814283844547,0.033060733430799204,0.5791954490582736,0.07737877680311887,0.3467790969191616,1.9274305555555555
EngineeringROI_B20,0.641398893040777,0.02661802427427425,0.4372800094685406,0.04065158908908905,0.2864871289681702,1.9951388888888888
DynamicOnly_B10,0.8660349539763531,,,,,
FrontOnly_B10,,0.7866174768518519,,,,
SupportRiskOnly_B10,,,0.7806452524395909,,,
SectionOnly_B10,,,,0.732494212962963,,2.2100694444444446
EngineeringROI_NoDiversity_B10,0.7247375183790218,0.05671448586744637,0.6220331583234792,0.0724993908382066,0.3689961383520384,1.617361111111111
