method,scenario_id,time_s,budget,selected_patch_ids,budget_fraction,budget_max_count,candidate_count,selected_count,actual_active_fraction,predicted_front_chainage_m,front_available,mean_selected_dynamic_rank,mean_selected_front_rank,mean_selected_support_risk_rank,mean_selected_section_rank,mean_selected_base_score,selected_section_patch_count,first_pass_count,second_pass_count,global_forward_runtime_ms,roi_scoring_runtime_ms,local_correction_runtime_ms,support_guard_runtime_ms
EngineeringROI_B05,JILONG_EI_0009,10,B05,78;128;195;106;235;84;202;192;4;29,0.05,10,128,10,0.0540236310312349,,False,0.7875,0.0,0.7782608695652173,0.1,0.4164402173913043,1,10,0,308.58579999767244,74.28419998905156,79.50129998789635,19.088699991698377
EngineeringROI_B05,JILONG_EI_0009,20,B05,195;77;13;112;202;33;121;206;5;46,0.05,10,126,10,0.0486404116669602,13770.0,True,0.8150793650793652,0.1,0.674561403508772,0.1,0.4224101921470343,1,10,0,53.219100009300746,28.65389999351464,34.37839999969583,2.161199998226948
EngineeringROI_B05,JILONG_EI_0009,30,B05,77;74;29;210;50;69;105;192;119;128,0.05,10,126,10,0.0582582260645833,16950.0,True,0.7515873015873015,0.1,0.7368421052631579,0.0666666666666666,0.4137740183792815,1,10,0,53.074800001923,6.908999988809228,33.86019999743439,2.200500006438233
EngineeringROI_B05,JILONG_EI_0009,40,B05,77;84;106;210;74;50;112;251;29;202,0.05,10,126,10,0.0511597276994586,17100.0,True,0.8269841269841269,0.1,0.768141592920354,0.0,0.4237814299761203,0,10,0,53.364300008979626,6.757700000889599,33.76829999615438,2.4948000063886866
EngineeringROI_B05,JILONG_EI_0009,50,B05,61;58;13;210;121;112;50;90;158;206,0.05,10,125,10,0.0574159015552373,17100.0,True,0.7687999999999999,0.1,0.746551724137931,0.0,0.4038379310344828,0,10,0,53.25910000829026,4.95740000042133,34.35149999859277,2.1875000093132257
EngineeringROI_B05,JILONG_EI_0009,60,B05,61;49;57;203;157;210;251;91;176;29,0.05,10,124,10,0.0637563078619506,17160.0,True,0.7766129032258065,0.1,0.7298245614035088,0.0,0.4016093661573287,0,10,0,52.8926999977557,5.725700000766665,35.277899994980544,2.2366000048350543
EngineeringROI_B05,JILONG_EI_0009,70,B05,60;218;195;157;34;251;66;128;10;104,0.05,10,126,10,0.0492223813279628,17820.0,True,0.7206349206349205,0.0,0.8008771929824562,0.1,0.4053780284043441,1,10,0,53.90050000278279,5.253299998003058,34.81660000397824,2.217100001871586
EngineeringROI_B05,JILONG_EI_0009,80,B05,44;218;76;13;232;46;128;4;210;157,0.05,10,128,10,0.0610761844231225,17820.0,True,0.77421875,0.1,0.7842105263157895,0.0,0.4146073190789474,0,10,0,54.06350000703242,5.301500001223758,35.408299998380244,2.221499991719611
EngineeringROI_B05,JILONG_EI_0009,90,B05,44;90;49;128;210;155;218;58;174;35,0.05,10,124,10,0.0618113039949154,17970.0,True,0.7258064516129032,0.1,0.7463636363636363,0.0,0.3930425219941349,0,10,0,54.4720000034431,4.789400001754984,36.13019999465905,2.8928999963682145
EngineeringROI_B05,JILONG_EI_0009,100,B05,28;61;218;195;128;33;74;20;121;51,0.05,10,121,10,0.0754646185418597,17970.0,True,0.6917355371900827,0.0,0.7867924528301886,0.1,0.3946319975050678,1,10,0,54.3788999930257,4.898400002275594,35.93019999971148,2.8063999925507237
EngineeringROI_B05,JILONG_EI_0009,110,B05,28;4;202;210;235;61;128;135;158;155,0.05,10,122,10,0.0783668093513335,17970.0,True,0.7196721311475409,0.1,0.7422018348623853,0.0,0.3904684915024815,0,10,0,54.72609998832922,4.834799998207018,34.88080001261551,2.233799998066388
EngineeringROI_B05,JILONG_EI_0009,120,B05,27;4;13;219;61;104;252;210;33;217,0.05,10,122,10,0.0716205557810262,18090.0,True,0.7729508196721311,0.1,0.7953703703703703,0.0,0.4170802975106253,0,10,0,54.36560000816826,5.308300009346567,35.31430001021363,2.2009999956935644
EngineeringROI_B05,JILONG_EI_0009,130,B05,27;235;217;60;29;112;192;4;104;210,0.05,10,123,10,0.0620563438521797,18090.0,True,0.7504065040650406,0.1,0.7866071428571428,0.0,0.4092534117305459,0,10,0,54.294899993692525,5.043800003477372,35.2633999864338,2.5938000035239384
EngineeringROI_B05,JILONG_EI_0009,140,B05,27;202;57;69;60;229;20;176;103;34,0.05,10,124,10,0.0539623710669188,18120.0,True,0.7903225806451613,0.0,0.7336363636363636,0.0666666666666666,0.3976564027370478,1,10,0,54.85939999925904,4.965000000083819,34.81659998942632,2.2923999931663275
EngineeringROI_B05,JILONG_EI_0009,150,B05,27;202;235;106;29;3;128;61;177;210,0.05,10,124,10,0.0804113606603824,18120.0,True,0.7725806451612902,0.1,0.7405405405405405,0.0,0.4032802964254577,0,10,0,53.69570000038948,5.972999992081896,35.03949999867473,2.573000005213544
EngineeringROI_B05,JILONG_EI_0009,160,B05,26;58;219;106;217;195;186;128;13;177,0.05,10,124,10,0.0542150684197226,18120.0,True,0.7120967741935483,0.0,0.8064220183486238,0.1,0.404629698135543,1,10,0,54.21729999943637,6.043900008080527,35.253499998361804,2.215300002717413
EngineeringROI_B05,JILONG_EI_0009,170,B05,58;26;106;195;201;235;29;232;88;156,0.05,10,123,10,0.0665972387071084,18090.0,True,0.767479674796748,0.0,0.7666666666666667,0.1,0.4085365853658536,1,10,0,55.17350000445731,4.916599995340221,35.12990000308491,2.2664999996777624
