method,scenario_id,time_s,budget,selected_patch_ids,budget_fraction,budget_max_count,candidate_count,selected_count,actual_active_fraction,predicted_front_chainage_m,front_available,mean_selected_dynamic_rank,mean_selected_front_rank,mean_selected_support_risk_rank,mean_selected_section_rank,mean_selected_base_score,selected_section_patch_count,first_pass_count,second_pass_count,global_forward_runtime_ms,roi_scoring_runtime_ms,local_correction_runtime_ms,support_guard_runtime_ms
SupportRiskOnly_B10,JILONG_EI_0009,10,B10,78;219;57;106;84;217;4;128;13;50;119;251;10;156;158;213;177;170;215,0.1,19,115,19,0.0778384421591074,,False,,,0.8311212814645309,,,,19,0,303.8930999900913,10.25550000485964,121.3622000068426,41.076499997871
SupportRiskOnly_B10,JILONG_EI_0009,20,B10,58;217;219;106;13;84;119;112;4;251;49;77;35;157;10;177;155;213;206,0.1,19,114,19,0.0575384214838694,,False,,,0.8481071098799631,,,,19,0,53.07020001055207,1.982000001589768,67.50839999585878,2.52540000656154
SupportRiskOnly_B10,JILONG_EI_0009,30,B10,219;57;217;77;13;90;119;251;50;112;84;157;10;177;20;121;155;185;46,0.1,19,115,19,0.0571325742202755,,False,,,0.8242562929061785,,,,19,0,53.40020000585355,2.170099993236363,67.55090001388453,2.681300000404008
SupportRiskOnly_B10,JILONG_EI_0009,40,B10,57;219;106;217;77;251;104;134;29;66;20;84;192;157;33;185;178;155;102,0.1,19,113,19,0.0741015843358271,,False,,,0.846297158826269,,,,19,0,52.7760999975726,1.872499997261912,67.1135000011418,2.2065999946789816
SupportRiskOnly_B10,JILONG_EI_0009,50,B10,58;219;106;61;232;201;119;50;157;128;3;5;100;68;213;177;133;155;206,0.1,19,112,19,0.0925484910905039,,False,,,0.8101503759398497,,,,19,0,54.16189999959897,1.881200005300343,70.13789999473374,2.1972999966237694
SupportRiskOnly_B10,JILONG_EI_0009,60,B10,74;219;128;61;106;217;50;104;158;213;177;186;156;135;19;69;13;179;41,0.1,19,111,19,0.0994861820492989,,False,,,0.8022759601706969,,,,19,0,54.55660000734497,1.920499998959713,70.37400000263005,2.2723000001860783
SupportRiskOnly_B10,JILONG_EI_0009,70,B10,219;60;217;105;58;33;35;156;128;91;158;177;103;29;229;66;4;215;99,0.1,19,110,19,0.0661377889747379,,False,,,0.8110047846889951,,,,19,0,54.6673000062583,1.912899999297224,71.28969999030232,2.486400000634603
SupportRiskOnly_B10,JILONG_EI_0009,80,B10,44;219;4;217;156;13;34;121;174;76;57;112;176;88;90;46;36;165;252,0.1,19,110,19,0.0544065058082103,,False,,,0.8263157894736842,,,,19,0,53.916899996693246,2.357999997911975,72.02019999385811,2.912099997047335
SupportRiskOnly_B10,JILONG_EI_0009,90,B10,44;235;4;156;217;49;106;203;112;74;51;177;120;215;102;170;71;158;25,0.1,19,104,19,0.1267315511788714,,False,,,0.7935222672064777,,,,19,0,56.28180000348948,1.906400008010678,69.92929999250919,2.382699996815063
SupportRiskOnly_B10,JILONG_EI_0009,100,B10,28;219;4;112;61;157;90;217;121;50;170;135;177;52;252;214;100;58;147,0.1,19,104,19,0.0899602575981499,,False,,,0.8092105263157895,,,,19,0,54.43419999210164,2.591099997516721,70.06680000631604,2.453199995215982
SupportRiskOnly_B10,JILONG_EI_0009,110,B10,13;219;128;4;201;170;156;27;120;192;106;232;61;49;252;161;52;214;212,0.1,19,104,19,0.1002442741077103,,False,,,0.8198380566801621,,,,19,0,54.15750000975095,1.8453999946359545,69.89139999495819,2.260599998407997
SupportRiskOnly_B10,JILONG_EI_0009,120,B10,218;27;157;29;216;170;61;252;20;104;112;212;177;91;32;51;135;147;133,0.1,19,102,19,0.1152070203919106,,False,,,0.8240454076367388,,,,19,0,54.97359999571927,1.8444000015733764,70.52700000349432,2.2301999997580424
SupportRiskOnly_B10,JILONG_EI_0009,130,B10,27;235;202;13;60;157;170;33;121;20;112;216;177;212;91;89;134;58;147,0.1,19,105,19,0.0776163747884616,,False,,,0.8325814536340852,,,,19,0,54.71240000042599,1.9118999916827304,70.34190000558738,2.240500005427748
SupportRiskOnly_B10,JILONG_EI_0009,140,B10,235;27;202;57;174;112;192;170;105;60;156;32;229;200;233;29;20;165;91,0.1,19,100,19,0.0751506612247398,,False,,,0.8210526315789474,,,,19,0,54.96010000933893,1.884900004370138,70.05080000089947,2.295900005265139
