comparison,metric,improved_cases,total_cases
EngineeringROI_v2_B10_vs_FrozenGlobal,trajectory_h_rel_l2,1,20
EngineeringROI_v2_B10_vs_FrozenGlobal,trajectory_momentum_rel_l2,2,20
EngineeringROI_v2_B10_vs_FrozenGlobal,change_region_h_rel_l2,0,20
EngineeringROI_v2_B10_vs_FrozenGlobal,change_region_momentum_rel_l2,3,20
EngineeringROI_v2_B10_vs_FrozenGlobal,mean_wet_iou,20,20
EngineeringROI_v2_B10_vs_FrozenGlobal,final_wet_iou,20,20
EngineeringROI_v2_B10_vs_FrozenGlobal,false_positive_wet_fraction,20,20
EngineeringROI_v2_B10_vs_FrozenGlobal,wet_overprediction_ratio,20,20
EngineeringROI_v2_B10_vs_FrozenGlobal,mixture_volume_relative_error,0,20
EngineeringROI_v2_B10_vs_FrozenGlobal,debris_front_mae_km,15,20
EngineeringROI_v2_B10_vs_FrozenGlobal,debris_front_final_error_km,2,20
EngineeringROI_v2_B10_vs_FrozenGlobal,peak_Q_relative_error,1,20
EngineeringROI_v2_B10_vs_FrozenGlobal,peak_Qdebris_relative_error,1,20
EngineeringROI_v2_B10_vs_FrozenGlobal,peak_hmax_relative_error,13,20
EngineeringROI_v2_B10_vs_FrozenGlobal,peak_stage_absolute_error,5,20
EngineeringROI_v2_B10_vs_FrozenGlobal,wet_width_relative_error,1,20
EngineeringROI_v2_B10_vs_RandomSupport_B10,trajectory_h_rel_l2,16,20
EngineeringROI_v2_B10_vs_RandomSupport_B10,trajectory_momentum_rel_l2,0,20
EngineeringROI_v2_B10_vs_RandomSupport_B10,change_region_h_rel_l2,0,20
EngineeringROI_v2_B10_vs_RandomSupport_B10,change_region_momentum_rel_l2,0,20
EngineeringROI_v2_B10_vs_RandomSupport_B10,mean_wet_iou,2,20
EngineeringROI_v2_B10_vs_RandomSupport_B10,final_wet_iou,0,20
EngineeringROI_v2_B10_vs_RandomSupport_B10,false_positive_wet_fraction,0,20
EngineeringROI_v2_B10_vs_RandomSupport_B10,wet_overprediction_ratio,0,20
EngineeringROI_v2_B10_vs_RandomSupport_B10,mixture_volume_relative_error,6,20
EngineeringROI_v2_B10_vs_RandomSupport_B10,debris_front_mae_km,19,20
EngineeringROI_v2_B10_vs_RandomSupport_B10,debris_front_final_error_km,19,20
EngineeringROI_v2_B10_vs_RandomSupport_B10,peak_Q_relative_error,1,20
EngineeringROI_v2_B10_vs_RandomSupport_B10,peak_Qdebris_relative_error,0,20
EngineeringROI_v2_B10_vs_RandomSupport_B10,peak_hmax_relative_error,5,20
EngineeringROI_v2_B10_vs_RandomSupport_B10,peak_stage_absolute_error,1,20
EngineeringROI_v2_B10_vs_RandomSupport_B10,wet_width_relative_error,0,20
EngineeringROI_v2_B10_vs_SupportRisk_Base_B10,trajectory_h_rel_l2,20,20
EngineeringROI_v2_B10_vs_SupportRisk_Base_B10,trajectory_momentum_rel_l2,0,20
EngineeringROI_v2_B10_vs_SupportRisk_Base_B10,change_region_h_rel_l2,0,20
EngineeringROI_v2_B10_vs_SupportRisk_Base_B10,change_region_momentum_rel_l2,7,20
EngineeringROI_v2_B10_vs_SupportRisk_Base_B10,mean_wet_iou,19,20
EngineeringROI_v2_B10_vs_SupportRisk_Base_B10,final_wet_iou,0,20
EngineeringROI_v2_B10_vs_SupportRisk_Base_B10,false_positive_wet_fraction,1,20
EngineeringROI_v2_B10_vs_SupportRisk_Base_B10,wet_overprediction_ratio,0,20
EngineeringROI_v2_B10_vs_SupportRisk_Base_B10,mixture_volume_relative_error,3,20
EngineeringROI_v2_B10_vs_SupportRisk_Base_B10,debris_front_mae_km,2,20
EngineeringROI_v2_B10_vs_SupportRisk_Base_B10,debris_front_final_error_km,6,20
EngineeringROI_v2_B10_vs_SupportRisk_Base_B10,peak_Q_relative_error,8,20
EngineeringROI_v2_B10_vs_SupportRisk_Base_B10,peak_Qdebris_relative_error,16,20
EngineeringROI_v2_B10_vs_SupportRisk_Base_B10,peak_hmax_relative_error,9,20
EngineeringROI_v2_B10_vs_SupportRisk_Base_B10,peak_stage_absolute_error,2,20
EngineeringROI_v2_B10_vs_SupportRisk_Base_B10,wet_width_relative_error,0,20
