method,scenario_id,time_s,budget,selected_patch_ids,budget_fraction,budget_max_count,pre_refresh_candidate_count,candidate_count,selected_count,actual_active_fraction,mean_selected_support_risk_rank,first_pass_count,second_pass_count,selected_patch_consecutive_overlap_count,selected_patch_consecutive_overlap_fraction,support_cell_count,support_fraction,blocked_local_change_cell_count,blocked_local_change_fraction,blocked_wet_creation_count,raw_local_new_wet_fraction,depth_guard_activation_fraction,depth_guard_mean_abs_clip_m,depth_guard_max_abs_clip_m,global_forward_runtime_ms,roi_scoring_runtime_ms,local_correction_runtime_ms,support_guard_runtime_ms,depth_guard_runtime_ms
EngineeringROI_v2_B05,JILONG_EI_0009,10,B05,78;219;57;106;84;217;4;128;13;50,0.05,10,115,115,10,0.0309362819796157,0.9504347826086956,10,0,0,0.0,7992,0.0611987043517547,1540,0.3811881188118812,241,0.0018454564250216,0.0047170172523374,0.0001833156129578,1.0770862102508545,292.5106000038795,9.788299998035654,82.19699999608565,41.0495000105584,11.324999999487773
EngineeringROI_v2_B05,JILONG_EI_0009,20,B05,58;90;112;235;119;201;49;77;232;29,0.05,10,114,104,10,0.0366104861743918,0.8728070175438598,10,0,0,0.0,8014,0.0613671692536239,4015,0.8397824722861326,282,0.0021594137421414,0.0076421805484298,0.0113726463168859,16.048900604248047,52.91460000444204,2.3978999961400405,36.584499990567565,1.828899999964051,1.4528999890899286
EngineeringROI_v2_B05,JILONG_EI_0009,30,B05,219;57;217;106;84;13;4;50;128;251,0.05,10,115,105,10,0.0062025713870021,0.9408695652173912,10,0,0,0.0,8591,0.0657855441799205,547,0.6753086419753086,101,0.0007734070494903,0.0042652250155064,6.613641744479537e-05,0.1216001808643341,52.70020000170916,1.7268000083277002,37.151800002902746,2.246699994429946,1.9374000112293288
EngineeringROI_v2_B05,JILONG_EI_0009,40,B05,58;235;90;112;77;119;232;201;49;10,0.05,10,116,106,10,0.0354695193390049,0.8784482758620689,10,0,0,0.0,9130,0.0699129342757157,3097,0.6686096718480138,33,0.0002526973528037,0.0129411674617699,0.0504642538726329,23.74400329589844,52.273799999966286,1.7401999939465895,36.047599991434254,1.6762999875936655,1.5965999918989835
EngineeringROI_v2_B05,JILONG_EI_0009,50,B05,219;57;217;106;84;13;50;4;61;104,0.05,10,118,108,10,0.0285241708846704,0.944915254237288,10,0,0,0.0,9462,0.0724552227948327,2859,0.76751677852349,625,0.004785934712193,0.0093115145760427,0.0273830108344554,23.44341278076172,53.16679998941254,1.7398000054527074,37.38560000783764,2.20380000246223,1.9002000044565648
EngineeringROI_v2_B05,JILONG_EI_0009,60,B05,58;90;235;112;119;232;201;49;29;10,0.05,10,118,108,10,0.0185923991699274,0.8745762711864407,10,0,0,0.0,9827,0.0752502086667534,2075,0.8546128500823723,10,7.657495539508848e-05,0.0076421805484298,0.0002115275710821,0.2059988975524902,52.79260000679642,1.7171999934362248,36.81799999321811,1.7447999998694286,1.1969000042881817
EngineeringROI_v2_B05,JILONG_EI_0009,70,B05,219;57;217;106;84;13;50;4;44;104,0.05,10,118,108,10,0.0298029726397684,0.9432203389830508,10,0,0,0.0,10481,0.0802582107495922,3142,0.8072970195272353,1708,0.0130790023814811,0.0100160041656775,0.0082011725753545,17.43691062927246,54.00280001049396,1.7060999962268395,38.00119999505114,2.1129000087967142,1.682799993432127
EngineeringROI_v2_B05,JILONG_EI_0009,80,B05,58;90;112;235;76;232;201;134;49;10,0.05,10,120,110,10,0.0174054873613036,0.8775000000000001,10,0,0,0.0,11726,0.0897917926962807,1937,0.8521777386713595,13,9.954744201361504e-05,0.0075196606197976,0.0001867730752564,0.1959414929151535,54.267500003334135,2.83720000879839,38.72060000139754,1.669299992499873,1.2202000070828944
EngineeringROI_v2_B05,JILONG_EI_0009,90,B05,219;57;106;217;84;44;50;4;13;251,0.05,10,118,108,10,0.0286543483088421,0.9364406779661018,10,0,0,0.0,12857,0.0984524201514652,1602,0.4281133083912346,540,0.0041350475913347,0.0189676164513634,0.0367978885769844,19.02285385131836,54.32640000071842,1.821800004108809,39.344799995888025,2.231899998150766,1.9869000097969547
EngineeringROI_v2_B05,JILONG_EI_0009,100,B05,58;90;28;112;235;49;232;201;104;10,0.05,10,118,108,10,0.0319240989042123,0.8932203389830509,10,0,0,0.0,13259,0.1015307333583478,3051,0.7318301751019429,337,0.0025805759968144,0.014733021418015,0.0213751718401908,12.35102081298828,54.116499988595024,1.681299996562302,37.51769999507815,2.2235000069485977,1.2827000027755275
EngineeringROI_v2_B05,JILONG_EI_0009,110,B05,219;57;13;106;217;84;4;50;128;251,0.05,10,119,109,10,0.0062025713870021,0.9369747899159664,10,0,0,0.0,13290,0.1017681157200725,549,0.6777777777777778,14,0.0001072049375531,0.0086299974730264,0.0001267388142878,0.2670037448406219,54.22510000062175,1.7836999904830009,37.5002999935532,1.6627000004518775,1.254200004041195
EngineeringROI_v2_B05,JILONG_EI_0009,120,B05,58;90;235;112;29;232;201;49;192;10,0.05,10,118,108,10,0.0185617691877694,0.890677966101695,10,0,0,0.0,13272,0.1016302808003614,2048,0.8448844884488449,20,0.0001531499107901,0.0098398817682688,0.0001861641649156,0.2269134521484375,54.20189999858849,2.752200001850724,39.2439999995986,1.6299999988405034,1.2177000025985762
EngineeringROI_v2_B05,JILONG_EI_0009,130,B05,219;57;106;217;84;13;4;50;27;128,0.05,10,118,108,10,0.026862494352597,0.9372881355932202,10,0,0,0.0,13423,0.1027865626268272,2609,0.7437286202964652,1279,0.0097939367950318,0.0126348676401896,0.0276826228946447,37.18238067626953,54.197799996472895,1.742799999192357,37.466099995072,1.7660000012256205,1.241300007677637
EngineeringROI_v2_B05,JILONG_EI_0009,140,B05,58;90;235;112;192;29;201;232;49;134,0.05,10,116,106,10,0.0185005092234533,0.8931034482758621,10,0,0,0.0,13564,0.103866269497898,2045,0.8464403973509934,23,0.0001761223974087,0.0097479918217947,0.000162208743859,0.2178907394409179,54.19629999960307,1.7039000085787848,37.09069998876657,1.6559000068809837,1.379199995426461
EngineeringROI_v2_B05,JILONG_EI_0009,150,B05,219;57;217;106;84;4;13;50;251;128,0.05,10,116,106,10,0.0062025713870021,0.925,10,0,0,0.0,13740,0.1052139887128515,556,0.6864197530864198,35,0.0002680123438828,0.0091736796563316,0.0001006304082693,0.215577483177185,54.39530000148807,2.2266000014496967,37.23650000756607,1.6484000079799443,1.204100000904873
EngineeringROI_v2_B05,JILONG_EI_0009,160,B05,58;90;235;112;192;29;26;134;201;174,0.05,10,115,105,10,0.0408833686854377,0.8965217391304348,10,0,0,0.0,14091,0.1079017696472191,4470,0.8372354373478179,1964,0.0150393212395953,0.0127650450643612,0.0184966307133436,28.96866226196289,54.22350000299048,1.7037999932654202,37.98970000934787,2.123300000675954,1.2024000025121495
EngineeringROI_v2_B05,JILONG_EI_0009,170,B05,219;217;57;106;13;84;4;104;50;251,0.05,10,116,106,10,0.006141311422686,0.918103448275862,10,0,0,0.0,14304,0.1095328161971345,556,0.6932668329177057,19,0.0001454924152506,0.0102610440229418,8.82513340911828e-05,0.1838023960590362,54.31269999826327,1.6315000102622434,38.27380000439007,2.198600006522611,2.0274999988032505
EngineeringROI_v2_B05,JILONG_EI_0009,180,B05,90;58;192;235;112;29;25;134;201;174,0.05,10,114,104,10,0.037246058304171,0.9000000000000001,10,0,0,0.0,14612,0.1118913248233032,4080,0.8388157894736842,1750,0.0134006171941404,0.0135001646361541,0.0148161863908171,23.805591583251957,54.82679999840912,1.690199991571717,37.35479999158997,1.6229000029852614,1.2724999978672713
EngineeringROI_v2_B05,JILONG_EI_0009,190,B05,219;217;57;13;106;84;4;50;104;251,0.05,10,114,104,10,0.006141311422686,0.9175438596491228,10,0,0,0.0,14943,0.1144259558468807,553,0.6895261845386533,37,0.0002833273349618,0.0111646284966039,7.557983190054074e-05,0.1391083151102066,54.57969999406487,2.1287999988999218,37.75540000060573,1.6428999952040613,1.2035999970976263
EngineeringROI_v2_B05,JILONG_EI_0009,200,B05,58;90;192;235;29;232;112;174;201;49,0.05,10,114,104,10,0.0186077141610065,0.8929824561403509,10,0,0,0.0,15187,0.1162943847585208,2007,0.825925925925926,74,0.0005666546699236,0.0126425251357291,0.0001900932693388,1.074875831604004,54.59390000032727,2.4794000055408105,38.12929999548942,2.1376999939093366,1.2472000089474022
EngineeringROI_v2_B05,JILONG_EI_0009,210,B05,219;13;217;106;57;84;4;50;24;104,0.05,10,116,106,10,0.0170838725486442,0.9275862068965518,10,0,0,0.0,15508,0.1187524408267032,1798,0.8059166293142088,865,0.0066237336416751,0.0125582926847945,0.0032926814164966,16.044437408447266,54.093400001875125,1.6792000096756965,37.19589998945594,1.5950000088196248,1.2024000025121495
EngineeringROI_v2_B05,JILONG_EI_0009,220,B05,90;58;192;235;29;232;112;174;49;202,0.05,10,114,104,10,0.0123209103230697,0.8929824561403509,10,0,0,0.0,15672,0.1200082700951826,1319,0.819763828464885,93,0.0007121470851743,0.0118920905728572,0.0001059257265296,0.5227912068367004,55.012600001646206,2.1007999894209206,37.620099988998845,1.6565999976592138,1.285599995753728
EngineeringROI_v2_B05,JILONG_EI_0009,230,B05,219;217;106;57;13;84;4;50;104;128,0.05,10,112,102,10,0.0073511957179284,0.9241071428571428,10,0,0,0.0,15666,0.1199623251219456,681,0.709375,115,0.0008806119870435,0.01262721014465,5.789381611975841e-05,0.1074522286653518,54.51339999854099,1.7514000064693391,38.71880000224337,1.6325999895343557,1.237999997101724
EngineeringROI_v2_B05,JILONG_EI_0009,240,B05,90;58;192;232;235;29;112;174;202;49,0.05,10,112,102,10,0.0123209103230697,0.8866071428571429,10,0,0,0.0,15489,0.1186069484114525,1312,0.8154133001864512,115,0.0008806119870435,0.013423589680759,0.0001030909406836,0.483907550573349,55.9132999915164,1.7033000040100887,37.53090000827797,2.0247999927960336,1.328400001511909
EngineeringROI_v2_B05,JILONG_EI_0009,250,B05,219;217;106;13;57;84;4;50;128;104,0.05,10,112,102,10,0.0073511957179284,0.9321428571428572,10,0,0,0.0,15337,0.1174430090894472,681,0.709375,135,0.0010337618978336,0.0128033325420587,5.4694621212547645e-05,0.1065411195158958,54.897799986065365,2.37129999732133,39.438899999368005,1.6731000068830326,2.3519999958807603
EngineeringROI_v2_B05,JILONG_EI_0009,260,B05,90;58;192;232;29;235;174;112;202;49,0.05,10,111,101,10,0.0123209103230697,0.8873873873873872,10,0,0,0.0,15239,0.1166925745265753,1303,0.8098197638284649,146,0.0011179943487682,0.0127956750465192,0.0001003907163976,0.4466852247714996,56.002299999818206,1.7460999952163547,37.328899998101406,1.6910000122152269,1.250899993465282
EngineeringROI_v2_B05,JILONG_EI_0009,270,B05,219;13;217;106;57;84;4;50;128;104,0.05,10,110,100,10,0.0073511957179284,0.9236363636363636,10,0,0,0.0,15210,0.1164705071559295,674,0.7020833333333333,165,0.0012634867640189,0.0126731551178871,5.838910874444992e-05,0.1165138036012649,54.68149999796879,2.430399996228516,37.793499999679625,1.710199998342432,1.2598999892361462
EngineeringROI_v2_B05,JILONG_EI_0009,280,B05,90;58;232;235;192;29;174;112;49;201,0.05,10,111,101,10,0.0186077141610065,0.8864864864864865,10,0,0,0.0,15183,0.1162637547763628,1957,0.8053497942386831,183,0.0014013216837301,0.0137222320067998,0.0001263638114323,0.4461006224155426,54.41759999666829,1.7859000072348865,38.61960000358522,1.6601999959675595,1.271499990252778
EngineeringROI_v2_B05,JILONG_EI_0009,290,B05,219;13;217;57;106;4;84;104;128;50,0.05,10,113,103,10,0.0073511957179284,0.923008849557522,10,0,0,0.0,15139,0.1159268249726244,668,0.6958333333333333,198,0.0015161841168227,0.0120452404836474,6.301920802798122e-05,0.1250902414321899,54.24929999571759,1.681900001130998,37.38919999159407,1.6432000120403245,1.981500012334436
EngineeringROI_v2_B05,JILONG_EI_0009,300,B05,90;58;235;192;232;174;29;49;112;201,0.05,10,114,104,10,0.0186077141610065,0.8894736842105262,10,0,0,0.0,15115,0.1157430450796762,1937,0.797119341563786,212,0.0016233890543758,0.0133087272476663,0.0001236071402672,0.4400625228881836,54.38809999031946,1.6858000017236918,37.34559999429621,1.7225000046892092,1.251800000318326
EngineeringROI_v2_B05,JILONG_EI_0009,310,B05,13;219;217;57;106;104;4;84;128;50,0.05,10,115,105,10,0.0073511957179284,0.9278260869565218,10,0,0,0.0,15094,0.1155822376733465,642,0.66875,214,0.0016387040454548,0.0123668552963067,7.666089368285611e-05,0.1319936066865921,54.28399999800604,1.9520000059856104,37.56939999584574,1.629599995794706,1.2053999962517992
EngineeringROI_v2_B05,JILONG_EI_0009,320,B05,90;192;235;58;232;174;29;119;49;201,0.05,10,115,105,10,0.0179261970579902,0.885217391304348,10,0,0,0.0,15079,0.1154673752402539,1849,0.7898334045279795,215,0.0016463615409944,0.013454219662917,0.0001126606221077,0.4330205917358398,54.13360000238754,1.6539999924134463,37.30609999911394,1.644699994358234,1.2688999995589256
EngineeringROI_v2_B05,JILONG_EI_0009,330,B05,13;219;217;57;105;84;4;128;50;157,0.05,10,115,105,10,0.0144114066053556,0.911304347826087,10,0,0,0.0,15063,0.1153448553116217,1384,0.7353878852284803,224,0.0017152790008499,0.0133240422387453,0.0001035901586874,0.0997955799102783,54.652499995427206,1.7010000010486692,38.41069999907632,3.5607000027084723,1.94309999642428
EngineeringROI_v2_B05,JILONG_EI_0009,340,B05,90;192;58;235;104;232;174;29;49;201,0.05,10,115,105,10,0.0189446439647448,0.8956521739130435,10,0,0,0.0,15035,0.1151304454365155,1937,0.7829426030719483,246,0.0018837439027191,0.0134925071406145,0.0001224335137521,0.4262571334838867,54.37490000622347,2.268500000354834,37.903099990217015,1.6973000019788742,1.236900003277697
EngineeringROI_v2_B05,JILONG_EI_0009,350,B05,13;219;217;57;105;84;4;128;119;50,0.05,10,114,104,10,0.0068151710301628,0.9166666666666666,10,0,0,0.0,15036,0.115138102932055,562,0.6314606741573033,249,0.0019067163893377,0.012190732898898,9.24147680052556e-05,0.1294342875480651,54.24990000028629,1.66680000256747,37.94439999910537,1.6611999890301377,1.2169000110588968
EngineeringROI_v2_B05,JILONG_EI_0009,360,B05,90;192;58;235;104;174;232;46;201;49,0.05,10,115,105,10,0.0175586372720937,0.8930434782608696,10,0,0,0.0,15042,0.115184047905292,1777,0.7749672917575229,280,0.0021440987510624,0.0132780972655083,0.0001173030759673,0.4183541536331177,54.11660000390839,1.7820000066421926,38.40330000093672,2.3927000002004206,1.537599993753247
EngineeringROI_v2_B05,JILONG_EI_0009,370,B05,13;219;57;217;105;119;84;4;128;157,0.05,10,115,105,10,0.0137834919711159,0.9139130434782607,10,0,0,0.0,15036,0.115138102932055,1292,0.7177777777777777,252,0.0019296888759562,0.0129411674617699,0.0001264501479454,0.1712563335895538,56.20219999400433,1.6917999892029911,37.45899999921676,1.6675999941071495,1.2455999967642128
EngineeringROI_v2_B05,JILONG_EI_0009,380,B05,90;192;58;104;235;46;174;232;201;49,0.05,10,115,105,10,0.0175586372720937,0.8947826086956521,10,0,0,0.0,15038,0.115153417923134,1754,0.7649367640645443,306,0.0023431936350897,0.0132398097878108,0.0001253395021194,0.410099983215332,54.7041999961948,1.7730999970808623,37.38350000639912,1.6348000062862411,1.2130999966757372
EngineeringROI_v2_B05,JILONG_EI_0009,390,B05,13;219;105;57;217;119;84;4;128;35,0.05,10,115,105,10,0.0097173618396367,0.9200000000000002,10,0,0,0.0,15034,0.115122787940976,846,0.6666666666666666,315,0.0024121110949452,0.0123974852784648,0.0002513501385692,1.0966681241989136,54.896400004508905,2.0083999988855794,38.887100003194064,1.622499999939464,1.1881999962497505
EngineeringROI_v2_B05,JILONG_EI_0009,400,B05,90;192;58;104;46;235;174;232;201;49,0.05,10,114,104,10,0.0175586372720937,0.8894736842105264,10,0,0,0.0,15016,0.1149849530212648,1746,0.7614478848669864,323,0.0024733710592613,0.0134082746896799,0.0001305199693888,0.4019829332828522,54.26889999944251,2.036100006080233,37.5903000094695,1.6348000062862411,1.2399999977787957
EngineeringROI_v2_B05,JILONG_EI_0009,410,B05,13;219;105;57;217;119;84;128;4;35,0.05,10,115,105,10,0.0097173618396367,0.9208695652173912,10,0,0,0.0,15017,0.1149926105168043,832,0.6556343577620173,338,0.0025882334923539,0.0122979378364512,0.0003009245847351,1.4016785621643066,54.349600002751686,1.895000008516945,37.92490001069382,1.6073000006144866,1.2272000021766871
EngineeringROI_v2_B05,JILONG_EI_0009,420,B05,90;58;104;46;192;174;235;232;201;49,0.05,10,115,105,10,0.0175586372720937,0.8921739130434782,10,0,0,0.0,14999,0.1148547755970932,1739,0.7583951155691234,357,0.0027337259076046,0.0131249473547181,0.0001353757834294,0.3945486843585968,54.20709999452811,1.694299993687309,39.10989999712911,2.2963999945204705,2.070699993055314
EngineeringROI_v2_B05,JILONG_EI_0009,430,B05,13;219;105;57;217;119;84;128;35;4,0.05,10,115,105,10,0.0097173618396367,0.9208695652173912,10,0,0,0.0,14994,0.1148164881193956,819,0.6453900709219859,359,0.0027490408986836,0.0123898277829253,0.0004437375173438,4.080703258514404,54.059300004155375,1.7958999960683286,39.298699994105846,1.6704000008758155,1.2224999954923987
