method,scenario_id,time_s,budget,selected_patch_ids,budget_fraction,budget_max_count,pre_refresh_candidate_count,candidate_count,selected_count,actual_active_fraction,mean_selected_support_risk_rank,first_pass_count,second_pass_count,selected_patch_consecutive_overlap_count,selected_patch_consecutive_overlap_fraction,support_cell_count,support_fraction,blocked_local_change_cell_count,blocked_local_change_fraction,blocked_wet_creation_count,raw_local_new_wet_fraction,depth_guard_activation_fraction,depth_guard_mean_abs_clip_m,depth_guard_max_abs_clip_m,global_forward_runtime_ms,roi_scoring_runtime_ms,local_correction_runtime_ms,support_guard_runtime_ms,depth_guard_runtime_ms
EngineeringROI_v2_B20,JILONG_EI_0009,10,B20,78;219;57;106;84;217;4;128;13;50;119;251;10;156;158;213;177;170;215;44;46;206;133;36;88;179;165;86;23;241;55;210;58;74;90;94;112,0.2,37,115,115,37,0.2390057507791501,0.6596944770857813,32,5,0,0.0,7992,0.0611987043517547,27048,0.8665897731641676,786,0.0060187914940539,0.0141740242436308,0.0005857781507074,1.0771286487579346,309.8586999985855,12.537299990071917,204.84299999952785,42.36199999286328,11.61730001331307
EngineeringROI_v2_B20,JILONG_EI_0009,20,B20,235;201;49;105;77;232;29;134;35;157;155;203;178;91;5;102;68;192;3;100;27;229;41;71;190;144;196;225;148;33;218;104;66;202;20;121;216,0.2,37,114,77,37,0.2288519116937614,0.602181128496918,29,8,0,0.0,8040,0.0615662641376511,27967,0.9357893327979656,923,0.0070678683829666,0.0159199332266388,0.0118902260437607,15.969675064086914,52.70099999324884,2.060300001176074,148.53140000195708,1.7737000016495583,1.2809000036213547
EngineeringROI_v2_B20,JILONG_EI_0009,30,B20,219;57;217;106;84;13;4;50;128;119;251;10;156;177;158;93;213;206;185;46;44;88;133;215;36;179;165;86;23;241;55;210;58;74;90;112;34,0.2,37,115,78,37,0.2031303841765512,0.6606345475910693,32,5,0,0.0,8603,0.0658774341263946,24847,0.9366683002224148,395,0.0030247107381059,0.0139902443506826,0.0014810882275924,13.878347396850586,53.919099998893216,2.826500000082888,148.68529999512248,1.7466999997850507,1.304100005654618
EngineeringROI_v2_B20,JILONG_EI_0009,40,B20,235;77;105;232;201;49;134;29;35;157;203;178;155;102;100;3;5;91;68;192;229;27;41;71;147;190;144;166;196;225;104;66;218;61;33;202;20,0.2,37,116,79,37,0.2254060387009824,0.6008853681267474,30,7,0,0.0,9133,0.0699359067623343,26628,0.9046066041581736,546,0.0041809925645718,0.0222909695155102,0.0553049519658088,25.11869430541992,53.291900010663085,2.09720000566449,152.88809999765363,1.849699998274445,1.2820999982068315
EngineeringROI_v2_B20,JILONG_EI_0009,50,B20,219;58;217;106;84;13;50;4;119;112;251;10;156;177;158;46;185;213;88;44;133;206;215;36;179;165;70;40;93;241;210;57;74;90;128;216;121,0.2,37,117,82,37,0.2085442335229839,0.6703626703626705,31,6,0,0.0,9450,0.0723633328483586,25503,0.9364397444371008,293,0.002243646193076,0.0172676524415924,0.0020827148109674,4.794671535491943,56.05020000075456,2.096200012601912,160.3736000106437,2.266600000439212,2.4295999901369214
EngineeringROI_v2_B20,JILONG_EI_0009,60,B20,235;61;104;232;201;49;29;134;35;157;192;178;203;155;102;91;3;68;100;5;229;41;27;71;190;23;144;166;196;94;225;148;105;66;218;202;20,0.2,37,117,80,37,0.2412493969722262,0.5694155694155695,32,5,0,0.0,9850,0.0754263310641621,28859,0.9160133312172672,685,0.0052453844445635,0.0219463822162323,0.04959587007761,30.421873092651367,54.949600002146326,2.053600008366629,156.52570000384003,2.431899993098341,2.104300001519732
EngineeringROI_v2_B20,JILONG_EI_0009,70,B20,219;58;217;106;84;13;50;44;4;112;119;251;10;156;177;158;185;213;46;88;133;206;179;215;36;165;93;147;32;40;86;241;210;57;74;90;60,0.2,37,118,81,37,0.2149841872717109,0.6513971598717361,33,4,0,0.0,10422,0.0798064185127612,25743,0.9169367764915404,2266,0.017351884892527,0.0217243148455866,0.0266421269625425,28.983217239379883,56.57480000809301,2.063299994915724,153.59010000247508,1.6994999896269292,1.269000000320375
EngineeringROI_v2_B20,JILONG_EI_0009,80,B20,235;105;232;201;128;49;134;45;76;35;157;192;178;155;5;102;100;203;68;3;41;229;27;71;190;23;166;160;196;94;225;148;104;66;218;61;29,0.2,37,118,83,37,0.2425358562228637,0.5593220338983049,32,5,0,0.0,11599,0.0888192907627631,28755,0.907871057367474,968,0.0074124556822445,0.0245039857264283,0.0507809817790985,20.27857208251953,54.89589998614974,2.600799998617731,153.39700000185985,1.926700002513826,1.5196999884210527
EngineeringROI_v2_B20,JILONG_EI_0009,90,B20,219;58;106;217;84;44;50;112;4;119;251;13;10;156;177;158;185;213;88;133;206;179;215;36;165;147;46;40;86;241;144;77;210;57;74;28;90,0.2,37,117,82,37,0.2391206132122428,0.6297066297066297,33,4,0,0.0,12576,0.0963006639048632,26145,0.8372562205783457,1353,0.0103605914649554,0.0399874417073152,0.096258133649826,18.98225212097168,54.98609998903703,2.8178999928059056,156.18569999060128,1.8744999979389831,1.3380000018514693
EngineeringROI_v2_B20,JILONG_EI_0009,100,B20,235;128;105;232;201;49;35;134;157;192;178;155;29;60;5;91;102;203;100;68;3;229;41;27;71;190;23;160;196;93;225;148;104;66;218;202;34,0.2,37,116,79,37,0.2144864500616428,0.5664026095060577,32,5,0,0.0,13052,0.0999456317816694,26296,0.9388075687254552,459,0.0035147904526345,0.0182631268617286,0.0064322357065975,13.879297256469728,56.209800008218735,2.26239999756217,154.32260000670794,1.8005999882007018,1.3147999998182058
