method,scenario_id,time_s,total_normalized_error,top1_fraction,top5_fraction,top10_fraction,top20_fraction,top30_fraction,top50_fraction
OraclePerfect_B05,JILONG_EI_0009,10,22.92501449584961,0.9893988673014942,1.0,1.0,1.0,1.0,1.0
OraclePerfect_B05,JILONG_EI_0009,20,39.03642272949219,0.9942993031034411,1.0,1.0,1.0,1.0,1.0
OraclePerfect_B05,JILONG_EI_0009,30,77.288818359375,0.996182312590541,1.0,1.0,1.0,1.0,1.0
OraclePerfect_B05,JILONG_EI_0009,40,176.18487548828125,0.9917549818849452,1.0,1.0,1.0,1.0,1.0
OraclePerfect_B05,JILONG_EI_0009,50,240.38986206054688,0.921095105850343,1.0,1.0,1.0,1.0,1.0
OraclePerfect_B05,JILONG_EI_0009,60,277.40606689453125,0.8831684513389324,1.0,1.0,1.0,1.0,1.0
OraclePerfect_B05,JILONG_EI_0009,70,343.23138427734375,0.8579990794890467,1.0,1.0,1.0,1.0,1.0
OraclePerfect_B05,JILONG_EI_0009,80,432.48712158203125,0.7941142240720682,1.0,1.0,1.0,1.0,1.0
OraclePerfect_B05,JILONG_EI_0009,90,497.5650939941406,0.6688851149494948,1.0,1.0,1.0,1.0,1.0
OraclePerfect_B05,JILONG_EI_0009,100,534.4403076171875,0.6764126426888684,1.0,1.0,1.0,1.0,1.0
OraclePerfect_B05,JILONG_EI_0009,110,576.9852294921875,0.6597355331845076,1.0,1.0,1.0,1.0,1.0
OraclePerfect_B05,JILONG_EI_0009,120,616.2451782226562,0.6849864015326568,1.0,1.0,1.0,1.0,1.0
OraclePerfect_B05,JILONG_EI_0009,130,608.4926147460938,0.689579583649047,1.0,1.0,1.0,1.0,1.0
OraclePerfect_B05,JILONG_EI_0009,140,632.9321899414062,0.7086299780978742,1.0,1.0,1.0,1.0,1.0
OraclePerfect_B05,JILONG_EI_0009,150,626.1924438476562,0.6991816118790889,1.0,1.0,1.0,1.0,1.0
OraclePerfect_B05,JILONG_EI_0009,160,641.6165771484375,0.6995022896962209,1.0,1.0,1.0,1.0,1.0
OraclePerfect_B05,JILONG_EI_0009,170,691.304931640625,0.7012240276797088,1.0,1.0,1.0,1.0,1.0
OraclePerfect_B05,JILONG_EI_0009,180,733.9252319335938,0.7029423044210652,1.0,1.0,1.0,1.0,1.0
OraclePerfect_B05,JILONG_EI_0009,190,753.698974609375,0.7165336548776268,1.0,1.0,1.0,1.0,1.0
OraclePerfect_B05,JILONG_EI_0009,200,768.8605346679688,0.7447750213437113,1.0,1.0,1.0,1.0,1.0
OraclePerfect_B05,JILONG_EI_0009,210,788.0693969726562,0.7747751272847463,1.0,1.0,1.0,1.0,1.0
OraclePerfect_B05,JILONG_EI_0009,220,791.135009765625,0.79538016655547,1.0,1.0,1.0,1.0,1.0
OraclePerfect_B05,JILONG_EI_0009,230,840.102783203125,0.8220015476959021,1.0,1.0,1.0,1.0,1.0
