method,scenario_id,time_s,total_normalized_error,top1_fraction,top5_fraction,top10_fraction,top20_fraction,top30_fraction,top50_fraction,error_mass_true_wet,error_mass_false_positive_wet,error_mass_both_dry
OraclePerfectV2_B05,JILONG_EI_0009,10,31.4583740234375,0.9941309151936283,1.0,1.0,1.0,1.0,1.0,22.246143341064453,8.742965698242188,0.46926483511924744
OraclePerfectV2_B05,JILONG_EI_0009,20,49.417884826660156,0.9921812373813793,1.0,1.0,1.0,1.0,1.0,39.03642272949219,9.143901824951172,1.2375586032867432
OraclePerfectV2_B05,JILONG_EI_0009,30,99.75061798095703,0.9947442334957785,1.0,1.0,1.0,1.0,1.0,77.13906860351562,20.679319381713867,1.9322224855422974
OraclePerfectV2_B05,JILONG_EI_0009,40,210.63241577148438,0.9745372841488549,1.0,1.0,1.0,1.0,1.0,175.29092407226562,34.245147705078125,1.0963456630706787
OraclePerfectV2_B05,JILONG_EI_0009,50,289.9321594238281,0.8682409761310956,1.0,1.0,1.0,1.0,1.0,233.37289428710938,54.38312530517578,2.176149368286133
OraclePerfectV2_B05,JILONG_EI_0009,60,357.006591796875,0.8955825664600261,1.0,1.0,1.0,1.0,1.0,268.08465576171875,84.9402847290039,3.981624126434326
OraclePerfectV2_B05,JILONG_EI_0009,70,401.87591552734375,0.8066941583056871,1.0,1.0,1.0,1.0,1.0,325.0083312988281,72.48942565917969,4.378166198730469
OraclePerfectV2_B05,JILONG_EI_0009,80,542.54150390625,0.7026586703321013,1.0,1.0,1.0,1.0,1.0,414.1005859375,122.4735107421875,5.967328071594238
OraclePerfectV2_B05,JILONG_EI_0009,90,692.5718994140625,0.6709674454533696,1.0,1.0,1.0,1.0,1.0,467.871826171875,217.0430145263672,7.657033443450928
OraclePerfectV2_B05,JILONG_EI_0009,100,695.340576171875,0.6885709226017199,1.0,1.0,1.0,1.0,1.0,499.5013427734375,186.10008239746094,9.73919677734375
OraclePerfectV2_B05,JILONG_EI_0009,110,710.4765625,0.6599397688374596,1.0,1.0,1.0,1.0,1.0,530.9851684570312,169.7283172607422,9.763063430786133
OraclePerfectV2_B05,JILONG_EI_0009,120,737.8616943359375,0.6698313611003511,1.0,1.0,1.0,1.0,1.0,551.697265625,174.29104614257812,11.873343467712402
OraclePerfectV2_B05,JILONG_EI_0009,130,765.42822265625,0.6709294096381978,1.0,1.0,1.0,1.0,1.0,550.0443115234375,200.9477996826172,14.436134338378906
OraclePerfectV2_B05,JILONG_EI_0009,140,841.5059814453125,0.6796548952428095,1.0,1.0,1.0,1.0,1.0,587.6470947265625,237.727294921875,16.131473541259766
OraclePerfectV2_B05,JILONG_EI_0009,150,858.5265502929688,0.6759480888168052,1.0,1.0,1.0,1.0,1.0,578.8743896484375,262.28790283203125,17.364227294921875
OraclePerfectV2_B05,JILONG_EI_0009,160,911.36572265625,0.6714686174889334,1.0,1.0,1.0,1.0,1.0,595.8213500976562,296.46185302734375,19.08254623413086
OraclePerfectV2_B05,JILONG_EI_0009,170,1047.5618896484375,0.668870707155824,1.0,1.0,1.0,1.0,1.0,647.16162109375,378.83819580078125,21.56198501586914
OraclePerfectV2_B05,JILONG_EI_0009,180,1129.5419921875,0.6709720235046879,1.0,1.0,1.0,1.0,1.0,690.298095703125,415.9250793457031,23.318796157836914
OraclePerfectV2_B05,JILONG_EI_0009,190,1223.144775390625,0.6963730105461128,1.0,1.0,1.0,1.0,1.0,714.355224609375,483.98028564453125,24.809307098388672
OraclePerfectV2_B05,JILONG_EI_0009,200,1310.73828125,0.7354784453639834,1.0,1.0,1.0,1.0,1.0,728.1255493164062,553.8187255859375,28.793916702270508
OraclePerfectV2_B05,JILONG_EI_0009,210,1366.3980712890625,0.7585767277370961,1.0,1.0,1.0,1.0,1.0,737.7303466796875,598.6206665039062,30.04701042175293
OraclePerfectV2_B05,JILONG_EI_0009,220,1407.117431640625,0.7791077309971073,1.0,1.0,1.0,1.0,1.0,744.8814697265625,629.9163818359375,32.319557189941406
OraclePerfectV2_B05,JILONG_EI_0009,230,1435.095458984375,0.787720802019504,1.0,1.0,1.0,1.0,1.0,792.2808227539062,605.7964477539062,37.01818084716797
OraclePerfectV2_B05,JILONG_EI_0009,240,1477.130615234375,0.7860350416416182,1.0,1.0,1.0,1.0,1.0,844.593994140625,593.6920166015625,38.844459533691406
OraclePerfectV2_B05,JILONG_EI_0009,250,1516.221923828125,0.7551234632765992,1.0,1.0,1.0,1.0,1.0,887.3744506835938,587.9076538085938,40.93980407714844
OraclePerfectV2_B05,JILONG_EI_0009,260,1559.94921875,0.7339023258257545,1.0,1.0,1.0,1.0,1.0,927.5201416015625,588.403564453125,44.0256462097168
OraclePerfectV2_B05,JILONG_EI_0009,270,1589.630615234375,0.7084193100122855,1.0,1.0,1.0,1.0,1.0,951.9278564453125,590.3046875,47.39812469482422
OraclePerfectV2_B05,JILONG_EI_0009,280,1611.697265625,0.6987613704418716,1.0,1.0,1.0,1.0,1.0,964.0556640625,595.9837646484375,51.65782928466797
OraclePerfectV2_B05,JILONG_EI_0009,290,1628.7747802734375,0.6938963425852984,1.0,1.0,1.0,1.0,1.0,972.37353515625,602.4852905273438,53.91595458984375
OraclePerfectV2_B05,JILONG_EI_0009,300,1652.06982421875,0.6822244200566574,1.0,1.0,1.0,1.0,1.0,987.9129028320312,607.4724731445312,56.68452453613281
OraclePerfectV2_B05,JILONG_EI_0009,310,1675.70703125,0.6651344026534382,1.0,1.0,1.0,1.0,1.0,1002.1318359375,613.9010009765625,59.67428970336914
OraclePerfectV2_B05,JILONG_EI_0009,320,1696.1549072265625,0.6477381864687597,1.0,1.0,1.0,1.0,1.0,1009.4058227539062,623.5653076171875,63.1837272644043
OraclePerfectV2_B05,JILONG_EI_0009,330,1711.18115234375,0.6512724887971509,1.0,1.0,1.0,1.0,1.0,1013.6434326171875,629.707763671875,67.8299560546875
OraclePerfectV2_B05,JILONG_EI_0009,340,1725.826904296875,0.6579790517514368,1.0,1.0,1.0,1.0,1.0,1019.90478515625,635.0629272460938,70.85910034179688
OraclePerfectV2_B05,JILONG_EI_0009,350,1744.193359375,0.6649112748618554,1.0,1.0,1.0,1.0,1.0,1026.598876953125,643.7168579101562,73.87765502929688
OraclePerfectV2_B05,JILONG_EI_0009,360,1757.317138671875,0.6640010124060685,1.0,1.0,1.0,1.0,1.0,1029.8612060546875,650.5460205078125,76.90982055664062
OraclePerfectV2_B05,JILONG_EI_0009,370,1771.350341796875,0.6568796691918797,1.0,1.0,1.0,1.0,1.0,1035.7020263671875,656.0672607421875,79.5810317993164
OraclePerfectV2_B05,JILONG_EI_0009,380,1787.00390625,0.6447174819699314,1.0,1.0,1.0,1.0,1.0,1042.9923095703125,660.447998046875,83.56365203857422
OraclePerfectV2_B05,JILONG_EI_0009,390,1801.0980224609375,0.6309149779089055,1.0,1.0,1.0,1.0,1.0,1045.7099609375,667.8807373046875,87.50729370117188
OraclePerfectV2_B05,JILONG_EI_0009,400,1814.1416015625,0.6154524223185793,1.0,1.0,1.0,1.0,1.0,1042.978515625,678.5354614257812,92.62757873535156
OraclePerfectV2_B05,JILONG_EI_0009,410,1817.79052734375,0.6029592794664926,1.0,1.0,1.0,1.0,1.0,1035.904296875,685.4573974609375,96.4288330078125
OraclePerfectV2_B05,JILONG_EI_0009,420,1819.7740478515625,0.5963788303079932,1.0,1.0,1.0,1.0,1.0,1027.6170654296875,690.5549926757812,101.60195922851562
OraclePerfectV2_B05,JILONG_EI_0009,430,1820.58984375,0.5939016179095469,1.0,1.0,1.0,1.0,1.0,1021.3919067382812,694.8645629882812,104.33338928222656
OraclePerfectV2_B05,JILONG_EI_0009,440,1825.8956298828125,0.5930059639343206,1.0,1.0,1.0,1.0,1.0,1019.3651733398438,697.1245727539062,109.4058837890625
OraclePerfectV2_B05,JILONG_EI_0009,450,1824.34521484375,0.5942363783207048,1.0,1.0,1.0,1.0,1.0,1013.960693359375,698.185791015625,112.19888305664062
OraclePerfectV2_B05,JILONG_EI_0009,460,1822.32373046875,0.5973845785348214,1.0,1.0,1.0,1.0,1.0,1003.8233642578125,701.564453125,116.93599700927734
OraclePerfectV2_B05,JILONG_EI_0009,470,1824.920654296875,0.6002494552571017,1.0,1.0,1.0,1.0,1.0,996.6268310546875,706.33349609375,121.96029663085938
OraclePerfectV2_B05,JILONG_EI_0009,480,1829.0032958984375,0.6021998058135718,1.0,1.0,1.0,1.0,1.0,993.684326171875,708.788818359375,126.53018188476562
OraclePerfectV2_B05,JILONG_EI_0009,490,1831.54736328125,0.6040878704056454,1.0,1.0,1.0,1.0,1.0,990.7132568359375,710.8963623046875,129.937744140625
OraclePerfectV2_B05,JILONG_EI_0009,500,1837.4644775390625,0.6062345243607409,1.0,1.0,1.0,1.0,1.0,987.397216796875,714.4338989257812,135.63323974609375
OraclePerfectV2_B05,JILONG_EI_0009,510,1846.1429443359375,0.6077743499447938,1.0,1.0,1.0,1.0,1.0,986.3885498046875,720.65869140625,139.0956268310547
