method,scenario_id,time_s,total_normalized_error,top1_fraction,top5_fraction,top10_fraction,top20_fraction,top30_fraction,top50_fraction,error_mass_true_wet,error_mass_false_positive_wet,error_mass_both_dry
SmoothOracleV2_B10,JILONG_EI_0009,10,31.4583740234375,0.9941309151936283,1.0,1.0,1.0,1.0,1.0,22.246143341064453,8.742965698242188,0.46926483511924744
SmoothOracleV2_B10,JILONG_EI_0009,20,49.38135528564453,0.992269031400822,1.0,1.0,1.0,1.0,1.0,39.01167297363281,9.264920234680176,1.1047604084014893
SmoothOracleV2_B10,JILONG_EI_0009,30,99.63844299316406,0.9948578235894747,1.0,1.0,1.0,1.0,1.0,77.06143188476562,20.68044090270996,1.896560788154602
SmoothOracleV2_B10,JILONG_EI_0009,40,210.4104766845703,0.9745875772708699,1.0,1.0,1.0,1.0,1.0,175.11798095703125,34.23514175415039,1.0573432445526123
SmoothOracleV2_B10,JILONG_EI_0009,50,289.7840576171875,0.8683583914737969,1.0,1.0,1.0,1.0,1.0,233.26235961914062,54.33949279785156,2.182194709777832
SmoothOracleV2_B10,JILONG_EI_0009,60,357.35296630859375,0.8958974738719232,1.0,1.0,1.0,1.0,1.0,268.0375671386719,85.21412658691406,4.101265907287598
SmoothOracleV2_B10,JILONG_EI_0009,70,401.414794921875,0.8069924299472967,1.0,1.0,1.0,1.0,1.0,324.6606750488281,72.61971282958984,4.134427070617676
SmoothOracleV2_B10,JILONG_EI_0009,80,540.9760131835938,0.7021540043950828,1.0,1.0,1.0,1.0,1.0,413.96600341796875,121.32167053222656,5.688303470611572
SmoothOracleV2_B10,JILONG_EI_0009,90,690.1223754882812,0.6709322721645938,1.0,1.0,1.0,1.0,1.0,468.6817932128906,213.75759887695312,7.682974815368652
SmoothOracleV2_B10,JILONG_EI_0009,100,677.5140380859375,0.6846811030725879,1.0,1.0,1.0,1.0,1.0,490.90728759765625,176.81735229492188,9.789382934570312
SmoothOracleV2_B10,JILONG_EI_0009,110,661.8629760742188,0.6534158044725502,1.0,1.0,1.0,1.0,1.0,506.23065185546875,147.0016326904297,8.630716323852539
SmoothOracleV2_B10,JILONG_EI_0009,120,703.5332641601562,0.660944893152131,1.0,1.0,1.0,1.0,1.0,531.31201171875,159.84646606445312,12.374765396118164
SmoothOracleV2_B10,JILONG_EI_0009,130,738.9979248046875,0.6658883592295566,1.0,1.0,1.0,1.0,1.0,536.6605834960938,190.26950073242188,12.06787109375
SmoothOracleV2_B10,JILONG_EI_0009,140,749.5440063476562,0.6798337613155103,1.0,1.0,1.0,1.0,1.0,509.49853515625,226.5597381591797,13.48577880859375
SmoothOracleV2_B10,JILONG_EI_0009,150,738.3921508789062,0.6759718048904999,1.0,1.0,1.0,1.0,1.0,480.634765625,243.26956176757812,14.48781967163086
SmoothOracleV2_B10,JILONG_EI_0009,160,738.5357055664062,0.6709027349328937,1.0,1.0,1.0,1.0,1.0,442.73193359375,279.4422302246094,16.361482620239258
SmoothOracleV2_B10,JILONG_EI_0009,170,801.9885864257812,0.6679635259200568,1.0,1.0,1.0,1.0,1.0,441.123779296875,341.0414123535156,19.823421478271484
SmoothOracleV2_B10,JILONG_EI_0009,180,770.5692138671875,0.6711831354024733,1.0,1.0,1.0,1.0,1.0,427.3822021484375,322.7437438964844,20.443317413330078
SmoothOracleV2_B10,JILONG_EI_0009,190,772.079833984375,0.6875668909164144,1.0,1.0,1.0,1.0,1.0,414.19610595703125,334.1874694824219,23.696266174316406
SmoothOracleV2_B10,JILONG_EI_0009,200,810.6934814453125,0.7252391139759232,1.0,1.0,1.0,1.0,1.0,417.24493408203125,366.04205322265625,27.40652847290039
SmoothOracleV2_B10,JILONG_EI_0009,210,845.7147216796875,0.7452290194106179,1.0,1.0,1.0,1.0,1.0,445.11871337890625,373.14044189453125,27.455528259277344
SmoothOracleV2_B10,JILONG_EI_0009,220,897.6589965820312,0.7662397758669915,1.0,1.0,1.0,1.0,1.0,473.7528076171875,395.53814697265625,28.36809539794922
SmoothOracleV2_B10,JILONG_EI_0009,230,965.23193359375,0.7804860907117122,1.0,1.0,1.0,1.0,1.0,536.244140625,395.5399475097656,33.44782638549805
