method,scenario_id,time_s,budget,selected_patch_ids,budget_fraction,budget_max_count,pre_refresh_candidate_count,candidate_count,selected_count,actual_active_fraction,mean_selected_support_risk_rank,first_pass_count,second_pass_count,selected_patch_consecutive_overlap_count,selected_patch_consecutive_overlap_fraction,support_cell_count,support_fraction,blocked_local_change_cell_count,blocked_local_change_fraction,blocked_wet_creation_count,raw_local_new_wet_fraction,depth_guard_activation_fraction,depth_guard_mean_abs_clip_m,depth_guard_max_abs_clip_m,global_forward_runtime_ms,roi_scoring_runtime_ms,local_correction_runtime_ms,support_guard_runtime_ms,depth_guard_runtime_ms,fraction_zone_A,fraction_zone_B,fraction_zone_C,local_delta_norm_A,local_delta_norm_B,new_wet_created_A,new_wet_created_B,softened_local_change_fraction,newly_wet_fraction
RiskTemporal_v2A_B10,JILONG_EI_0010,10,B10,78;219;57;106;217;84;4;128;13;50;119;251;10;156;192;158;213;206;178,0.1,19,115,115,19,0.0633964055715937,0.8402745995423341,19,0,0,0.0,7838,0.0600194500386703,4377,0.5286870394975238,59,0.0010261044022941,0.0,0.0,0.0,303.1644000002416,10.1719999947818,117.7560999931302,57.84069999936037,0.9799999970709904,0.0600194500386703,0.0788645465614016,0.861116003399928,6.551441192626953,1.0644447803497314,16,20,0.1368522768450296,0.0002756698394223
RiskTemporal_v2A_B10,JILONG_EI_0010,20,B10,58;90;235;112;33;201;104;232;29;66;77;35;134;157;155;177;203;100;102,0.1,19,113,95,19,0.0792244488517585,0.8067070330693992,19,0,0,0.0,7755,0.0593838779088911,7829,0.7567175720085058,322,0.0045944973237053,0.0,0.0,0.0,54.55970000184607,2.362100000027567,70.32240000262391,3.6127999919699514,0.5769999988842756,0.0593838779088911,0.073197999862165,0.8674181222289438,4.499269485473633,1.387129545211792,0,104,0.1434370771312584,0.0007963795361089
RiskTemporal_v2A_B10,JILONG_EI_0010,30,B10,219;57;13;106;84;4;50;251;217;10;128;119;158;156;93;213;46;185;133,0.1,19,114,95,19,0.0595370278196812,0.8213296398891966,19,0,0,0.0,8203,0.062814435910591,5804,0.7464951768488746,121,0.0029787657648689,0.0,0.0,0.0,52.06629999156576,1.6838000010466203,70.19199999922421,3.839900004095398,0.6118000019341707,0.062814435910591,0.0717890206828954,0.8653965434065135,1.664907932281494,1.0109721422195437,1,98,0.1597427652733119,0.0007580920584113
RiskTemporal_v2A_B10,JILONG_EI_0010,40,B10,58;104;77;235;66;29;201;112;134;157;20;34;203;232;91;68;171;100;206,0.1,19,112,94,19,0.077065035109617,0.7716165413533834,19,0,0,0.0,8665,0.0663521988498441,6820,0.6776629570747218,282,0.0033846130284629,0.0,0.0,0.0,51.9200999988243,1.706199996988289,68.84120000177063,3.712200006702915,0.5554000090342015,0.0663521988498441,0.0715439808256311,0.8621038203245247,14.947754859924316,4.026342391967773,2,114,0.139010333863275,0.000888269482583
RiskTemporal_v2A_B10,JILONG_EI_0010,50,B10,57;219;13;106;217;4;61;251;49;119;10;84;158;35;156;213;128;215;170,0.1,19,112,94,19,0.0751736337113583,0.8449248120300753,19,0,0,0.0,8860,0.0678454104800484,7188,0.7321992462055618,385,0.0042192800422693,0.0,0.0,0.0,53.82760000065901,1.8321999959880488,75.74450000538491,7.961299997987226,0.6353999924613163,0.0678454104800484,0.0700048242221898,0.8621497652977617,13.583256721496582,3.5292232036590576,8,118,0.1384333299378629,0.0009648444379781
RiskTemporal_v2A_B10,JILONG_EI_0010,60,B10,74;104;232;201;235;50;157;203;3;5;135;44;100;155;69;179;36;41;229,0.1,19,111,93,19,0.1061022581954346,0.7439544807965861,19,0,0,0.0,9016,0.0690399797842117,11369,0.8205109699769053,868,0.0078948779012336,0.0,0.0,0.0,54.483599989907816,2.3132999922381714,73.23940000787843,5.337800001143478,0.8971999923232943,0.0690399797842117,0.0698746467980182,0.86108537341777,0.7516618967056274,0.7882658243179321,9,103,0.1142465357967667,0.0008576395004249
RiskTemporal_v2A_B10,JILONG_EI_0010,70,B10,57;106;217;60;219;251;158;156;215;51;103;20;49;29;186;27;99;25;165,0.1,19,111,94,19,0.1026946726803531,0.7875770507349454,19,0,0,0.0,9489,0.0726619751743994,11087,0.8267094176422339,984,0.008714229923961,0.0,0.0,0.0,55.044399996404536,1.744900000630878,72.2900000109803,4.030500000226311,0.6370000046445057,0.0726619751743994,0.0689940348109747,0.8583439900146258,10.092395782470703,3.0160140991210938,3,106,0.1031243009469838,0.0008346670138064
RiskTemporal_v2A_B10,JILONG_EI_0010,80,B10,44;104;232;157;218;74;13;155;4;33;100;135;35;214;10;66;71;190;176,0.1,19,109,91,19,0.0863612346945807,0.7252535007242877,19,0,0,0.0,10254,0.0785199592621237,8338,0.7393154814683455,1547,0.0137222320067998,0.0,0.0,0.0,53.97310000262223,1.9514000014169144,72.09560000046622,3.79820000671316,0.5723999929614365,0.0785199592621237,0.0676080281183236,0.8538720126195527,16.823118209838867,4.197033405303955,12,179,0.111189927292073,0.0014625816480461
RiskTemporal_v2A_B10,JILONG_EI_0010,90,B10,217;106;57;251;28;158;156;219;186;165;61;120;19;49;51;88;215;102;26,0.1,19,108,90,19,0.1137444387438644,0.7665692007797271,19,0,0,0.0,11296,0.0864990696142919,11719,0.7889457385216103,1522,0.0131632348324157,0.0,0.0,0.0,53.8729000109015,2.195300010498613,73.1555000093067,4.946899993228726,0.9707999997772276,0.0864990696142919,0.0672404683324272,0.8462604620532809,15.933358192443848,5.707518577575684,7,137,0.08617207486199,0.0011026793576892
RiskTemporal_v2A_B10,JILONG_EI_0010,100,B10,218;105;157;232;74;33;44;214;155;135;13;52;66;252;176;185;100;20;206,0.1,19,109,91,19,0.0796073236287339,0.724287783679382,19,0,0,0.0,11700,0.0895926978122535,6641,0.6388033859176606,629,0.0060187914940539,0.0,0.0,0.0,54.7872000024654,2.3203000018838797,72.02749999123625,3.779699996812269,0.5959999980404973,0.0895926978122535,0.0666202111937269,0.8437870909940195,16.501680374145508,5.187294960021973,3,85,0.1178337822239322,0.0006738596074767
