global_step,stage,trajectory_h_rel_l2,trajectory_momentum_rel_l2,mean_wet_iou,debris_front_mae_km,mixture_volume_relative_error,J_val,validation_status,first_nonfinite_step,is_global_best,is_stage_best,K
1000,STAGE_A,1.0561033487319946,1.4109766334295273,0.2031461298465728,15.944932442255787,0.5101281811302114,4.347900712733323,FINITE,,True,True,1
2000,STAGE_A,1.0671964436769483,2.587574452161789,0.2971500866115093,14.770648676917592,0.2488180457098947,4.198644704488726,FINITE,,True,True,1
3000,STAGE_B,1.0849907398223877,2.3842714428901672,0.282467495650053,15.770530716768164,0.1341261268664766,4.311402917381347,FINITE,,True,True,2
4000,STAGE_B,1.0110893696546557,57.80746531486511,0.3120773248374462,13.29526539263141,0.1994121829574958,14.896668649630554,FINITE,,False,False,2
5000,STAGE_C,1.0090624392032623,11.00178688764572,0.3600386716425419,12.057313070272851,0.2410228369688809,5.295946717838825,FINITE,,False,True,4
6000,STAGE_C,1.0051581859588623,6841.5911865234375,0.2834426052868366,14.2244721294505,0.1135070937741349,1371.8010879005265,FINITE,,False,False,4
8000,STAGE_C,1.0034910961985588,8.712713599205017,0.3452835381031036,15.035305570497687,0.1819098935000435,5.40563433464421,FINITE,,False,False,4
9000,STAGE_D,0.9993162155151368,8.597825109958649,0.3772986643016338,14.138685763512566,0.144130668220277,5.174769328935028,FINITE,,False,True,6
10000,STAGE_D,0.9753350615501404,7.477250039577484,0.3795818947255611,14.803549195428664,0.2128323316697383,5.107814563774765,FINITE,,False,True,6
11000,STAGE_D,0.9614723920822144,7.114264845848084,0.404549989849329,15.2681982805574,0.1780040372055474,5.098946103254423,FINITE,,False,True,6
12000,STAGE_D,0.9670469909906388,5.776135683059692,0.407993983477354,15.452650622519988,0.1401695072189315,4.850662315252319,FINITE,,False,True,6
13000,STAGE_D,0.9658416882157326,5.3085048496723175,0.4140480235219002,15.52467164193856,0.1409553002260742,4.769937617841031,FINITE,,False,True,6
14000,STAGE_D,0.9647035896778108,5.101201087236404,0.413873590528965,15.575623372864287,0.1459025997054873,4.740729230111765,FINITE,,False,True,6
