axis_order,x,y,terrain_z,distance_along_axis_m,downstream_progress_m,provenance
0,335745.0,3141045.0,2676.365234375,0.0,0.7557353248379185,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
1,335745.0,3141025.0,2676.47998046875,20.0,18.827409438556302,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
2,335745.0,3141005.0,2677.0498860677085,40.0,36.89908355227468,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
3,335745.0,3140985.0,2678.074951171875,60.0,54.97075766599307,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
4,335745.0,3140965.0,2680.8404134114585,80.0,73.04243177971145,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
5,335745.0,3140945.0,2684.5264485677085,100.0,91.11410589342984,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
6,335745.0,3140925.0,2689.133056640625,120.0,109.18578000714822,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
7,335730.8578643763,3140910.857864376,2692.4547551950855,140.0,115.90572857176834,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
8,335716.71572875255,3140896.7157287523,2695.7764537495464,160.0,122.62567713638845,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
9,335715.0,3140877.426406871,2703.459012563879,180.0,139.32015600639568,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
10,335715.0,3140857.426406871,2711.800568768777,200.0,157.39183012011407,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
11,335715.0,3140837.426406871,2720.2354646021104,220.0,175.46350423383245,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
12,335702.5735931288,3140822.573593129,2723.847320448258,240.0,183.56064804174295,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
13,335688.4314575051,3140808.431457505,2726.793253436219,260.0,190.28059660636305,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
14,335685.0,3140789.8528137426,2727.240564826017,280.0,205.59788023265915,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
15,335681.36038969323,3140771.360389693,2727.1468048717907,300.0,220.7480820592507,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
16,335667.2182540695,3140757.2182540693,2727.80166124955,320.0,227.4680306238708,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
17,335655.0,3140742.2792206137,2728.7456571734933,340.0,235.7322562319066,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
18,335655.0,3140722.2792206137,2731.5259306109933,360.0,253.803930345625,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
19,335646.00505063386,3140706.005050634,2733.8875234083043,380.0,264.65546464093285,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
