axis_order,row,col,x,y,terrain_z,native_axis_distance_m,downstream_progress_m
0,69,59,335758.0,3141052.0,2678.3759765625,14.7648230602334,0.0
1,70,59,335758.0,3140988.0,2682.525634765625,21.400934559032695,57.82935716389883
2,71,59,335758.0,3140924.0,2696.56005859375,24.698178070456937,115.65871432779765
3,71,58,335694.0,3140924.0,2691.319580078125,35.50261666802291,88.2403728387465
4,72,58,335694.0,3140860.0,2713.403076171875,27.2888192569006,146.06973000264531
5,73,58,335694.0,3140796.0,2728.287353515625,27.92243454502013,203.89908716654415
6,74,58,335694.0,3140732.0,2735.633544921875,36.786169322054704,261.728444330443
7,74,57,335630.0,3140732.0,2733.014892578125,27.030767218562392,234.31010284139182
8,75,57,335630.0,3140668.0,2739.57421875,23.935520991167138,292.13946000529063
9,76,57,335630.0,3140604.0,2750.335205078125,31.110055596702928,349.9688171691895
10,77,57,335630.0,3140540.0,2756.921875,15.532400964407886,407.7981743330883
11,78,57,335630.0,3140476.0,2763.535400390625,38.50462541196475,465.6275314969871
12,78,58,335694.0,3140476.0,2752.345947265625,35.88262638131461,493.04587298603826
13,78,59,335758.0,3140476.0,2756.521484375,34.4947474749651,520.4642144750894
14,79,59,335758.0,3140412.0,2766.963134765625,35.39625558809758,578.2935716389883
15,79,60,335822.0,3140412.0,2775.650390625,25.549211503308907,605.7119131280394
16,80,60,335822.0,3140348.0,2789.97119140625,36.436037386417226,663.5412702919383
17,80,61,335886.0,3140348.0,2773.055908203125,35.4724112540424,690.9596117809895
18,81,61,335886.0,3140284.0,2788.612060546875,35.36191836614324,748.7889689448882
19,81,62,335950.0,3140284.0,2768.629150390625,26.49186462725561,776.2073104339394
20,82,62,335950.0,3140220.0,2779.056640625,36.69578922464715,834.0366675978382
21,82,63,336014.0,3140220.0,2762.6572265625,36.4523580676097,861.4550090868894
22,83,63,336014.0,3140156.0,2763.527099609375,35.35694731032274,919.2843662507883
23,83,64,336078.0,3140156.0,2766.916259765625,27.440001204667837,946.7027077398393
24,84,64,336078.0,3140092.0,2771.0908203125,36.52094334267154,1004.5320649037382
25,84,65,336142.0,3140092.0,2768.017578125,18.901474196194254,1031.9504063927893
26,85,65,336142.0,3140028.0,2775.193115234375,35.3813547984162,1089.779763556688
27,85,66,336206.0,3140028.0,2763.56982421875,28.39307191007726,1117.1981050457393
28,86,66,336206.0,3139964.0,2760.778076171875,36.27889431995989,1175.027462209638
29,86,67,336270.0,3139964.0,2750.181640625,19.777030094190614,1202.4458036986894
30,87,67,336270.0,3139900.0,2746.986083984375,35.43508012309941,1260.275160862588
31,87,68,336334.0,3139900.0,2737.961669921875,29.350596085591533,1287.6935023516394
32,88,68,336334.0,3139836.0,2744.791015625,36.064042136634086,1345.5228595155381
33,88,69,336398.0,3139836.0,2730.77783203125,20.665773723596004,1372.9412010045892
34,89,69,336398.0,3139772.0,2743.64306640625,35.51799024420793,1430.7705581684882
35,89,70,336462.0,3139772.0,2715.892822265625,30.312151694486538,1458.1888996575392
36,90,70,336462.0,3139708.0,2714.195068359375,35.876875408324004,1516.018256821438
37,90,71,336526.0,3139708.0,2694.195556640625,21.56607473645892,1543.4365983104892
38,91,71,336526.0,3139644.0,2683.973876953125,35.62988142509495,1601.265955474388
39,91,72,336590.0,3139644.0,2654.105224609375,31.277366925860235,1628.6842969634392
40,92,72,336590.0,3139580.0,2640.8681640625,35.71782936556855,1686.513654127338
41,92,73,336654.0,3139580.0,2615.71630859375,22.47654437808398,1713.9319956163893
42,93,73,336654.0,3139516.0,2606.046875,35.7704817050986,1771.761352780288
43,93,74,336718.0,3139516.0,2581.05322265625,32.24591315152261,1799.179694269339
