i,j,x,y,terrain_z,chainage_m,distance_to_robust_low_track_m,robust_floor_z,height_above_robust_floor_m,erodible
1,1,331982.000000,3127548.000000,3926.11035,16800.000000,6587.776388,1903.736000,2022.374350,0
2,1,332046.000000,3127548.000000,3965.24048,16800.000000,6529.813585,1903.736000,2061.504480,0
3,1,332110.000000,3127548.000000,3988.83228,16800.000000,6471.964551,1903.736000,2085.096280,0
4,1,332174.000000,3127548.000000,4018.27271,16800.000000,6414.232367,1903.736000,2114.536710,0
5,1,332238.000000,3127548.000000,4042.63306,16800.000000,6356.620215,1903.736000,2138.897060,0
6,1,332302.000000,3127548.000000,4066.03979,16800.000000,6299.131390,1903.736000,2162.303790,0
7,1,332366.000000,3127548.000000,4066.72705,16800.000000,6241.769298,1903.736000,2162.991050,0
8,1,332430.000000,3127548.000000,4073.65991,16800.000000,6184.537466,1903.736000,2169.923910,0
9,1,332494.000000,3127548.000000,4077.15356,16800.000000,6127.439545,1903.736000,2173.417560,0
10,1,332558.000000,3127548.000000,4079.30005,16800.000000,6070.479312,1903.736000,2175.564050,0
11,1,332622.000000,3127548.000000,4077.51172,16800.000000,6013.660681,1903.736000,2173.775720,0
12,1,332686.000000,3127548.000000,4064.34985,16800.000000,5956.987703,1903.736000,2160.613850,0
13,1,332750.000000,3127548.000000,4045.78735,16800.000000,5900.464574,1903.736000,2142.051350,0
14,1,332814.000000,3127548.000000,4012.91992,16800.000000,5844.095644,1903.736000,2109.183920,0
15,1,332878.000000,3127548.000000,3968.79858,16800.000000,5787.885417,1903.736000,2065.062580,0
16,1,332942.000000,3127548.000000,3921.75586,16800.000000,5731.838562,1903.736000,2018.019860,0
17,1,333006.000000,3127548.000000,3879.10498,16800.000000,5675.959920,1903.736000,1975.368980,0
18,1,333070.000000,3127548.000000,3844.12524,16800.000000,5620.254506,1903.736000,1940.389240,0
19,1,333134.000000,3127548.000000,3833.88428,16800.000000,5564.727524,1903.736000,1930.148280,0
20,1,333198.000000,3127548.000000,3845.71948,16800.000000,5509.384369,1903.736000,1941.983480,0
21,1,333262.000000,3127548.000000,3838.44067,16800.000000,5454.230636,1903.736000,1934.704670,0
22,1,333326.000000,3127548.000000,3831.70703,16800.000000,5399.272130,1903.736000,1927.971030,0
23,1,333390.000000,3127548.000000,3841.43188,16800.000000,5344.514874,1903.736000,1937.695880,0
24,1,333454.000000,3127548.000000,3849.51465,16800.000000,5289.965117,1903.736000,1945.778650,0
25,1,333518.000000,3127548.000000,3852.32422,16800.000000,5235.629345,1903.736000,1948.588220,0
26,1,333582.000000,3127548.000000,3861.80396,16800.000000,5181.514291,1903.736000,1958.067960,0
27,1,333646.000000,3127548.000000,3851.1958,16800.000000,5127.626942,1903.736000,1947.459800,0
28,1,333710.000000,3127548.000000,3809.0188,16800.000000,5073.974552,1903.736000,1905.282800,0
29,1,333774.000000,3127548.000000,3745.7373,16800.000000,5020.564655,1903.736000,1842.001300,0
30,1,333838.000000,3127548.000000,3658.63257,16800.000000,4967.405073,1903.736000,1754.896570,0
31,1,333902.000000,3127548.000000,3558.57275,16800.000000,4914.503929,1903.736000,1654.836750,0
32,1,333966.000000,3127548.000000,3529.31079,16800.000000,4861.869658,1903.736000,1625.574790,0
33,1,334030.000000,3127548.000000,3527.50439,16800.000000,4809.511023,1903.736000,1623.768390,0
34,1,334094.000000,3127548.000000,3487.47974,16800.000000,4757.437123,1903.736000,1583.743740,0
35,1,334158.000000,3127548.000000,3421.2207,16800.000000,4705.657413,1903.736000,1517.484700,0
36,1,334222.000000,3127548.000000,3394.5957,16800.000000,4654.181710,1903.736000,1490.859700,0
37,1,334286.000000,3127548.000000,3380.55713,16800.000000,4603.020214,1903.736000,1476.821130,0
38,1,334350.000000,3127548.000000,3340.89062,16800.000000,4552.183520,1903.736000,1437.154620,0
39,1,334414.000000,3127548.000000,3280.6875,16950.000000,4501.246285,1890.454000,1390.233500,0
40,1,334478.000000,3127548.000000,3248.24756,16950.000000,4449.922672,1890.454000,1357.793560,0
41,1,334542.000000,3127548.000000,3246.05078,16950.000000,4398.931399,1890.454000,1355.596780,0
42,1,334606.000000,3127548.000000,3251.55029,16950.000000,4348.284157,1890.454000,1361.096290,0
43,1,334670.000000,3127548.000000,3248.45825,16950.000000,4297.993111,1890.454000,1358.004250,0
44,1,334734.000000,3127548.000000,3218.93433,16950.000000,4248.070908,1890.454000,1328.480330,0
45,1,334798.000000,3127548.000000,3160.05933,16950.000000,4198.530708,1890.454000,1269.605330,0
46,1,334862.000000,3127548.000000,3118.00342,16950.000000,4149.386192,1890.454000,1227.549420,0
47,1,334926.000000,3127548.000000,3080.79443,16950.000000,4100.651587,1890.454000,1190.340430,0
48,1,334990.000000,3127548.000000,3057.24609,16950.000000,4052.341681,1890.454000,1166.792090,0
49,1,335054.000000,3127548.000000,3045.58569,16950.000000,4004.471846,1890.454000,1155.131690,0
50,1,335118.000000,3127548.000000,3026.81274,16950.000000,3957.058052,1890.454000,1136.358740,0
51,1,335182.000000,3127548.000000,3007.14526,16950.000000,3910.116890,1890.454000,1116.691260,0
52,1,335246.000000,3127548.000000,3023.49902,16950.000000,3863.665586,1890.454000,1133.045020,0
53,1,335310.000000,3127548.000000,3019.66528,16950.000000,3817.722020,1890.454000,1129.211280,0
54,1,335374.000000,3127548.000000,3034.59253,16981.446950,3772.108672,1894.089896,1140.502634,0
55,1,335438.000000,3127548.000000,3036.80908,17000.000000,3726.566925,1896.235000,1140.574080,0
56,1,335502.000000,3127548.000000,3028.73364,17000.000000,3681.504498,1896.235000,1132.498640,0
57,1,335566.000000,3127548.000000,3021.802,17000.000000,3637.009993,1896.235000,1125.567000,0
58,1,335630.000000,3127548.000000,3011.49072,17000.000000,3593.104509,1896.235000,1115.255720,0
59,1,335694.000000,3127548.000000,2982.61377,17000.000000,3549.809901,1896.235000,1086.378770,0
60,1,335758.000000,3127548.000000,2941.79517,17000.000000,3507.148792,1896.235000,1045.560170,0
61,1,335822.000000,3127548.000000,2907.48926,17000.000000,3465.144582,1896.235000,1011.254260,0
62,1,335886.000000,3127548.000000,2870.62573,17000.000000,3423.821446,1896.235000,974.390730,0
63,1,335950.000000,3127548.000000,2850.80298,17000.000000,3383.204341,1896.235000,954.567980,0
64,1,336014.000000,3127548.000000,2859.38208,17000.000000,3343.319000,1896.235000,963.147080,0
65,1,336078.000000,3127548.000000,2871.83154,17000.000000,3304.191922,1896.235000,975.596540,0
66,1,336142.000000,3127548.000000,2848.64087,17000.000000,3265.850360,1896.235000,952.405870,0
67,1,336206.000000,3127548.000000,2825.34985,17000.000000,3228.322304,1896.235000,929.114850,0
68,1,336270.000000,3127548.000000,2819.89233,17000.000000,3191.636448,1896.235000,923.657330,0
69,1,336334.000000,3127548.000000,2832.17578,17000.000000,3155.822165,1896.235000,935.940780,0
70,1,336398.000000,3127548.000000,2856.85986,17000.000000,3120.909460,1896.235000,960.624860,0
71,1,336462.000000,3127548.000000,2870.98438,17000.000000,3086.928924,1896.235000,974.749380,0
72,1,336526.000000,3127548.000000,2874.83154,17000.000000,3053.911672,1896.235000,978.596540,0
73,1,336590.000000,3127548.000000,2891.99927,17000.000000,3021.889280,1896.235000,995.764270,0
74,1,336654.000000,3127548.000000,2906.15527,17000.000000,2990.893703,1896.235000,1009.920270,0
75,1,336718.000000,3127548.000000,2875.97388,17000.000000,2960.957187,1896.235000,979.738880,0
76,1,336782.000000,3127548.000000,2869.70435,17000.000000,2932.112171,1896.235000,973.469350,0
77,1,336846.000000,3127548.000000,2897.46924,17000.000000,2904.391177,1896.235000,1001.234240,0
78,1,336910.000000,3127548.000000,2912.66357,17000.000000,2877.826685,1896.235000,1016.428570,0
79,1,336974.000000,3127548.000000,2886.80005,17000.000000,2852.451007,1896.235000,990.565050,0
80,1,337038.000000,3127548.000000,2835.49927,17100.000000,2827.961795,1899.253000,936.246270,0
81,1,337102.000000,3127548.000000,2788.73364,17100.000000,2802.061621,1899.253000,889.480640,0
82,1,337166.000000,3127548.000000,2749.24561,17127.379233,2777.245898,1897.355072,851.890538,0
83,1,337230.000000,3127548.000000,2740.3208,17183.560164,2752.615489,1885.487386,854.833414,0
84,1,337294.000000,3127548.000000,2748.56592,17242.667272,2728.000099,1882.382508,866.183412,0
85,1,337358.000000,3127548.000000,2779.40088,17250.000000,2703.879693,1882.716000,896.684880,0
86,1,337422.000000,3127548.000000,2811.4917,17250.000000,2681.060326,1882.716000,928.775700,0
