chainage_m,corridor_x,corridor_y,robust_offset_m,robust_low_x,robust_low_y,robust_floor_z
0.0,334051.794,3143392.493,-100.0,333972.29354525614,3143331.8326530214,2777.07
50.0,334082.124,3143352.743,-130.0,333978.77403576433,3143273.883727289,2772.032
100.0,334112.455,3143312.993,-130.0,334011.9190846931,3143230.576195079,2786.42
150.0,334145.377,3143275.584,-160.0,334030.4831742334,3143164.231367338,2768.174
200.0,334181.854,3143241.387,-160.0,334072.4237387138,3143124.660747962,2765.543
250.0,334218.331,3143207.19,-160.0,334108.9007387135,3143090.4637479624,2765.271
300.0,334254.808,3143172.993,-190.0,334124.780203753,3143034.455018915,2760.644
350.0,334291.245,3143138.755,-160.0,334179.8810362796,3143023.872157136,2761.801
400.0,334326.6,3143103.4,-160.0,334213.4629150105,3142990.2629150096,2760.31
450.0,334361.956,3143068.044,-160.0,334248.81891500996,3142954.9069150104,2767.417
500.0,334397.311,3143032.689,-160.0,334284.0268074045,3142919.6992141427,2762.069
550.0,334432.573,3142997.243,-130.0,334338.9616456637,3142907.03815346,2756.556
600.0,334466.689,3142960.691,-130.0,334371.65224743483,3142871.98916427,2756.513
650.0,334500.805,3142924.138,-70.0,334449.6310381118,3142876.3758222368,2749.733
700.0,334534.921,3142887.585,-10.0,334527.6103841348,3142880.7618851927,2742.625
750.0,334569.036,3142851.032,80.0,334625.72048831015,3142907.4843585426,2741.258
800.0,334605.447,3142816.769,110.0,334680.7551382393,3142896.9480765406,2741.834
850.0,334641.924,3142782.572,140.0,334737.6761771718,3142884.706815645,2747.424
900.0,334678.4,3142748.375,140.0,334774.1521771722,3142850.509815645,2749.854
950.0,334714.877,3142714.178,140.0,334814.8123304199,3142812.2235492812,2744.753
1000.0,334748.285,3142677.143,80.0,334809.2493581243,3142728.94403318,2746.4
1050.0,334779.52,3142638.1,-160.0,334654.5819270836,3142538.1476216596,2736.823
1100.0,334810.755,3142599.057,-190.0,334662.39029693656,3142480.364477553,2730.075
1150.0,334841.99,3142560.013,-190.0,334691.78935842577,3142443.6524943686,2747.49
