path_order,x,y,terrain_z,projected_chainage,distance_to_canonical_corridor,native_z,m32_z,m64_z
0,335438.0,3141500.0,2682.7864,2350.5078441555133,318.90079293736164,2680.076416015625,2681.5615234375,2682.786376953125
1,335502.0,3141500.0,2687.2227,2392.4233986142553,270.53669163872246,2685.378173828125,2687.530517578125,2687.22265625
2,335566.0,3141436.0,2694.1968,2503.981227233259,258.80224333658373,2692.990966796875,2695.76220703125,2694.19677734375
3,335630.0,3141436.0,2694.2693,2541.82850170542,207.1923236017873,2691.3173828125,2696.593017578125,2694.269287109375
4,335694.0,3141436.0,2698.9253,2579.675776177581,155.58240386703778,2696.58349609375,2703.62890625,2698.92529296875
5,335758.0,3141436.0,2702.5813,2614.4049513324335,104.01922899156675,2702.9990234375,2702.68896484375,2702.581298828125
6,335822.0,3141436.0,2704.6003,2653.1360442808077,54.03612161332134,2704.94580078125,2702.607177734375,2704.600341796875
7,335886.0,3141436.0,2718.523,2693.116527324291,4.060517809112849,2720.272705078125,2718.98974609375,2718.52294921875
8,335950.0,3141372.0,2731.9973,2783.072614172128,5.9346029518942975,2735.547607421875,2739.648681640625,2731.997314453125
9,335950.0,3141308.0,2733.1426,2835.0444967365524,32.390372931751976,2737.37841796875,2742.1748046875,2733.142578125
10,335950.0,3141244.0,2737.0142,2887.330439985497,69.29809757822257,2739.74853515625,2744.453369140625,2737.01416015625
11,335950.0,3141180.0,2744.9033,2939.616383234442,106.20582222447216,2753.03759765625,2755.843017578125,2744.9033203125
12,335950.0,3141116.0,2761.519,2991.902326483387,143.1135468706742,2769.239501953125,2770.060546875,2761.51904296875
13,335950.0,3141052.0,2770.026,3054.229119634505,178.07964384116718,2773.30322265625,2773.906494140625,2770.02587890625
14,335950.0,3140988.0,2773.4817,3108.5010110908306,211.999576001272,2774.8095703125,2777.75537109375,2773.481689453125
15,335950.0,3140924.0,2778.7358,3162.7729025471563,245.91950816157424,2780.64697265625,2782.408203125,2778.73583984375
16,335950.0,3140860.0,2781.471,3203.264821563399,280.178514522438,2781.654296875,2783.043701171875,2781.470947265625
17,335950.0,3140796.0,2783.8171,3203.264821563399,321.05451250527534,2783.76806640625,2784.8232421875,2783.817138671875
18,335950.0,3140732.0,2785.525,3244.277014872219,366.2813126546316,2785.311767578125,2786.78466796875,2785.52490234375
19,335950.0,3140668.0,2786.4646,3289.531848868158,411.5361466505707,2786.705322265625,2786.872314453125,2786.464599609375
20,335950.0,3140604.0,2786.9524,3334.7866828640967,456.7909806465097,2786.926025390625,2787.16357421875,2786.952392578125
21,335950.0,3140540.0,2788.063,3380.0415168600357,502.04581464244876,2787.626953125,2787.5703125,2788.06298828125
22,335950.0,3140476.0,2787.9287,3465.209570248897,545.1189718687211,2786.931884765625,2787.08837890625,2787.9287109375
23,335950.0,3140412.0,2784.1453,3513.6462427461233,586.9506435706747,2784.038818359375,2784.921875,2784.145263671875
24,335950.0,3140348.0,2775.5608,3562.0829152433494,628.7823152729329,2778.45654296875,2775.11572265625,2775.560791015625
25,335950.0,3140284.0,2768.6292,3610.5195877405754,670.6139869751909,2766.290283203125,2766.876708984375,2768.629150390625
26,336014.0,3140220.0,2762.6572,3700.7879319399517,664.0089861799624,2755.681640625,2760.23681640625,2762.6572265625
27,336078.0,3140156.0,2766.9163,3760.723184467248,660.6169423543778,2763.27734375,2765.32958984375,2766.916259765625
28,336142.0,3140092.0,2768.0176,3851.1998137035107,658.1716280506372,2767.835693359375,2769.192626953125,2768.017578125
29,336206.0,3140092.0,2764.0034,3895.215471169801,611.7106562806777,2763.72314453125,2761.038330078125,2764.00341796875
30,336270.0,3140156.0,2759.2737,3892.770156866118,521.2340270444992,2751.198974609375,2750.113037109375,2759.273681640625
31,336334.0,3140220.0,2720.0425,3890.3248425624356,430.7573978079581,2715.00341796875,2713.325927734375,2720.04248046875
32,336398.0,3140220.0,2688.5654,3934.3405000287257,384.2964260379986,2691.869384765625,2687.0078125,2688.5654296875
33,336462.0,3140220.0,2642.5776,3967.810739560384,338.0,2651.22802734375,2646.72607421875,2642.57763671875
34,336526.0,3140220.0,2604.263,3997.208839428608,294.9775444405617,2623.495361328125,2620.125732421875,2604.262939453125
35,336590.0,3140220.0,2566.66,4045.043035824362,252.45825875552418,2591.35498046875,2570.603271484375,2566.659912109375
36,336654.0,3140220.0,2521.5005,4092.877232220116,209.93897307013864,2538.430419921875,2527.969482421875,2521.50048828125
37,336718.0,3140220.0,2493.7979,4140.71142861587,167.41968738513978,2507.546875,2493.828369140625,2493.7978515625
38,336782.0,3140220.0,2473.988,4188.545625011625,124.90040170010225,2467.62451171875,2467.307861328125,2473.988037109375
