chainage,corridor_x,corridor_y,robust_offset,robust_low_x,robust_low_y,GateB_robust_floor_z,native_GLO30_z_at_robust_low,32m_z_at_robust_low,64m_z_at_robust_low
2200.0,335577.653,3141819.864,-190.0,335444.17753187637,3141684.6445509214,2719.093,2719.092529296875,2720.568603515625,2724.298828125
2250.0,335613.164,3141784.811,-190.0,335474.52569827717,3141654.8901729733,2713.809,2713.80908203125,2716.49267578125,2716.583740234375
2300.0,335645.911,3141747.026,-190.0,335502.32994888927,3141622.5893423706,2714.803,2714.802734375,2717.03173828125,2716.583740234375
2350.0,335678.657,3141709.242,-190.0,335535.0759488892,3141584.805342371,2714.859,2714.858642578125,2716.3427734375,2714.64013671875
2400.0,335711.404,3141671.457,-190.0,335565.6595647714,3141549.561308526,2713.836,2713.8359375,2709.091552734375,2714.64013671875
2450.0,335742.777,3141632.577,-190.0,335592.194912006,3141516.7105476707,2708.163,2709.7314453125,2706.85693359375,2700.78125
2500.0,335772.345,3141592.257,-190.0,335619.1273863406,3141479.8988099806,2695.222,2693.249267578125,2698.275146484375,2701.375244140625
2550.0,335801.913,3141551.936,-160.0,335672.8876411287,3141457.318576826,2693.793,2693.79345703125,2694.365234375,2698.92529296875
2600.0,335831.481,3141511.616,-130.0,335727.80942798767,3141433.180005989,2702.472,2700.72412109375,2704.811279296875,2702.581298828125
2650.0,335862.236,3141472.205,-100.0,335783.77294584445,3141410.2086361344,2702.306,2702.305908203125,2702.68896484375,2702.581298828125
2700.0,335893.471,3141433.161,-100.0,335815.38431417715,3141370.6912513436,2694.921,2694.605712890625,2692.297607421875,2694.601318359375
2750.0,335924.706,3141394.118,-130.0,335823.1931816032,3141312.9074852793,2690.854,2685.628662109375,2688.1123046875,2685.7666015625
2800.0,335955.94,3141355.075,-130.0,335852.33917610627,3141276.545583292,2695.833,2695.8330078125,2684.849365234375,2685.7666015625
2850.0,335985.086,3141314.461,-190.0,335830.29094921984,3141204.286174137,2700.245,2692.389404296875,2693.245361328125,2694.074462890625
2900.0,336013.921,3141273.612,-190.0,335858.69757988135,3141164.041521099,2697.889,2697.888916015625,2700.541015625,2709.03564453125
2950.0,336042.755,3141232.764,-190.0,335887.5313166053,3141123.1938940706,2716.701,2716.70068359375,2724.822509765625,2716.15185546875
3000.0,336071.589,3141191.916,-190.0,335914.2203923812,3141085.449473166,2755.094,2760.7529296875,2733.890869140625,2716.15185546875
3050.0,336098.77,3141149.968,-190.0,335938.47862122493,3141047.954893536,2764.588,2764.588134765625,2767.821044921875,2770.02587890625
3100.0,336125.27,3141107.568,-190.0,335964.15032223915,3141006.868201399,2772.853,2772.8525390625,2775.00732421875,2773.481689453125
3150.0,336151.77,3141065.168,-190.0,335990.6508559526,3140964.4673474627,2781.587,2782.335205078125,2781.525634765625,2780.77978515625
3200.0,336178.27,3141022.769,-190.0,336028.7046380904,3140905.593053164,2786.09,2786.089599609375,2786.140625,2785.337890625
3250.0,336213.047,3140986.953,-190.0,336077.71249329863,3140853.5941934073,2791.752,2791.751708984375,2791.65478515625,2793.37841796875
3300.0,336248.402,3140951.598,-100.0,336177.69132188114,3140880.887321882,2804.945,2801.346923828125,2807.23828125,2812.222900390625
3350.0,336283.757,3140916.243,-190.0,336149.4067115744,3140781.8927115747,2814.157,2816.19775390625,2817.869873046875,2814.009033203125
3400.0,336319.113,3140880.887,-190.0,336181.4111051979,3140749.9740970153,2820.309,2821.776611328125,2821.258056640625,2821.774169921875
3450.0,336352.617,3140843.812,-190.0,336210.2249332071,3140718.016533808,2820.352,2822.217529296875,2822.0869140625,2821.774169921875
3500.0,336385.298,3140805.97,-190.0,336241.50107314385,3140681.7828677087,2823.804,2824.599365234375,2824.62060546875,2827.077880859375
3550.0,336417.979,3140768.129,-190.0,336274.182884856,3140643.9409278296,2828.62,2828.620361328125,2828.835693359375,2827.077880859375
3600.0,336450.66,3140730.288,-190.0,336306.86388485605,3140606.099927829,2831.044,2831.10009765625,2830.814208984375,2827.567138671875
3650.0,336483.341,3140692.447,-100.0,336407.6588341348,3140627.0848567523,2809.867,2809.8671875,2802.1708984375,2802.588134765625
3700.0,336516.022,3140654.606,-100.0,336441.67602541525,3140587.727931375,2771.699,2778.40625,2767.255615234375,2769.396240234375
3750.0,336550.202,3140618.12,-130.0,336455.57841568626,3140528.977544954,2723.234,2722.208740234375,2727.58935546875,2729.562744140625
3800.0,336584.589,3140581.823,-160.0,336468.43640239903,3140471.7840338536,2699.011,2695.406494140625,2687.384033203125,2699.20703125
3850.0,336618.976,3140545.525,-160.0,336502.82344444504,3140435.4859894714,2672.261,2677.5517578125,2666.74169921875,2653.514404296875
3900.0,336653.364,3140509.227,-160.0,336537.21220123296,3140399.1871906435,2643.602,2643.601806640625,2637.821044921875,2653.514404296875
3950.0,336687.751,3140472.93,-160.0,336574.6803882513,3140359.726480802,2597.659,2577.801513671875,2593.3017578125,2571.157470703125
4000.0,336724.059,3140438.615,-190.0,336595.6756248349,3140298.5517679183,2542.173,2530.60546875,2532.102783203125,2531.04638671875
4050.0,336761.429,3140405.396,-160.0,336655.1294947549,3140285.811656608,2514.712,2514.71240234375,2507.20263671875,2505.96728515625
4100.0,336798.799,3140372.178,-130.0,336712.4313781904,3140275.0150754713,2499.063,2482.275634765625,2484.6337890625,2493.267578125
