path_order,x,y,terrain_z,projected_chainage_m,distance_to_canonical_corridor_m,running_min_z,adverse_rise_from_running_min_m,is_controlling_saddle
0,335742.0,3141068.0,2680.25,2911.166678819575,340.7236559146479,2680.25,0.0,False
1,335742.0,3141036.0,2676.9053,2937.3096504440473,359.17751823761466,2676.9053,0.0,False
2,335742.0,3141004.0,2676.942,2963.4526220685198,377.63138056085,2676.9053,0.036621094,False
3,335742.0,3140972.0,2679.3457,2989.5955936929918,396.0852428841328,2676.9053,2.4404297,False
4,335742.0,3140940.0,2685.126,3038.965150162413,413.8231723545323,2676.9053,8.220703,False
5,335742.0,3140908.0,2693.7217,3066.101095890576,430.7831384345847,2676.9053,16.816406,False
6,335742.0,3140876.0,2704.867,3093.2370416187387,447.74310451458774,2676.9053,27.96167,False
7,335710.0,3140844.0,2717.7627,3103.4130212668,491.83901632290167,2676.9053,40.85742,False
8,335678.0,3140812.0,2726.9534,3113.589000914861,535.9349281312155,2676.9053,50.048096,False
9,335678.0,3140780.0,2727.157,3140.724946643024,552.894894211268,2676.9053,50.25171,False
10,335678.0,3140748.0,2729.454,3167.8608923711868,569.8548602915179,2676.9053,52.54883,False
11,335678.0,3140716.0,2733.687,3194.9968380993496,586.8148263715702,2676.9053,56.78174,False
12,335678.0,3140684.0,2737.9028,3203.264821563399,604.0695324215583,2676.9053,60.99756,False
13,335678.0,3140652.0,2744.32,3203.264821563399,622.437145421126,2676.9053,67.414795,False
14,335678.0,3140620.0,2750.7874,3203.264821563399,641.8753773124499,2676.9053,73.88208,False
15,335678.0,3140588.0,2754.9888,3203.264821563399,662.2899667064269,2676.9053,78.083496,False
16,335678.0,3140556.0,2756.2383,3203.264821563399,683.593446428504,2676.9053,79.33301,False
17,335710.0,3140524.0,2751.5352,3221.649597874249,683.0651506262049,2676.9053,74.62988,False
18,335742.0,3140492.0,2752.0962,3266.904431870188,683.0651506262049,2676.9053,75.19092,False
19,335774.0,3140460.0,2759.8625,3312.1592658661275,683.0651506262049,2676.9053,82.957275,False
20,335806.0,3140428.0,2771.4092,3357.4140998620665,683.0651506262049,2676.9053,94.50391,False
21,335838.0,3140396.0,2775.1836,3452.549985391667,682.1727383663622,2676.9053,98.27832,True
22,335870.0,3140364.0,2772.8782,3497.6841574913556,678.8702379690523,2676.9053,95.9729,False
23,335902.0,3140332.0,2769.9426,3542.8183295910435,675.5677375714821,2676.9053,93.03735,False
24,335934.0,3140300.0,2767.1077,3587.9525016907314,672.2652371738678,2676.9053,90.20239,False
25,335966.0,3140268.0,2766.8767,3633.08667379042,668.9627367762537,2676.9053,89.971436,False
26,335998.0,3140236.0,2762.2058,3678.2208458901077,665.6602363789438,2676.9053,85.30054,False
27,336030.0,3140204.0,2760.2368,3706.0856929943357,662.582825011334,2676.9053,83.33154,False
28,336062.0,3140172.0,2764.7507,3738.104027158182,661.2282709303341,2676.9053,87.84546,False
29,336094.0,3140140.0,2765.3296,3783.342341776314,660.0056137784637,2676.9053,88.42432,False
30,336126.0,3140140.0,2770.19,3805.3501705094586,636.7751278934841,2676.9053,93.28467,False
31,336158.0,3140140.0,2775.0425,3827.357999242604,613.5446420085042,2676.9053,98.13721,False
32,336190.0,3140140.0,2774.6633,3849.3658279757487,590.3141561234822,2676.9053,97.75806,False
33,336222.0,3140140.0,2770.6848,3871.373656708894,567.0836702385025,2676.9053,93.77954,False
34,336254.0,3140172.0,2770.8357,3870.1509995570523,521.8453556204131,2676.9053,93.93042,False
35,336286.0,3140204.0,2755.0107,3868.928342405211,476.6070410023239,2676.9053,78.10547,False
36,336318.0,3140236.0,2729.8738,3867.7056852533697,431.3687263839144,2676.9053,52.968506,False
37,336350.0,3140268.0,2708.9102,3866.4830281015284,386.13041176582516,2676.9053,32.004883,False
38,336382.0,3140268.0,2692.097,3888.490856834673,362.8999258808454,2676.9053,15.19165,False
39,336414.0,3140268.0,2679.747,3910.4986855678185,339.6694399958233,2676.9053,2.8417969,False
40,336446.0,3140268.0,2651.891,3932.5065143009633,316.43895411084355,2651.891,0.0,False
41,336478.0,3140268.0,2616.3303,3954.5143430341086,293.2084682258638,2616.3303,0.0,False
42,336510.0,3140268.0,2579.9084,3967.810739560384,270.1184925176357,2579.9084,0.0,False
43,336542.0,3140268.0,2550.2517,3977.2779242637102,248.472075722506,2550.2517,0.0,False
44,336574.0,3140268.0,2535.8706,4001.195022461587,227.21243287998723,2535.8706,0.0,False
45,336606.0,3140268.0,2519.0403,4025.1121206594644,205.95279003712045,2519.0403,0.0,False
46,336638.0,3140268.0,2503.4673,4049.0292188573417,184.69314719460166,2503.4673,0.0,False
47,336670.0,3140268.0,2491.0535,4072.9463170552185,163.43350435208293,2491.0535,0.0,False
