path_order,x,y,terrain_z,projected_chainage_m,distance_to_canonical_corridor_m,running_min_z,adverse_rise_from_running_min_m,is_controlling_saddle
0,335745.0,3141045.0,2676.3652,2931.6869892674604,351.5364658695724,2676.3652,0.0,False
1,335745.0,3141015.0,2676.5374,2956.196025165403,368.836961797325,2676.3652,0.17211914,False
2,335745.0,3140985.0,2678.075,2980.705061063346,386.13745772539374,2676.3652,1.7097168,False
3,335745.0,3140955.0,2682.2231,3027.8351724223467,403.3291933423706,2676.3652,5.85791,False
4,335745.0,3140925.0,2689.133,3053.275121542499,419.2291615425647,2676.3652,12.767822,False
5,335745.0,3140895.0,2697.8398,3078.7150706626517,435.1291297425121,2676.3652,21.47461,False
6,335745.0,3140865.0,2709.2935,3104.155019782804,451.02909794270613,2676.3652,32.928223,False
7,335745.0,3140835.0,2722.3835,3129.594968902957,466.9290661429003,2676.3652,46.01831,False
8,335715.0,3140805.0,2728.4966,3139.1349498230143,508.26898346314834,2676.3652,52.131348,False
9,335715.0,3140775.0,2734.7966,3164.5748989431668,524.1689516630956,2676.3652,58.431396,False
10,335715.0,3140745.0,2741.3413,3190.0148480633197,540.0689198632898,2676.3652,64.976074,False
11,335715.0,3140715.0,2742.4875,3203.264821563399,556.1025085359713,2676.3652,66.122314,False
12,335715.0,3140685.0,2742.7205,3203.264821563399,573.1055749161754,2676.3652,66.355225,False
13,335715.0,3140655.0,2748.2832,3203.264821563399,591.1429607125505,2676.3652,71.91797,False
14,335685.0,3140625.0,2750.28,3203.264821563399,633.2850858815483,2676.3652,73.914795,False
15,335655.0,3140595.0,2753.2156,3203.264821563399,675.4628043053148,2676.3652,76.85034,False
16,335625.0,3140565.0,2754.7385,3203.264821563399,717.669840525572,2676.3652,78.37329,False
17,335625.0,3140535.0,2756.0837,3203.264821563399,737.0549504616328,2676.3652,79.718506,False
18,335655.0,3140505.0,2755.2327,3203.264821563399,735.4250471666028,2676.3652,78.86743,False
19,335685.0,3140505.0,2749.648,3217.40695718713,714.177848998413,2676.3652,73.282715,False
20,335715.0,3140505.0,2749.1277,3238.6201606227264,692.9646455628166,2676.3652,72.76245,False
21,335745.0,3140475.0,2749.549,3281.046567493919,692.9646455628166,2676.3652,73.18384,False
22,335775.0,3140445.0,2760.0625,3323.472974365112,692.9646455628166,2676.3652,83.697266,False
23,335805.0,3140415.0,2770.6423,3365.899381236305,692.9646455628166,2676.3652,94.2771,False
24,335835.0,3140385.0,2773.4456,3458.91417886609,691.6330259635527,2676.3652,97.08032,True
25,335865.0,3140355.0,2771.977,3501.2274652095475,688.5369318409248,2676.3652,95.61182,False
26,335895.0,3140355.0,2771.0928,3520.83606131993,665.8322416077299,2676.3652,94.72754,False
27,335925.0,3140325.0,2767.106,3563.1493476633877,662.7361474851019,2676.3652,90.74072,False
28,335955.0,3140295.0,2766.2903,3605.4626340068453,659.6400533625181,2676.3652,89.92505,False
29,335985.0,3140265.0,2766.5564,3647.775920350303,656.5439592396298,2676.3652,90.19116,False
30,336015.0,3140235.0,2761.9417,3690.0892066937604,653.4478651170459,2676.3652,85.576416,False
31,336045.0,3140205.0,2765.1204,3706.0856929943357,650.8840142452417,2676.3652,88.75513,False
32,336075.0,3140175.0,2770.022,3744.866849529305,649.7276520955747,2676.3652,93.65674,False
33,336105.0,3140145.0,2767.2974,3787.2777694838032,648.5814110158591,2676.3652,90.93213,False
34,336135.0,3140115.0,2764.378,3829.6886894383015,647.4351699361434,2676.3652,88.012695,False
35,336165.0,3140115.0,2768.1055,3850.321028875625,625.6565894188575,2676.3652,91.740234,False
36,336195.0,3140115.0,2767.1062,3870.9533683129484,603.8780089015714,2676.3652,90.74097,False
37,336225.0,3140145.0,2771.5737,3869.807127233097,561.467088946993,2676.3652,95.208496,False
38,336255.0,3140175.0,2771.0413,3868.660886153246,519.0561689927772,2676.3652,94.676025,False
39,336285.0,3140205.0,2756.6135,3867.5146450733946,476.64524903824116,2676.3652,80.24829,False
40,336315.0,3140235.0,2732.5996,3866.3684039935433,434.234329083705,2676.3652,56.234375,False
41,336345.0,3140265.0,2710.6157,3865.222162913692,391.8234091291689,2676.3652,34.25049,False
42,336375.0,3140265.0,2692.6226,3885.8545023510155,370.04482861184067,2676.3652,16.257324,False
43,336405.0,3140265.0,2685.442,3906.486841788339,348.2662480948749,2676.3652,9.07666,False
44,336435.0,3140265.0,2663.1978,3927.1191812256625,326.4876675775889,2663.1978,0.0,False
45,336465.0,3140265.0,2627.3325,3947.751520662986,304.7090870606232,2627.3325,0.0,False
46,336495.0,3140265.0,2595.85,3967.810739560384,282.93108701590216,2595.85,0.0,False
47,336525.0,3140265.0,2560.1,3967.810739560384,262.01145013147806,2560.1,0.0,False
48,336555.0,3140265.0,2542.1729,3988.9873369230877,242.07757377349733,2542.1729,0.0,False
49,336585.0,3140265.0,2532.6655,4011.4096164835973,222.1466586086771,2532.6655,0.0,False
50,336615.0,3140265.0,2510.8818,4033.831896044107,202.21574344381816,2510.8818,0.0,False
51,336645.0,3140265.0,2498.243,4056.254175604617,182.2848282789979,2498.243,0.0,False
52,336675.0,3140265.0,2487.4766,4078.6764551651268,162.35391311413898,2487.4766,0.0,False
