frame,time_s,finite,max_depth_m,max_speed_ms,p99_wet_speed_ms,wet_cell_count,total_wet_volume_m3,entrained_volume_m3,max_bdif_m,unrestricted_max_projected_chainage_m,source_ledger_expected_m3
0,0.0,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1,30.0,True,14.26363593552869,14.795896760910749,14.589494551157594,19,511762.93760620966,11877.235502103214,0.8425546605079657,509.8942387048844,499999.9999999999
2,60.0,True,34.42121281146677,21.09428232747608,20.261518669780394,44,1552961.10698927,53621.71151192972,2.0,875.1588875835486,1499999.9999999998
3,90.0,True,40.60772420474437,18.2861508791829,18.235716654658738,55,2090978.8766708313,92065.55307024583,2.0,1090.6716099003097,2000000.0
4,120.0,True,38.66140783613103,17.72687680152271,17.298729148422616,71,2123494.585469325,125164.84824645985,2.0,1232.1738770466366,2000000.0
5,150.0,True,38.66140783613103,19.435093167594772,18.75613293262684,88,2166084.4676422128,170195.86802077809,2.0,1460.6503517473525,2000000.0
6,180.0,True,38.04099293938643,19.13135985078295,18.871389203165215,96,2210895.4408841003,216824.39590852076,2.0,1600.323858011462,2000000.0
7,210.0,True,38.04099293938643,18.700041830395662,18.18774062177304,104,2255312.180075274,260429.55016710353,2.0,1815.4292475770383,2000000.0
8,240.0,True,38.04099293938643,18.490309571083856,17.863947206879633,109,2298001.65058152,306792.43380893534,2.0,2031.7546722258878,2000000.0
9,270.0,True,38.04099293938643,17.952954832525307,17.062880140193204,118,2338653.80885829,349220.1285507648,2.0,2308.592892132688,2000000.0
10,300.0,True,38.04099293938643,17.844843406737436,17.38511514124741,122,2378426.8968633804,393566.2300677588,2.0,2350.5082691350826,2000000.0
11,330.0,True,38.04099293938643,18.03761885988592,17.544542345681734,123,2415944.1204047995,431497.6703272897,2.0,2392.4232180611207,2000000.0
12,360.0,True,38.04099293938643,17.871408678541837,17.458085655805196,123,2445732.0872453405,463535.16566056863,2.0,2466.1340059864087,2000000.0
13,390.0,True,38.04099293938643,17.929202699106035,17.29936066367154,125,2472918.7778972024,493032.57447167474,2.0,2503.9845115837525,2000000.0
14,420.0,True,38.04099293938643,17.9644224385354,16.873525303661424,124,2498025.173372344,510872.5139117771,2.0,2541.8307997294078,2000000.0
15,450.0,True,38.04099293938643,17.63780812302876,16.44793312217574,124,2518736.2216660897,530142.6703832089,2.0,2541.8307997294078,2000000.0
16,480.0,True,38.04099293938643,17.322089032966105,16.33371114349597,124,2538361.9755435186,544648.5147578998,2.0,2579.675726414622,2000000.0
17,510.0,True,38.04099293938643,16.61775889838928,15.744566122475572,123,2554617.278014107,563688.3238916271,2.0,2579.675726414622,2000000.0
18,540.0,True,38.04099293938643,16.165194894369076,15.652036685715153,124,2566898.989237429,577726.2487374827,2.0,2579.675726414622,2000000.0
19,570.0,True,38.04099293938643,16.0758265947866,15.533640185858022,122,2576602.674995245,576082.5522846695,2.0,2614.4090852927006,2000000.0
20,600.0,True,38.04099293938643,15.583203875878137,15.150585252128966,120,2584148.066129959,571719.9611198958,2.0,2614.4090852927006,2000000.0
21,630.0,True,38.04099293938643,14.65817626279168,13.754521069560244,118,2589883.78189608,573235.1881729324,2.0,2614.4090852927006,2000000.0
22,660.0,True,38.04099293938643,14.33886781390595,13.488479660246849,117,2594787.0364878117,569603.0293532022,2.0,2614.4090852927006,2000000.0
23,690.0,True,38.04099293938643,13.98016738003535,13.256085584432942,114,2599375.389117936,562222.2673441796,2.0,2614.4090852927006,2000000.0
24,720.0,True,38.04099293938643,13.644682393262254,13.049233177429997,115,2603844.997351624,570125.6917311786,2.0,2614.4090852927006,2000000.0
25,750.0,True,38.04099293938643,13.110241797836597,12.871677694804871,113,2607777.491952461,565078.5265186084,2.0,2614.4090852927006,2000000.0
26,780.0,True,38.04099293938643,12.787335370497516,12.647670194077271,113,2611473.6663211975,572022.9713432532,2.0,2614.4090852927006,2000000.0
27,810.0,True,38.04099293938643,12.357815706422853,12.221344402996575,113,2615087.1605801196,578762.0793247062,2.0,2614.4090852927006,2000000.0
28,840.0,True,38.04099293938643,12.157154930557615,11.905628832462618,113,2617831.7040198036,584295.097186126,2.0,2614.4090852927006,2000000.0
29,870.0,True,38.04099293938643,11.297950272968919,11.24235496539345,112,2620175.6266134977,583551.6500624645,2.0,2614.4090852927006,2000000.0
30,900.0,True,38.04099293938643,11.09774370842588,10.652299774172787,110,2622921.0943904417,569450.8438220085,2.0,2614.4090852927006,2000000.0
