milestone,milestone_distance_m,x,y,depth_threshold_m,earliest_arrival_s
M25,526.1574669941297,335625.0,3140574.7056274847,0.001,
M25,526.1574669941297,335625.0,3140574.7056274847,0.05,
M25,526.1574669941297,335625.0,3140574.7056274847,0.1,
M25,526.1574669941297,335625.0,3140574.7056274847,0.2,
M50,1052.3149339882593,335996.3351365238,3140223.664863476,0.001,
M50,1052.3149339882593,335996.3351365238,3140223.664863476,0.05,
M50,1052.3149339882593,335996.3351365238,3140223.664863476,0.1,
M50,1052.3149339882593,335996.3351365238,3140223.664863476,0.2,
M75,1578.472400982389,336364.0306627408,3139855.9693372594,0.001,
M75,1578.472400982389,336364.0306627408,3139855.9693372594,0.05,
M75,1578.472400982389,336364.0306627408,3139855.9693372594,0.1,
M75,1578.472400982389,336364.0306627408,3139855.9693372594,0.2,
M90,1894.1668811788668,336590.3048327205,3139629.6951672793,0.001,
M90,1894.1668811788668,336590.3048327205,3139629.6951672793,0.05,
M90,1894.1668811788668,336590.3048327205,3139629.6951672793,0.1,
M90,1894.1668811788668,336590.3048327205,3139629.6951672793,0.2,
M100,2104.6298679765187,336735.0,3139485.0,0.001,
M100,2104.6298679765187,336735.0,3139485.0,0.05,
M100,2104.6298679765187,336735.0,3139485.0,0.1,
M100,2104.6298679765187,336735.0,3139485.0,0.2,
