case,time_s,depth_threshold_m,max_chainage_128m,max_chainage_256m,max_chainage_512m,max_chainage_1000m,max_chainage_unrestricted,max_lateral_distance_m,max_euclidean_distance_from_S0_m
C1,30,0.001,373.69523767201326,373.69523767201326,373.69523767201326,373.69523767201326,373.69523767201326,209.9243304913095,395.04067659463095
C1,30,0.01,373.69523767201326,373.69523767201326,373.69523767201326,373.69523767201326,373.69523767201326,209.9243304913095,395.04067659463095
C1,30,0.05,188.83551444468895,323.0703600064646,323.0703600064646,323.0703600064646,323.0703600064646,209.9243304913095,371.976786342594
C1,30,0.1,188.83551444468895,323.0703600064646,323.0703600064646,323.0703600064646,323.0703600064646,209.9243304913095,371.976786342594
C1,60,0.001,646.2376529771553,646.2376529771553,646.2376529771553,646.2376529771553,646.2376529771553,256.6147115562749,645.2789008975232
C1,60,0.01,602.5692849541147,602.5692849541147,602.5692849541147,602.5692849541147,602.5692849541147,256.6147115562749,604.9185510107419
C1,60,0.05,602.5692849541147,602.5692849541147,602.5692849541147,602.5692849541147,602.5692849541147,256.6147115562749,604.9185510107419
C1,60,0.1,558.900916931074,558.900916931074,558.900916931074,558.900916931074,558.900916931074,256.6147115562749,568.911281985474
C1,90,0.001,875.1598858206247,921.8502668855901,921.8502668855901,921.8502668855901,921.8502668855901,256.6147115562749,926.1036343697401
C1,90,0.01,875.1598858206247,875.1598858206247,875.1598858206247,875.1598858206247,875.1598858206247,256.6147115562749,875.3568043982187
C1,90,0.05,875.1598858206247,875.1598858206247,875.1598858206247,875.1598858206247,875.1598858206247,256.6147115562749,875.3568043982187
C1,90,0.1,875.1598858206247,875.1598858206247,875.1598858206247,875.1598858206247,875.1598858206247,256.6147115562749,875.3568043982187
C1,120,0.001,1050.6902256499422,1050.6902256499422,1050.6902256499422,1050.6902256499422,1050.6902256499422,256.6147115562749,1051.2626159728686
C1,120,0.01,1050.6902256499422,1050.6902256499422,1050.6902256499422,1050.6902256499422,1050.6902256499422,256.6147115562749,1051.2626159728686
C1,120,0.05,1050.6902256499422,1050.6902256499422,1050.6902256499422,1050.6902256499422,1050.6902256499422,256.6147115562749,1051.2626159728686
C1,120,0.1,1000.7146218455883,1000.7146218455883,1000.7146218455883,1000.7146218455883,1000.7146218455883,212.13203435596427,1007.2070487370971
C1,150,0.001,1110.6609502151668,1110.6609502151668,1110.6609502151668,1110.6609502151668,1110.6609502151668,256.6147115562749,1104.3933984719354
C1,150,0.01,1110.6609502151668,1110.6609502151668,1110.6609502151668,1110.6609502151668,1110.6609502151668,212.13203435596427,1104.3933984719354
C1,150,0.05,1110.6609502151668,1110.6609502151668,1110.6609502151668,1110.6609502151668,1110.6609502151668,212.13203435596427,1104.3933984719354
C1,150,0.1,1100.6658294542963,1100.6658294542963,1100.6658294542963,1100.6658294542963,1100.6658294542963,212.13203435596427,1097.2839816832036
C1,180,0.001,1110.6609502151668,1180.563896594787,1232.1738163295522,1232.1738163295522,1232.1738163295522,286.73502682748074,1227.527400163063
C1,180,0.01,1110.6609502151668,1180.563896594787,1180.563896594787,1180.563896594787,1180.563896594787,246.7545437839976,1172.6791843614615
C1,180,0.05,1110.6609502151668,1180.563896594787,1180.563896594787,1180.563896594787,1180.563896594787,246.7545437839976,1172.6791843614615
C1,180,0.1,1110.6609502151668,1180.563896594787,1180.563896594787,1180.563896594787,1180.563896594787,246.7545437839976,1172.6791843614615
C1,210,0.001,1110.6609502151668,1180.563896594787,1370.698065727749,1370.698065727749,1370.698065727749,415.1372918665172,1396.7521842833703
