case,kind,time_s,max_depth_m,cell_i,cell_j,x,y,terrain_elevation_m,corridor_chainage_m,distance_to_corridor_m,distance_from_nearest_source_cell_m,geometric_class
C1,GLOBAL,90,43.17256208376372,32,248,333966.0,3143356.0,,0.0,93.23232398634289,0.0,SOURCE_ZONE
C1,OUTSIDE_300M,750,11.65272306094237,44,229,334734.0,3142140.0,,1410.6785487712323,338.89706329827516,1262.2773070922253,MIDREACH
C2,GLOBAL,180,51.96526287234244,32,248,333966.0,3143356.0,,0.0,93.23232398634289,0.0,SOURCE_ZONE
C2,OUTSIDE_300M,0,0.0,1,1,331982.0,3127548.0,,16648.430554846866,6676.008388251171,15821.597390908417,MIDREACH
C3,GLOBAL,90,69.96686096370287,32,248,333966.0,3143356.0,,0.0,93.23232398634289,0.0,SOURCE_ZONE
C3,OUTSIDE_300M,690,12.92114216102403,44,228,334734.0,3142076.0,,1460.654152575586,378.8775463417583,1317.840658046336,MIDREACH
C4,GLOBAL,180,71.83208107527277,32,248,333966.0,3143356.0,,0.0,93.23232398634289,0.0,SOURCE_ZONE
C4,OUTSIDE_300M,660,14.98049690634188,44,229,334734.0,3142140.0,,1410.6785487712323,338.89706329827516,1262.2773070922253,MIDREACH
C5,GLOBAL,90,91.95267239930594,32,248,333966.0,3143356.0,,0.0,93.23232398634289,0.0,SOURCE_ZONE
C5,OUTSIDE_300M,600,13.30595473133195,44,228,334734.0,3142076.0,,1460.654152575586,378.8775463417583,1317.840658046336,MIDREACH
C6,GLOBAL,150,91.46591277354116,32,248,333966.0,3143356.0,,0.0,93.23232398634289,0.0,SOURCE_ZONE
C6,OUTSIDE_300M,900,12.78213869649606,44,228,334734.0,3142076.0,,1460.654152575586,378.8775463417583,1317.840658046336,MIDREACH
