chainage,corridor_x,corridor_y,robust_offset_m,robust_low_x,robust_low_y,robust_floor_z
0,334051.794,3143392.493,-100.0,333972.2935452588,3143331.832653018,2777.07
1,334052.4006,3143391.698,-100.6,333972.4231425304,3143330.673690936,2776.9692400000004
2,334053.0072,3143390.903,-101.2,333972.5527398019,3143329.5147288544,2776.86848
3,334053.6138,3143390.108,-101.8,333972.6823370647,3143328.355766784,2776.7677200000003
4,334054.2204,3143389.3129999996,-102.4,333972.8119343362,3143327.196804702,2776.66696
5,334054.827,3143388.5179999997,-103.0,333972.94153161655,3143326.0378426085,2776.5662
6,334055.4336,3143387.7229999998,-103.6,333973.0711288881,3143324.878880527,2776.46544
7,334056.0402,3143386.928,-104.2,333973.2007261597,3143323.7199184448,2776.36468
8,334056.6468,3143386.133,-104.8,333973.33032343123,3143322.560956363,2776.2639200000003
9,334057.2534,3143385.338,-105.4,333973.4599206937,3143321.401994293,2776.16316
10,334057.86,3143384.5429999996,-106.0,333973.5895179652,3143320.243032211,2776.0624000000003
11,334058.4666,3143383.7479999997,-106.6,333973.71911524585,3143319.084070117,2775.96164
12,334059.0732,3143382.9529999997,-107.2,333973.8487125174,3143317.9251080356,2775.86088
13,334059.6798,3143382.158,-107.8,333973.978309789,3143316.7661459534,2775.7601200000004
14,334060.2864,3143381.363,-108.4,333974.10790706053,3143315.607183872,2775.65936
15,334060.893,3143380.568,-109.0,333974.2375043227,3143314.4482218022,2775.5586000000003
16,334061.4996,3143379.7729999996,-109.6,333974.3671015942,3143313.28925972,2775.45784
17,334062.1062,3143378.9779999997,-110.2,333974.49669887515,3143312.130297626,2775.35708
18,334062.7128,3143378.1829999997,-110.8,333974.6262961467,3143310.971335544,2775.25632
19,334063.3194,3143377.388,-111.4,333974.7558934183,3143309.812373462,2775.15556
20,334063.926,3143376.593,-112.0,333974.88549068983,3143308.6534113805,2775.0548000000003
21,334064.5326,3143375.798,-112.6,333975.01508795173,3143307.4944493114,2774.95404
22,334065.1392,3143375.0029999996,-113.2,333975.14468522323,3143306.335487229,2774.8532800000003
23,334065.7458,3143374.2079999996,-113.8,333975.2742825045,3143305.1765251346,2774.75252
24,334066.3524,3143373.4129999997,-114.4,333975.40387977764,3143304.0175630506,2774.65176
25,334066.95900000003,3143372.618,-115.0,333975.53347704926,3143302.8586009685,2774.5510000000004
26,334067.56560000003,3143371.823,-115.6,333975.6630743192,3143301.699638889,2774.45024
27,334068.17220000003,3143371.028,-116.2,333975.79267159075,3143300.540676807,2774.3494800000003
28,334068.77880000003,3143370.233,-116.8,333975.9222688523,3143299.3817147384,2774.24872
29,334069.3854,3143369.4379999996,-117.4,333976.0518661238,3143298.2227526563,2774.1479600000002
30,334069.992,3143368.6429999997,-118.0,333976.18146340543,3143297.063790561,2774.0472
31,334070.5986,3143367.8479999998,-118.6,333976.311060677,3143295.9048284795,2773.94644
32,334071.2052,3143367.053,-119.2,333976.4406579485,3143294.745866398,2773.8456800000004
33,334071.8118,3143366.258,-119.8,333976.57025522005,3143293.5869043157,2773.74492
34,334072.4184,3143365.463,-120.4,333976.6998524813,3143292.4279422476,2773.6441600000003
35,334073.025,3143364.6679999996,-121.0,333976.8294497528,3143291.2689801655,2773.5434
36,334073.6316,3143363.8729999997,-121.6,333976.95904703473,3143290.11001807,2773.44264
37,334074.2382,3143363.0779999997,-122.2,333977.0886443063,3143288.951055988,2773.34188
38,334074.8448,3143362.283,-122.8,333977.21824157785,3143287.792093906,2773.24112
39,334075.4514,3143361.488,-123.4,333977.34783884935,3143286.6331318244,2773.1403600000003
40,334076.058,3143360.693,-124.0,333977.4774361103,3143285.4741697568,2773.0396
41,334076.6646,3143359.8979999996,-124.6,333977.6070333818,3143284.315207674,2772.9388400000003
42,334077.2712,3143359.1029999997,-125.2,333977.73663066403,3143283.1562455785,2772.83808
43,334077.8778,3143358.3079999997,-125.8,333977.8662279356,3143281.997283497,2772.73732
44,334078.4844,3143357.513,-126.4,333977.99582520715,3143280.838321415,2772.6365600000004
45,334079.091,3143356.718,-127.0,333978.1254224787,3143279.679359333,2772.5358
46,334079.6976,3143355.923,-127.6,333978.2550197393,3143278.5203972654,2772.4350400000003
47,334080.3042,3143355.1279999996,-128.2,333978.38461701083,3143277.3614351833,2772.33428
48,334080.9108,3143354.3329999996,-128.8,333978.51421429333,3143276.2024730872,2772.23352
49,334081.5174,3143353.5379999997,-129.4,333978.6438115649,3143275.0435110056,2772.13276
50,334082.124,3143352.743,-130.0,333978.77403576707,3143273.8837272855,2772.032
51,334082.73062,3143351.948,-130.0,333979.3812826984,3143273.08790566,2772.3197600000003
52,334083.33724,3143351.153,-130.0,333979.98790269846,3143272.29290566,2772.60752
53,334083.94386,3143350.358,-130.0,333980.5945226873,3143271.4979056744,2772.89528
54,334084.55048000003,3143349.5629999996,-130.0,333981.20114268735,3143270.702905674,2773.1830400000003
55,334085.1571,3143348.7679999997,-130.0,333981.80776269664,3143269.907905662,2773.4708
56,334085.76372,3143347.9729999998,-130.0,333982.4143826984,3143269.1129056597,2773.75856
57,334086.37034,3143347.178,-130.0,333983.02100269846,3143268.31790566,2774.04632
58,334086.97696,3143346.383,-130.0,333983.62762269843,3143267.52290566,2774.33408
59,334087.58358000003,3143345.588,-130.0,333984.23424268735,3143266.7279056744,2774.6218400000002
60,334088.1902,3143344.7929999996,-130.0,333984.84086268547,3143265.9329056763,2774.9096
61,334088.79682,3143343.9979999997,-130.0,333985.4474826984,3143265.1379056596,2775.19736
62,334089.40344,3143343.2029999997,-130.0,333986.05410269846,3143264.3429056597,2775.4851200000003
63,334090.01006,3143342.408,-130.0,333986.66072269843,3143263.54790566,2775.77288
64,334090.61668000004,3143341.613,-130.0,333987.26734269847,3143262.75290566,2776.06064
65,334091.2233,3143340.818,-130.0,333987.87396268547,3143261.9579056767,2776.3484000000003
66,334091.82992,3143340.0229999996,-130.0,333988.4805826873,3143261.162905674,2776.63616
67,334092.43654,3143339.2279999997,-130.0,333989.08720269846,3143260.3679056596,2776.92392
68,334093.04316,3143338.4329999997,-130.0,333989.69382269843,3143259.5729056597,2777.2116800000003
69,334093.64978000004,3143337.638,-130.0,333990.30044269847,3143258.7779056598,2777.49944
70,334094.2564,3143336.843,-130.0,333990.90706269664,3143257.982905662,2777.7872
71,334094.86302,3143336.048,-130.0,333991.5136826873,3143257.1879056743,2778.07496
72,334095.46964,3143335.2529999996,-130.0,333992.12030268734,3143256.392905674,2778.36272
73,334096.07626,3143334.4579999996,-130.0,333992.72692269844,3143255.5979056596,2778.6504800000002
74,334096.68288000004,3143333.6629999997,-130.0,333993.33354269847,3143254.8029056597,2778.93824
75,334097.2895,3143332.868,-130.0,333993.94016269664,3143254.007905662,2779.226
76,334097.89612,3143332.073,-130.0,333994.5467826984,3143253.21290566,2779.5137600000003
77,334098.50274,3143331.278,-130.0,333995.15340269846,3143252.41790566,2779.80152
78,334099.10936,3143330.483,-130.0,333995.7600226873,3143251.6229056744,2780.08928
79,334099.71598000004,3143329.6879999996,-130.0,333996.36664268735,3143250.827905674,2780.3770400000003
80,334100.3226,3143328.8929999997,-130.0,333996.97326269664,3143250.032905662,2780.6648
81,334100.92922,3143328.0979999998,-130.0,333997.5798826984,3143249.2379056597,2780.95256
82,334101.53584,3143327.303,-130.0,333998.18650269846,3143248.44290566,2781.24032
83,334102.14246,3143326.508,-130.0,333998.79312269844,3143247.64790566,2781.52808
84,334102.74908000004,3143325.713,-130.0,333999.39974268735,3143246.8529056744,2781.81584
85,334103.3557,3143324.9179999996,-130.0,334000.00636268547,3143246.0579056763,2782.1036
86,334103.96232,3143324.1229999997,-130.0,334000.6129826984,3143245.2629056596,2782.39136
87,334104.56894,3143323.3279999997,-130.0,334001.21960269846,3143244.4679056597,2782.6791200000002
88,334105.17556,3143322.533,-130.0,334001.82622269844,3143243.67290566,2782.96688
89,334105.78218000004,3143321.738,-130.0,334002.4328426985,3143242.87790566,2783.25464
90,334106.3888,3143320.943,-130.0,334003.03946268547,3143242.0829056767,2783.5424000000003
91,334106.99542,3143320.1479999996,-130.0,334003.6460826873,3143241.287905674,2783.83016
92,334107.60204,3143319.3529999997,-130.0,334004.25270269846,3143240.4929056596,2784.11792
93,334108.20866,3143318.5579999997,-130.0,334004.85932269844,3143239.6979056597,2784.4056800000003
94,334108.81528000004,3143317.763,-130.0,334005.4659426985,3143238.9029056598,2784.69344
95,334109.4219,3143316.968,-130.0,334006.07256269665,3143238.107905662,2784.9812
96,334110.02852,3143316.173,-130.0,334006.6791826873,3143237.3129056743,2785.26896
97,334110.63514,3143315.3779999996,-130.0,334007.28580268734,3143236.517905674,2785.55672
98,334111.24176,3143314.5829999996,-130.0,334007.89242269844,3143235.7229056596,2785.84448
99,334111.84838000004,3143313.7879999997,-130.0,334008.4990426985,3143234.9279056597,2786.13224
100,334112.455,3143312.993,-130.0,334011.91908469045,3143230.5761950817,2786.42
101,334113.11344,3143312.2448199997,-130.6,334015.07295821566,3143225.9637448355,2786.05508
102,334113.77188,3143311.4966399996,-131.2,334015.28098254127,3143224.8191739675,2785.69016
103,334114.43032000004,3143310.74846,-131.8,334015.4890068498,3143223.674603119,2785.32524
104,334115.08876,3143310.00028,-132.4,334015.69703114475,3143222.5300322855,2784.96032
105,334115.7472,3143309.2520999997,-133.0,334015.90505545697,3143221.385461433,2784.5954
106,334116.40564,3143308.5039199996,-133.6,334016.1130797829,3143220.2408905644,2784.23048
107,334117.06408000004,3143307.75574,-134.2,334016.3211040914,3143219.096319716,2783.86556
108,334117.72252,3143307.00756,-134.8,334016.52912838606,3143217.951748883,2783.50064
109,334118.38096,3143306.2593799997,-135.4,334016.73715269833,3143216.8071780303,2783.13572
110,334119.0394,3143305.5111999996,-136.0,334016.9451770245,3143215.6626071613,2782.7708000000002
111,334119.69784000004,3143304.76302,-136.6,334017.15320133296,3143214.518036313,2782.4058800000003
112,334120.35628,3143304.01484,-137.2,334017.36122562736,3143213.3734654803,2782.0409600000003
113,334121.01472,3143303.2666599997,-137.8,334017.56924993964,3143212.228894627,2781.67604
114,334121.67316,3143302.5184799996,-138.4,334017.7772742661,3143211.0843237583,2781.31112
115,334122.33160000003,3143301.7703,-139.0,334017.98529857455,3143209.9397529103,2780.9462
116,334122.99004,3143301.02212,-139.6,334018.19332286867,3143208.7951820777,2780.58128
117,334123.64848,3143300.2739399998,-140.2,334018.40134718094,3143207.6506112246,2780.21636
118,334124.30692,3143299.5257599996,-140.8,334018.6093715077,3143206.506040355,2779.85144
119,334124.96536000003,3143298.77758,-141.4,334018.8173958161,3143205.361469507,2779.48652
120,334125.6238,3143298.0294,-142.0,334019.0254201099,3143204.216898675,2779.1216
121,334126.28224,3143297.28122,-142.6,334019.2334444223,3143203.072327822,2778.75668
122,334126.94068,3143296.5330399997,-143.2,334019.4414687493,3143201.927756952,2778.39176
123,334127.59912,3143295.78486,-143.8,334019.6494930577,3143200.783186104,2778.02684
124,334128.25756,3143295.03668,-144.4,334019.8575173512,3143199.6386152725,2777.66192
125,334128.91599999997,3143294.2885,-145.0,334020.0655416636,3143198.4940444194,2777.297
126,334129.57444,3143293.5403199997,-145.6,334020.27356597607,3143197.3494735663,2776.93208
127,334130.23288,3143292.7921399996,-146.2,334020.4815902992,3143196.2049027006,2776.56716
128,334130.89132,3143292.04396,-146.8,334020.6896146075,3143195.0603318526,2776.20224
129,334131.54975999997,3143291.29578,-147.4,334020.8976389049,3143193.915761017,2775.83732
130,334132.2082,3143290.5475999997,-148.0,334021.10566321743,3143192.771190163,2775.4724
131,334132.86664,3143289.7994199996,-148.6,334021.3136875408,3143191.626619298,2775.10748
132,334133.52508,3143289.05124,-149.2,334021.521711849,3143190.48204845,2774.74256
133,334134.18351999996,3143288.30306,-149.8,334021.7297361463,3143189.3374776137,2774.37764
134,334134.84196,3143287.5548799997,-150.4,334021.9377604588,3143188.1929067606,2774.01272
135,334135.5004,3143286.8066999996,-151.0,334022.14578478236,3143187.048335895,2773.6478
136,334136.15884,3143286.05852,-151.6,334022.35380909056,3143185.903765047,2773.28288
137,334136.81727999996,3143285.31034,-152.2,334022.5618333876,3143184.759194211,2772.91796
138,334137.47572,3143284.5621599997,-152.8,334022.76985770016,3143183.614623358,2772.55304
139,334138.13416,3143283.8139799996,-153.4,334022.97788202396,3143182.470052492,2772.18812
140,334138.7926,3143283.0658,-154.0,334023.1859063321,3143181.325481644,2771.8232
141,334139.45103999996,3143282.31762,-154.6,334023.3939306289,3143180.1809108085,2771.45828
142,334140.10948,3143281.5694399998,-155.2,334023.6019549415,3143179.036339955,2771.09336
143,334140.76792,3143280.8212599996,-155.8,334023.80997926556,3143177.891769089,2770.72844
144,334141.42636,3143280.07308,-156.4,334024.01800357364,3143176.747198241,2770.36352
145,334142.08479999995,3143279.3249,-157.0,334024.22602787026,3143175.602627406,2769.9986
146,334142.74324,3143278.57672,-157.6,334024.4340521829,3143174.4580565523,2769.63368
147,334143.40168,3143277.8285399997,-158.2,334024.6420765071,3143173.3134856857,2769.26876
148,334144.06012,3143277.08036,-158.8,334024.8501008152,3143172.168914838,2768.90384
149,334144.71855999995,3143276.33218,-159.4,334025.05812511157,3143171.0243440033,2768.53892
150,334145.377,3143275.584,-160.0,334030.4831742328,3143164.2313673384,2768.174
151,334146.10653999995,3143274.90006,-160.0,334036.6762787221,3143158.173807954,2768.12138
152,334146.83608,3143274.21612,-160.0,334037.40581870463,3143157.4898679703,2768.06876
153,334147.56562,3143273.5321799996,-160.0,334038.1353587024,3143156.8059279723,2768.01614
154,334148.29516,3143272.8482399997,-160.0,334038.8648987198,3143156.121987956,2767.96352
155,334149.02469999995,3143272.1643,-160.0,334039.5944387221,3143155.438047954,2767.9109
156,334149.75424,3143271.48036,-160.0,334040.3239787245,3143154.754107952,2767.85828
157,334150.48378,3143270.79642,-160.0,334041.0535187024,3143154.0701679727,2767.80566
158,334151.21332,3143270.1124799997,-160.0,334041.78305870004,3143153.3862279747,2767.75304
159,334151.94285999995,3143269.4285399998,-160.0,334042.5125987221,3143152.702287954,2767.70042
160,334152.6724,3143268.7446,-160.0,334043.2421387245,3143152.018347952,2767.6478
161,334153.40194,3143268.06066,-160.0,334043.9716787222,3143151.334407954,2767.59518
162,334154.13148,3143267.37672,-160.0,334044.70121870004,3143150.650467975,2767.54256
163,334154.86101999995,3143266.6927799997,-160.0,334045.43075870234,3143149.9665279724,2767.48994
164,334155.59056,3143266.00884,-160.0,334046.1602987245,3143149.282587952,2767.43732
165,334156.3201,3143265.3249,-160.0,334046.8898387222,3143148.598647954,2767.3847
166,334157.04964,3143264.64096,-160.0,334047.6193787198,3143147.9147079564,2767.33208
167,334157.77917999995,3143263.95702,-160.0,334048.34891870234,3143147.230767973,2767.27946
168,334158.50872,3143263.2730799997,-160.0,334049.07845870464,3143146.54682797,2767.22684
169,334159.23826,3143262.58914,-160.0,334049.8079987222,3143145.862887954,2767.17422
170,334159.9678,3143261.9052,-160.0,334050.53753871983,3143145.1789479563,2767.1216
171,334160.69733999996,3143261.22126,-160.0,334051.2670787221,3143144.495007954,2767.06898
172,334161.42688,3143260.53732,-160.0,334051.99661870464,3143143.8110679705,2767.01636
173,334162.15642,3143259.8533799998,-160.0,334052.7261587024,3143143.1271279724,2766.96374
174,334162.88596,3143259.16944,-160.0,334053.45569871983,3143142.443187956,2766.91112
175,334163.61549999996,3143258.4855,-160.0,334054.18523872213,3143141.759247954,2766.8585000000003
176,334164.34504,3143257.80156,-160.0,334054.9147787245,3143141.0753079522,2766.80588
177,334165.07458,3143257.11762,-160.0,334055.6443187024,3143140.391367973,2766.75326
178,334165.80412,3143256.43368,-160.0,334056.37385870004,3143139.707427975,2766.70064
179,334166.53365999996,3143255.74974,-160.0,334057.10339872213,3143139.023487954,2766.64802
180,334167.2632,3143255.0658,-160.0,334057.8329387245,3143138.339547952,2766.5954
181,334167.99274,3143254.38186,-160.0,334058.5624787222,3143137.655607954,2766.54278
182,334168.72228,3143253.69792,-160.0,334059.29201870004,3143136.971667975,2766.4901600000003
183,334169.45181999996,3143253.01398,-160.0,334060.02155870234,3143136.2877279725,2766.43754
184,334170.18136,3143252.33004,-160.0,334060.7510987245,3143135.603787952,2766.38492
185,334170.9109,3143251.6461,-160.0,334061.4806387222,3143134.919847954,2766.3323
186,334171.64044,3143250.96216,-160.0,334062.21017871983,3143134.2359079565,2766.27968
187,334172.36997999996,3143250.27822,-160.0,334062.93971870234,3143133.551967973,2766.22706
