s_m,x,y,merged_64m_elevation_m,dem_8m_elevation_m,dem_12_5m_elevation_m,merged_source,local_slope,distance_to_component_endpoint_m
0.0,334051.79369854234,3143392.492568097,3158.2861,nan,2809.0,12.5m,nan,13908.0
20.0,334067.5030442288,3143379.1727256537,3158.2861000000003,nan,2816.0,12.5m,0.0,13888.0
40.0,334083.2123899153,3143365.852883211,3158.2861,nan,2836.0,12.5m,-1.1368683772161604e-14,13868.0
60.0,334098.92173560185,3143352.5330407675,3158.2861,nan,2839.0,12.5m,-1.1368683772161604e-14,13848.0
80.0,334114.63108128833,3143339.213198324,3158.2860999999994,nan,2837.0,12.5m,1.1368683772161604e-14,13828.0
100.0,334130.3404269748,3143325.8933558813,3158.2861000000003,nan,2855.0,12.5m,1.1368683772161604e-14,13808.0
120.0,334146.0497726613,3143312.573513438,3158.2861,nan,2860.0,12.5m,-0.7125532729376118,13788.0
140.0,334161.7591183478,3143299.2536709947,3129.783969082496,nan,2860.0,12.5m,-1.6564468539281165,13768.0
160.0,334177.4684640343,3143285.933828552,3092.028225842875,nan,2858.0,12.5m,-1.887787161977542,13748.0
180.0,334193.1778097208,3143272.6139861085,3054.272482603394,nan,2862.0,12.5m,-1.8877871619740518,13728.0
200.0,334208.8871554073,3143259.294143665,3016.516739363913,nan,2858.0,12.5m,-1.2450895650848453,13708.0
220.0,334224.59650109377,3143245.9743012222,3004.4689000000003,nan,2854.0,12.5m,-0.30119598409783066,13688.0
240.0,334240.30584678025,3143232.654458779,3004.4689,nan,2849.0,12.5m,-1.1368683772161604e-14,13668.0
260.0,334256.0151924668,3143219.3346163356,3004.4689,nan,2850.0,12.5m,0.0,13648.0
280.0,334271.72453815327,3143206.0147738927,3004.4689,nan,2837.0,12.5m,0.0,13628.0
300.0,334287.43388383975,3143192.6949314494,3004.4689,nan,2827.0,12.5m,0.0,13608.0
320.0,334303.14322952623,3143179.375089006,3004.4689,nan,2820.0,12.5m,0.0,13588.0
340.0,334318.8525752127,3143166.055246563,3004.4689,nan,2819.0,12.5m,0.0,13568.0
360.0,334334.56192089926,3143152.73540412,3004.4689,nan,2818.0,12.5m,0.0,13548.0
380.0,334350.27126658574,3143139.4155616765,3004.4689,nan,2816.0,12.5m,0.0,13528.0
400.0,334365.9806122722,3143126.0957192336,3004.4689,nan,2813.0,12.5m,0.0,13508.0
420.0,334381.6899579587,3143112.7758767903,3004.4689,nan,2814.0,12.5m,0.0,13488.0
440.0,334397.3993036452,3143099.456034347,3004.4689,nan,2812.0,12.5m,1.1368683772161604e-14,13468.0
460.0,334413.10864933167,3143086.136191904,3004.4689000000003,nan,2808.0,12.5m,0.0,13448.0
480.0,334428.8179950182,3143072.8163494607,3004.4689,nan,2803.0,12.5m,-1.1368683772161604e-14,13428.0
500.0,334444.5273407047,3143059.4965070174,3004.4689,nan,2799.0,12.5m,0.0,13408.0
520.0,334460.2366863912,3143046.1766645745,3004.4689,nan,2795.0,12.5m,-0.7407449712445213,13388.0
540.0,334475.94603207766,3143032.856822131,2974.839101150219,nan,2793.0,12.5m,-2.66541534503441,13368.0
560.0,334491.65537776414,3143019.536979688,2897.8522861986235,nan,2792.0,12.5m,-3.849340747586939,13348.0
580.0,334507.3647234507,3143006.217137245,2820.8654712467414,nan,2783.0,12.5m,-3.8895617854589544,13328.0
600.0,334523.07406913716,3142992.8972948017,2742.2698147802653,nan,2774.0,12.5m,-3.2510367811685343,13308.0
620.0,334538.78341482364,3142979.5774523583,2690.824,nan,2763.0,12.5m,-1.2861453695066303,13288.0
640.0,334554.4927605101,3142966.2576099155,2690.824,nan,2753.0,12.5m,0.0,13268.0
660.0,334570.2021061966,3142952.937767472,2690.824,nan,2741.0,12.5m,-1.1368683772161604e-14,13248.0
680.0,334585.91145188315,3142939.617925029,2690.8239999999996,nan,2733.0,12.5m,0.0,13228.0
700.0,334601.62079756963,3142926.298082586,2690.824,nan,2727.0,12.5m,1.1368683772161604e-14,13208.0
720.0,334617.3301432561,3142912.9782401426,2690.824,nan,2722.0,12.5m,0.0,13188.0
740.0,334633.0394889426,3142899.6583976992,2690.824,nan,2716.0,12.5m,0.0,13168.0
760.0,334648.7488346291,3142886.338555256,2690.824,nan,2711.0,12.5m,-1.1368683772161604e-14,13148.0
780.0,334664.4581803156,3142873.018712813,2690.8239999999996,nan,2709.0,12.5m,-1.1368683772161604e-14,13128.0
800.0,334680.1675260021,3142859.6988703697,2690.8239999999996,nan,2711.0,12.5m,2.2737367544323207e-14,13108.0
820.0,334695.8768716886,3142846.3790279264,2690.8240000000005,nan,2720.0,12.5m,0.0,13088.0
840.0,334711.58621737506,3142833.0591854835,2690.8239999999996,nan,2727.0,12.5m,-1.1368683772161604e-14,13068.0
860.0,334727.29556306155,3142819.73934304,2690.824,nan,2732.0,12.5m,1.1368683772161604e-14,13048.0
880.0,334743.0049087481,3142806.419500597,2690.824,nan,2731.0,12.5m,1.1368683772161604e-14,13028.0
900.0,334757.57876446913,3142792.1050220067,2690.8240000000005,nan,2725.0,12.5m,0.0,13008.0
920.0,334768.71412771865,3142774.778584695,2690.824,nan,2721.0,12.5m,-1.1368683772161604e-14,12988.0
940.0,334779.8494909682,3142757.4521473837,2690.824,nan,2722.0,12.5m,-0.09481994543727978,12968.0
960.0,334790.98485421774,3142740.125710072,2687.031202182509,nan,2724.0,12.5m,-1.0680885362809818,12948.0
980.0,334802.12021746725,3142722.7992727607,2648.100458548761,nan,2724.0,12.5m,-1.946537181687404,12928.0
1000.0,334813.25558071677,3142705.472835449,2609.1697149150127,nan,2721.0,12.5m,-1.9465371816874153,12908.0
1020.0,334824.3909439663,3142688.1463981373,2570.238971281264,nan,2716.0,12.5m,-2.0407973308886085,12888.0
1040.0,334835.52630721586,3142670.819960826,2527.5378216794684,nan,2712.0,12.5m,-2.130564103050074,12868.0
1060.0,334846.6616704654,3142653.4935235144,2485.0164071592612,nan,2711.0,12.5m,-1.5116630419867079,12848.0
1080.0,334857.7970337149,3142636.167086203,2467.0713,nan,2715.0,12.5m,-0.4486276789815406,12828.0
1100.0,334868.9323969644,3142618.8406488914,2467.0712999999996,nan,2721.0,12.5m,0.0,12808.0
1120.0,334880.067760214,3142601.51421158,2467.0713,nan,2725.0,12.5m,1.1368683772161604e-14,12788.0
1140.0,334891.2031234635,3142584.1877742684,2467.0713,nan,2733.0,12.5m,0.0,12768.0
1160.0,334902.338486713,3142566.8613369567,2467.0713,nan,2742.0,12.5m,0.0,12748.0
1180.0,334913.4738499625,3142549.5348996455,2467.0713,nan,2747.0,12.5m,0.0,12728.0
1200.0,334924.6092132121,3142532.208462334,2467.0713,nan,2752.0,12.5m,-1.1368683772161604e-14,12708.0
1220.0,334935.7445764616,3142514.8820250225,2467.0712999999996,nan,2762.0,12.5m,1.1368683772161604e-14,12688.0
1240.0,334946.8799397111,3142497.555587711,2467.0713000000005,nan,2768.0,12.5m,1.1368683772161604e-14,12668.0
1260.0,334958.01530296064,3142480.229150399,2467.0713,nan,2772.0,12.5m,0.0,12648.0
1280.0,334969.1506662102,3142462.902713088,2467.0713000000005,nan,2771.0,12.5m,0.0,12628.0
1300.0,334980.28602945973,3142445.576275776,2467.0713,nan,2771.0,12.5m,-1.1368683772161604e-14,12608.0
1320.0,334991.42139270925,3142428.249838465,2467.0713,nan,2771.0,12.5m,0.0,12588.0
1340.0,335002.55675595877,3142410.923401153,2467.0713,nan,2771.0,12.5m,1.1368683772161604e-14,12568.0
1360.0,335013.69211920834,3142393.596963842,2467.0713000000005,nan,2769.0,12.5m,0.0,12548.0
1380.0,335024.82748245785,3142376.27052653,2467.0713,nan,2768.0,12.5m,0.0,12528.0
1400.0,335035.96284570737,3142358.9440892185,2467.0713000000005,nan,2768.0,12.5m,-0.4630525267800863,12508.0
1420.0,335047.0982089569,3142341.6176519073,2448.5491989287966,nan,2766.0,12.5m,-1.2248418756858654,12488.0
1440.0,335058.2335722064,3142324.2912145955,2418.077624972566,nan,2766.0,12.5m,-1.33333378629942,12468.0
1460.0,335069.368935456,3142306.9647772843,2395.21584747682,nan,2765.0,12.5m,-0.9302110889007963,12448.0
1480.0,335080.5042987055,3142289.6383399726,2380.869181416534,nan,2765.0,12.5m,-0.40230814096757966,12428.0
1500.0,335091.639661955,3142272.311902661,2379.1235218381166,nan,2765.0,12.5m,-0.08728297892087085,12408.0
1520.0,335102.7750252045,3142254.9854653496,2377.377862259699,nan,2764.0,12.5m,-0.07156554595291027,12388.0
1540.0,335113.9103884541,3142237.659028038,2376.2609,nan,2765.0,12.5m,-0.02792405649247485,12368.0
1560.0,335125.0457517036,3142220.3325907267,2376.2609,nan,2764.0,12.5m,0.0,12348.0
1580.0,335136.1811149531,3142203.006153415,2376.2609,nan,2763.0,12.5m,0.0,12328.0
1600.0,335147.31647820264,3142185.6797161037,2376.2609,nan,2763.0,12.5m,0.0,12308.0
1620.0,335158.46982564114,3142168.3648577756,2376.2609,nan,2762.0,12.5m,0.0,12288.0
1640.0,335169.6336536194,3142151.056747264,2376.2609,nan,2761.0,12.5m,0.0,12268.0
1660.0,335180.7974815977,3142133.748636753,2376.2609,nan,2759.0,12.5m,-1.1368683772161604e-14,12248.0
1680.0,335191.96130957594,3142116.440526241,2376.2608999999998,nan,2757.0,12.5m,-0.00016926288403738,12228.0
1700.0,335203.12513755425,3142099.1324157296,2376.2541294846387,nan,2756.0,12.5m,-0.06014014218252441,12208.0
1720.0,335214.2889655325,3142081.824305218,2373.855294312699,nan,2755.0,12.5m,-0.15305886111304973,12188.0
1740.0,335225.4527935108,3142064.5161947063,2370.1317750401167,nan,2754.0,12.5m,-0.21929306614119923,12168.0
1760.0,335236.61662148905,3142047.208084195,2365.083571667051,nan,2753.0,12.5m,-0.20922889669675443,12148.0
1780.0,335247.78044946736,3142029.899973683,2361.7626191722466,nan,2750.0,12.5m,-0.17557755630474503,12128.0
1800.0,335258.9442774456,3142012.5918631717,2358.060469414861,nan,2749.0,12.5m,-0.26958294129493654,12108.0
