distance_from_source_m,x,y,native_z,z32,z64
0.0,356076.514348,3129773.452394,5220.00634765625,5220.00634765625,5220.00634765625
20.0,356062.3718685528,3129787.594185792,5216.35595703125,5216.35595703125,5216.35595703125
40.0,356048.22938910563,3129801.7359775836,5212.22119140625,5212.22119140625,5212.22119140625
60.0,356034.08690965845,3129815.8777693757,5211.12744140625,5211.12744140625,5211.12744140625
80.0,356019.94443021127,3129830.0195611673,5207.7626953125,5207.7626953125,5207.7626953125
100.0,356005.8019507641,3129844.1613529595,5207.86181640625,5207.86181640625,5207.86181640625
120.0,355991.6594713169,3129858.303144751,5203.9208984375,5203.9208984375,5203.9208984375
140.0,355977.5169918697,3129872.4449365432,5203.87890625,5203.87890625,5203.87890625
160.0,355963.37451242254,3129886.5867283354,5200.60107421875,5200.60107421875,5200.60107421875
180.0,355949.23203297536,3129900.728520127,5200.60107421875,5200.60107421875,5200.60107421875
200.0,355935.0895535282,3129914.870311919,5194.380859375,5194.380859375,5194.380859375
220.0,355920.947074081,3129929.012103711,5194.380859375,5194.380859375,5194.380859375
240.0,355906.8045946338,3129943.153895503,5185.83349609375,5185.83349609375,5185.83349609375
260.0,355892.6621151866,3129957.2956872946,5185.83349609375,5185.83349609375,5185.83349609375
280.0,355878.5196357394,3129971.4374790867,5177.2744140625,5177.2744140625,5177.2744140625
300.0,355864.3771562922,3129985.5792708783,5177.2744140625,5177.2744140625,5177.2744140625
320.0,355850.234676845,3129999.7210626705,5171.2451171875,5171.2451171875,5171.2451171875
340.0,355836.09219739784,3130013.8628544626,5171.2451171875,5171.2451171875,5171.2451171875
360.0,355821.94971795066,3130028.0046462542,5161.20703125,5161.20703125,5161.20703125
380.0,355807.8072385035,3130042.1464380464,5161.20703125,5161.20703125,5161.20703125
400.0,355793.6647590563,3130056.288229838,5148.9541015625,5148.9541015625,5148.9541015625
420.0,355779.5222796091,3130070.43002163,5148.9541015625,5148.9541015625,5148.9541015625
440.0,355765.3798001619,3130084.571813422,5137.02685546875,5137.02685546875,5137.02685546875
460.0,355751.23732071475,3130098.713605214,5137.02685546875,5137.02685546875,5137.02685546875
480.0,355737.09484126756,3130112.855397006,5113.19580078125,5113.19580078125,5113.19580078125
500.0,355722.9523618204,3130126.9971887977,5113.19580078125,5113.19580078125,5113.19580078125
520.0,355708.8098823732,3130141.13898059,5094.63330078125,5094.63330078125,5094.63330078125
540.0,355694.667402926,3130155.2807723815,5094.63330078125,5094.63330078125,5094.63330078125
560.0,355680.52492347884,3130169.4225641736,5068.19970703125,5068.19970703125,5068.19970703125
580.0,355666.38244403165,3130183.5643559652,5068.19970703125,5068.19970703125,5068.19970703125
600.0,355652.23996458447,3130197.7061477574,5026.6591796875,5026.6591796875,5026.6591796875
620.0,355638.0974851373,3130211.8479395495,5026.6591796875,5026.6591796875,5026.6591796875
640.0,355623.9550056901,3130225.989731341,5019.271484375,5019.271484375,5019.271484375
660.0,355609.8125262429,3130240.1315231333,4989.59912109375,4989.59912109375,4989.59912109375
680.0,355595.67004679574,3130254.273314925,4986.400390625,4986.400390625,4986.400390625
700.0,355581.52756734856,3130268.415106717,4966.71923828125,4966.71923828125,4966.71923828125
720.0,355567.3850879014,3130282.5568985087,4967.12109375,4967.12109375,4967.12109375
740.0,355553.2426084542,3130296.698690301,4953.4111328125,4953.4111328125,4953.4111328125
760.0,355539.100129007,3130310.8404820925,4954.041015625,4954.041015625,4954.041015625
780.0,355524.95764955983,3130324.9822738846,4937.49755859375,4937.49755859375,4937.49755859375
800.0,355510.81517011265,3130339.1240656767,4935.27392578125,4935.27392578125,4935.27392578125
820.0,355496.6726906654,3130353.2658574684,4908.7666015625,4908.7666015625,4908.7666015625
840.0,355482.5302112182,3130367.4076492605,4900.966796875,4900.966796875,4900.966796875
860.0,355468.38773177104,3130381.549441052,4878.85400390625,4878.85400390625,4878.85400390625
880.0,355454.24525232386,3130395.6912328443,4867.10009765625,4867.10009765625,4867.10009765625
900.0,355440.1027728767,3130409.833024636,4842.666015625,4842.666015625,4842.666015625
920.0,355425.9602934295,3130423.974816428,4828.83447265625,4828.83447265625,4828.83447265625
940.0,355411.8178139823,3130438.11660822,4802.140625,4802.140625,4802.140625
960.0,355397.67533453513,3130452.258400012,4802.140625,4802.140625,4802.140625
980.0,355383.53285508795,3130466.400191804,4760.60546875,4760.60546875,4760.60546875
1000.0,355369.39037564077,3130480.5419835956,4760.60546875,4760.60546875,4760.60546875
1020.0,355355.2478961936,3130494.6837753877,4720.4365234375,4720.4365234375,4720.4365234375
1040.0,355341.1054167464,3130508.8255671794,4720.4365234375,4720.4365234375,4720.4365234375
1060.0,355326.9629372992,3130522.9673589715,4687.1044921875,4687.1044921875,4687.1044921875
1080.0,355312.82045785204,3130537.1091507636,4687.1044921875,4687.1044921875,4687.1044921875
1100.0,355298.67797840486,3130551.2509425553,4666.9169921875,4666.9169921875,4666.9169921875
1120.0,355284.5354989577,3130565.3927343474,4666.9169921875,4666.9169921875,4666.9169921875
1140.0,355270.3930195105,3130579.534526139,4652.81787109375,4652.81787109375,4652.81787109375
1160.0,355256.2505400633,3130593.676317931,4652.81787109375,4652.81787109375,4652.81787109375
1180.0,355242.1080606161,3130607.818109723,4636.5400390625,4636.5400390625,4636.5400390625
1200.0,355227.96558116894,3130621.959901515,4636.5400390625,4636.5400390625,4636.5400390625
1220.0,355213.82310172176,3130636.1016933066,4616.35791015625,4616.35791015625,4616.35791015625
1240.0,355199.6806222746,3130650.2434850987,4616.35791015625,4616.35791015625,4616.35791015625
1260.0,355185.5381428274,3130664.385276891,4602.6953125,4602.6953125,4602.6953125
1280.0,355171.3956633802,3130678.5270686825,4602.6953125,4602.6953125,4602.6953125
1300.0,355157.25318393303,3130692.6688604746,4600.5771484375,4600.5771484375,4600.5771484375
1320.0,355141.243130171,3130702.301774,4600.5771484375,4600.5771484375,4600.5771484375
1340.0,355121.243130171,3130702.301774,4589.06591796875,4589.06591796875,4589.06591796875
1360.0,355101.243130171,3130702.301774,4589.06591796875,4589.06591796875,4589.06591796875
1380.0,355081.243130171,3130702.301774,4574.7734375,4574.7734375,4574.7734375
1400.0,355061.243130171,3130702.301774,4562.00634765625,4562.00634765625,4562.00634765625
1420.0,355041.243130171,3130702.301774,4554.65283203125,4554.65283203125,4554.65283203125
1440.0,355021.243130171,3130702.301774,4554.65283203125,4554.65283203125,4554.65283203125
1460.0,355001.243130171,3130702.301774,4548.5126953125,4548.5126953125,4548.5126953125
1480.0,354981.243130171,3130702.301774,4541.689453125,4541.689453125,4541.689453125
1500.0,354961.243130171,3130702.301774,4541.689453125,4541.689453125,4541.689453125
1520.0,354941.243130171,3130702.301774,4532.30224609375,4532.30224609375,4532.30224609375
1540.0,354926.1119733735,3130714.0565771163,4529.40869140625,4529.40869140625,4529.40869140625
