vertex_id,easting_m,northing_m,chainage_from_source_m,pdf_x_pt,pdf_y_pt
0,356076.514348,3129773.452394,0.000000,254.697235,193.442902
1,355147.619802,3130702.301774,1313.623328,248.420898,187.166870
2,354937.867308,3130702.301774,1523.375822,247.003647,187.166870
3,354788.047647,3130852.114661,1735.248028,245.991348,186.154617
4,354518.366837,3130942.006006,2019.515848,244.169174,185.547241
5,353979.009733,3130942.006006,2558.872951,240.524857,185.547241
6,353379.722055,3131541.262068,3406.371358,236.475601,181.498199
7,352660.577745,3132619.922076,4702.780225,231.616501,174.209930
8,352420.862222,3132829.663278,5021.300090,229.996796,172.792755
9,352121.218383,3132979.478423,5356.309056,227.972168,171.780487
10,351791.609257,3133309.071741,5822.435575,225.745071,169.553497
11,351791.609257,3133728.549629,6241.913463,225.745071,166.719177
12,351462.004647,3134207.953576,6823.692925,223.518005,163.479950
13,351491.967676,3134897.103241,7513.493653,223.720459,158.823517
14,351372.111044,3135016.950840,7682.990141,222.910614,158.013733
15,350473.179527,3135016.950840,8581.921658,216.836731,158.013733
16,350383.285923,3135076.876898,8689.958653,216.229340,157.608826
17,350173.537946,3135076.876898,8899.706630,214.812119,157.608826
18,350023.713768,3135196.729013,9091.570681,213.799789,156.799011
19,349754.035216,3135226.687526,9362.908172,211.977631,156.596588
20,349664.143871,3135316.581129,9490.035328,211.370255,155.989197
21,349514.319694,3135316.581129,9639.859505,210.357925,155.989197
22,349244.641142,3135436.428728,9934.969601,208.535767,155.179413
23,348465.568515,3135436.428728,10714.042227,203.271744,155.179413
24,348405.640199,3135376.502670,10798.792068,202.866821,155.584320
25,346877.457975,3135316.581129,12328.148632,192.541229,155.989197
26,346607.779424,3135166.765985,12636.646766,190.719070,157.001465
27,346368.063901,3134927.061753,12975.647726,189.099365,158.621094
28,346158.313665,3134837.172666,13203.847658,187.682129,159.228455
29,345319.310464,3134747.288096,14047.651905,182.013168,159.835785
30,344959.740567,3134507.583865,14479.796128,179.583633,161.455414
31,344720.022786,3134507.583865,14719.513909,177.963913,161.455414
32,344420.378947,3134148.027518,15187.560057,175.939285,163.884857
33,344390.415918,3133728.549629,15608.106704,175.736832,166.719177
34,344450.344234,3132859.626307,16479.094157,176.141754,172.590302
35,344330.485344,3132739.774191,16648.595435,175.331894,173.400116
36,344330.485344,3132530.037506,16858.332121,175.331894,174.817261
37,343491.484401,3131601.185867,18110.006179,169.662949,181.093307
38,343311.697195,3131601.185867,18289.793386,168.448166,181.093307
39,342862.233694,3131151.742692,18925.416392,165.411240,184.130096
40,342832.268407,3130942.006006,19137.282849,165.208771,185.547241
41,341783.517229,3129803.417682,20685.269414,158.122589,193.240433
42,341663.658338,3129863.343739,20819.274213,157.312729,192.835526
43,341214.192580,3129353.974506,21498.594818,154.275787,196.277222
44,340974.479315,3129234.124649,21766.599365,152.656097,197.087021
45,340900.994467,3129256.533688,21843.425064,152.159576,196.935608
