case,V_m3,T_s,K_u,h_e_m,entrainment_rate,phi_deg,Manning,what_changed_from_previous_case,R4_success,R4_arrival_h010_s,reach_900_m,numerical_warning,reason_case_was_run,reason_next_case_was_or_was_not_run
RECON_A_h6,10000000.0,90.0,1.0,6.0,0.2,38.0,0.025,"baseline V10 h_e=4m, rate=.20, phi=38, n=.025",False,,17208.954505154194,False,prior h_e step failed; next prescribed material-availability step,next prescribed case ran after R4 failure
RECON_A_h8,10000000.0,90.0,1.0,8.0,0.2,38.0,0.025,RECON_A_h6,False,,17308.954505154354,False,prior h_e step failed; next prescribed material-availability step,next prescribed case ran after R4 failure
RECON_A_h12,10000000.0,90.0,1.0,12.0,0.2,38.0,0.025,RECON_A_h8,False,,17388.954505154434,False,prior h_e step failed; next prescribed material-availability step,next prescribed case ran after R4 failure
RECON_B_rate030,10000000.0,90.0,1.0,8.0,0.3,38.0,0.025,RECON_A_h12,False,,17888.95450515447,False,A6/A8/A12 all failed; next prescribed entrainment-rate step,next prescribed case ran after R4 failure
RECON_B_rate040,10000000.0,90.0,1.0,8.0,0.4,38.0,0.025,RECON_B_rate030,False,,18128.95450515445,False,A6/A8/A12 all failed; next prescribed entrainment-rate step,next prescribed case ran after R4 failure
RECON_B_rate060,10000000.0,90.0,1.0,8.0,0.6,38.0,0.025,RECON_B_rate040,False,,18208.954505154226,False,A6/A8/A12 all failed; next prescribed entrainment-rate step,next prescribed case ran after R4 failure
RECON_C_phi36,10000000.0,90.0,1.0,8.0,0.4,36.0,0.025,RECON_B_rate060,False,,18128.95450515445,False,B30/B40/B60 all failed; next prescribed phi step,next prescribed case ran after R4 failure
RECON_C_phi34,10000000.0,90.0,1.0,8.0,0.4,34.0,0.025,RECON_C_phi36,False,,18128.95450515445,False,B30/B40/B60 all failed; next prescribed phi step,next prescribed case ran after R4 failure
RECON_C_phi32,10000000.0,90.0,1.0,8.0,0.4,32.0,0.025,RECON_C_phi34,False,,18128.95450515445,False,B30/B40/B60 all failed; next prescribed phi step,next prescribed case ran after R4 failure
RECON_D_n020,10000000.0,90.0,1.0,8.0,0.4,34.0,0.02,RECON_C_phi32,False,,18128.95450515445,False,C36/C34/C32 all failed; final prescribed Manning step,next prescribed case ran after R4 failure
RECON_D_n015,10000000.0,90.0,1.0,8.0,0.4,34.0,0.015,RECON_D_n020,False,,17568.954505154372,False,C36/C34/C32 all failed; final prescribed Manning step,no next case: full predeclared ladder exhausted
