time_s,published_reach_m,R4_h010_reached,post_R4_extension_reach_h010_m,front_band_median_depth_m,front_band_P90_depth_m,front_band_median_speed_ms,front_band_P90_speed_ms,wet_volume_m3,boundary_touch
900,18208.954505154226,False,0.0,,,,,25067663.696374618,False
1200,19664.040847174478,True,0.0,0.274817856594365,0.48287879529139766,2.012642195877652,3.248973564552807,25555285.604433708,False
1500,19707.465910023548,True,1838.5870119269032,13.599129727576834,38.52024317657859,5.87767824180246,12.224378756737387,26468688.70723137,False
1800,19707.465910023548,True,2328.6256838944155,5.652036021515193,23.385995313157878,5.839375911540307,21.68156437461094,25378359.307338696,True
2100,19707.465910023548,True,2328.6256838944155,3.629820994664413,20.291307960178898,6.348659697658837,21.594305943196183,22993208.638206072,True
2400,19707.465910023548,True,2328.6256838944155,3.085662288689536,18.967948563334545,5.029339144841439,19.232103990023216,21069023.425214764,True
2700,19707.465910023548,True,2328.6256838944155,2.434994504253793,18.06051672920479,4.7996927697722755,17.75686392863276,19597238.440585375,True
3000,19707.465910023548,True,2328.6256838944155,2.029097571067154,17.56722137147313,4.616734210989695,15.754900500478493,18622163.309749622,True
3300,19707.465910023548,True,2328.6256838944155,1.738237268404784,16.956990480403554,4.429900836920106,15.43429862212314,17858808.423003815,True
3600,19707.465910023548,True,2328.6256838944155,1.423779983549276,16.23570120289834,3.7526190712168717,12.39864118399071,17267788.917948112,True
