time_s,active_connected_front_m,historical_max_reached_front_m
0.0,0,0
30.0,668.4566329349177,668.4566329349177
60.0,1208.4566329348393,1208.4566329348393
90.0,1808.3721406969867,1808.3721406969867
120.0,2408.372140696895,2408.372140696895
150.0,2968.249656549885,2968.249656549885
180.0,3468.094608667549,3468.094608667549
210.0,4267.151096831302,4267.151096831302
240.0,5106.535324602665,5106.535324602665
270.0,5684.29789913417,5684.29789913417
300.0,6404.29789913417,6404.29789913417
330.0,7162.312205898234,7162.312205898234
360.0,7859.8983149046635,7859.8983149046635
390.0,8598.633178201617,8598.633178201617
420.0,9238.329285249292,9238.329285249292
450.0,10058.329285249316,10058.329285249316
480.0,10537.695727603335,10537.695727603335
510.0,10897.450688263481,10897.450688263481
540.0,11297.313119347837,11297.313119347837
570.0,11697.313119347888,11697.313119347888
600.0,12016.769096386,12016.769096386
630.0,12256.769096385966,12256.769096385966
660.0,12476.735178407522,12476.735178407522
690.0,12636.5638001613,12636.5638001613
720.0,12636.5638001613,12636.5638001613
750.0,12636.5638001613,12636.5638001613
780.0,12756.563800161313,12756.563800161313
810.0,12816.563800161319,12816.563800161319
840.0,12816.563800161319,12816.563800161319
870.0,12816.563800161319,12816.563800161319
900.0,12816.563800161319,12816.563800161319
