section,chainage_m,depth_threshold_m,arrival_s
R0,0.0,0.001,30.0
R0,0.0,0.05,30.0
R0,0.0,0.1,30.0
R0,0.0,0.2,30.0
R1,4926.866477505887,0.001,240.0
R1,4926.866477505887,0.05,240.0
R1,4926.866477505887,0.1,240.0
R1,4926.866477505887,0.2,240.0
R2,9853.732955011774,0.001,390.0
R2,9853.732955011774,0.05,390.0
R2,9853.732955011774,0.1,390.0
R2,9853.732955011774,0.2,390.0
R3,14780.599432517662,0.001,
R3,14780.599432517662,0.05,
R3,14780.599432517662,0.1,
R3,14780.599432517662,0.2,
R4,19707.465910023548,0.001,
R4,19707.465910023548,0.05,
R4,19707.465910023548,0.1,
R4,19707.465910023548,0.2,
