order,row,col,x,y,chainage_m,distance_to_route_m,terrain_z_m,adverse_rise_m
0,202,143,343167.0,3131425.0,16390.178394522463,22.515396933841362,2027.5863037109375,0.0
1,202,142,343137.0,3131425.0,16410.178394522423,2.346975813553136,2027.6766357421875,0.09033203125
2,203,141,343107.0,3131395.0,16450.178394522387,1.109900373675329,2028.5321044921875,0.94580078125
3,204,140,343077.0,3131365.0,16490.17839452235,2.954719031391771,2033.4447021484375,5.8583984375
4,205,139,343047.0,3131335.0,16530.178394522314,5.291857198976147,2046.6673583984375,19.0810546875
5,206,138,343017.0,3131305.0,16570.178394522278,7.684532713128722,2059.158447265625,31.5721435546875
6,207,137,342987.0,3131275.0,16630.1783945222,10.01936678477489,2066.119873046875,38.5335693359375
7,208,136,342957.0,3131245.0,16670.178394522165,7.611145212601936,2070.88525390625,43.2989501953125
8,209,135,342927.0,3131215.0,16710.17839452213,5.219794485578841,2077.97314453125,50.3868408203125
9,210,134,342897.0,3131185.0,16750.17839452242,2.8875387169721733,2080.553466796875,52.9671630859375
10,211,133,342867.0,3131155.0,16790.178394522383,1.0974550353369605,2080.880859375,53.2945556640625
11,212,133,342867.0,3131125.0,16829.372219806268,12.22370223051935,2085.926025390625,58.3397216796875
12,213,133,342867.0,3131095.0,16849.372219806282,12.776558211596829,2088.207763671875,60.6214599609375
13,214,133,342867.0,3131065.0,16889.372219806297,19.407944123779522,2087.866455078125,60.2801513671875
14,215,133,342867.0,3131035.0,16909.37221980631,21.232154578397758,2086.94140625,59.3551025390625
15,216,133,342867.0,3131005.0,16949.372219806326,27.361882475434697,2084.5859375,56.9996337890625
16,217,133,342867.0,3130975.0,16969.37221980634,29.717389773397652,2080.517822265625,52.9315185546875
17,218,132,342837.0,3130945.0,17008.954505154255,8.253632942984149,2065.749755859375,38.1634521484375
18,219,131,342807.0,3130915.0,17048.954505154295,5.741564929537398,2050.3701171875,22.7838134765625
19,220,130,342777.0,3130885.0,17088.954505154376,3.9117444960550225,2035.0556640625,7.4693603515625
20,221,129,342747.0,3130855.0,17128.954505154416,3.8898570981418774,2028.09619140625,0.5098876953125
21,222,128,342717.0,3130825.0,17168.954505154496,5.69677957837407,2020.79345703125,0.0
22,223,127,342687.0,3130795.0,17208.954505154194,8.201748165064634,2014.191650390625,0.0
23,224,126,342657.0,3130765.0,17248.954505154234,10.935132118262134,2014.2603759765625,0.0687255859375
24,225,125,342627.0,3130735.0,17288.954505154314,13.76149054436362,2015.64892578125,1.457275390625
25,226,125,342627.0,3130705.0,17328.954505154354,13.3753271437464,2005.2052001953125,0.0
26,227,124,342597.0,3130675.0,17368.954505154434,10.4724374682902,2005.950927734375,0.7457275390625
27,228,123,342567.0,3130645.0,17408.954505154474,7.611674121397585,2009.31640625,4.1112060546875
28,229,122,342537.0,3130615.0,17448.95450515417,4.867883052661797,2010.35498046875,5.1497802734375
29,230,121,342507.0,3130585.0,17488.954505154252,2.6359161552574633,2010.8397216796875,5.634521484375
30,231,120,342477.0,3130555.0,17528.954505154292,2.7736057073440588,2011.6927490234375,6.487548828125
31,232,119,342447.0,3130525.0,17568.954505154372,5.092228327683178,2006.303955078125,1.0987548828125
32,233,118,342417.0,3130495.0,17608.954505154412,7.852499993154451,1993.8338623046875,0.0
33,234,117,342387.0,3130465.0,17648.954505154452,10.718478857719262,1989.9365234375,0.0
34,235,116,342357.0,3130435.0,17708.95450515423,9.896394335161057,1989.5494384765625,0.0
35,236,115,342327.0,3130405.0,17748.95450515427,9.514307772971375,1987.298095703125,0.0
36,237,114,342297.0,3130375.0,17788.95450515431,10.029882852770102,1978.337158203125,0.0
37,238,113,342267.0,3130345.0,17828.95450515439,11.321135709834715,1973.179931640625,0.0
38,239,112,342237.0,3130315.0,17868.95450515443,13.161715069128732,1968.2774658203125,0.0
39,240,111,342207.0,3130285.0,17908.954505154168,15.35533911813529,1958.1893310546875,0.0
40,241,110,342177.0,3130255.0,17948.954505154208,17.77175290715235,1943.52197265625,0.0
41,242,109,342147.0,3130225.0,17988.95450515425,20.331675519555013,1935.6700439453125,0.0
42,243,108,342117.0,3130195.0,18048.95450515433,21.81132248548666,1935.3585205078125,0.0
43,244,107,342087.0,3130165.0,18088.95450515441,22.641444637762287,1932.7515869140625,0.0
44,245,106,342057.0,3130135.0,18128.95450515445,23.812377203557272,1930.541015625,0.0
45,246,105,342027.0,3130105.0,18168.954505154186,25.27680096342869,1932.006103515625,1.465087890625
46,247,104,341997.0,3130075.0,18208.954505154226,26.98698004416084,1937.525390625,6.984375
47,248,103,341967.0,3130045.0,18248.954505154266,28.899318035945658,1945.061279296875,14.520263671875
48,249,103,341967.0,3130015.0,18268.954505154306,9.942219355978692,1943.15869140625,12.61767578125
49,250,102,341937.0,3129985.0,18308.954505154346,12.740447912189026,1936.051025390625,5.510009765625
50,251,102,341937.0,3129955.0,18328.954505154386,14.1362070439494,1929.16259765625,0.0
51,252,101,341907.0,3129925.0,18388.954505154124,11.51380160574704,1914.373291015625,0.0
52,253,100,341877.0,3129895.0,18428.954505154205,8.631514556665746,1906.494873046875,0.0
53,254,99,341847.0,3129865.0,18468.954505154245,5.825077316712144,1908.96826171875,2.473388671875
54,255,98,341817.0,3129835.0,18508.954505154285,3.2944004050917317,1913.1365966796875,6.6417236328125
55,256,97,341787.0,3129805.0,18548.954505154365,2.295144525319733,1920.04296875,13.548095703125
56,256,96,341757.0,3129805.0,18565.918211346183,14.24957886188215,1908.7052001953125,2.2103271484375
57,256,95,341727.0,3129805.0,18605.918211346285,24.11012997869701,1910.88330078125,4.388427734375
58,255,94,341697.0,3129835.0,18645.91821134618,10.92761980941411,1910.013916015625,3.51904296875
59,254,93,341667.0,3129865.0,18685.391214173553,4.410077370043821,1911.1298828125,4.635009765625
60,255,92,341637.0,3129835.0,18725.391214173458,2.2120935205846175,1913.3931884765625,6.8983154296875
61,256,91,341607.0,3129805.0,18765.391214173673,3.9143250377090144,1913.8963623046875,7.4014892578125
62,257,91,341607.0,3129775.0,18785.39121417345,16.24816572057808,1912.00830078125,5.513427734375
63,258,91,341607.0,3129745.0,18805.39121417358,36.23688868368956,1908.26318359375,1.768310546875
64,259,90,341577.0,3129715.0,18845.391214173484,34.08626148758858,1901.971923828125,0.0
65,260,89,341547.0,3129685.0,18905.391214173516,32.065202725196905,1889.6983642578125,0.0
66,261,88,341517.0,3129655.0,18945.39121417342,28.864378795092545,1878.8255615234375,0.0
67,262,87,341487.0,3129625.0,18985.391214173676,25.75095159511199,1872.7838134765625,0.0
68,263,86,341457.0,3129595.0,19025.39121417354,22.760814139906334,1865.3216552734375,0.0
69,264,85,341427.0,3129565.0,19065.391214173447,19.949481697329542,1855.7620849609375,0.0
70,265,84,341397.0,3129535.0,19105.391214173702,17.403821048304074,1852.6090087890625,0.0
71,266,83,341367.0,3129505.0,19145.391214173607,15.257396947161409,1848.570068359375,0.0
72,267,82,341337.0,3129475.0,19185.391214173513,13.699173097149991,1842.9605712890625,0.0
73,268,81,341307.0,3129445.0,19225.391214173418,12.943358640966233,1838.0906982421875,0.0
74,269,80,341277.0,3129415.0,19285.39121417345,11.006844318497166,1831.1610107421875,0.0
75,270,79,341247.0,3129385.0,19325.391214173666,7.564907660254971,1828.55859375,0.0
76,271,78,341217.0,3129355.0,19365.295759866967,4.3878929368086075,1827.7423095703125,0.0
77,271,77,341187.0,3129355.0,19385.29575986699,13.306625553351015,1827.54443359375,0.0
78,272,76,341157.0,3129325.0,19425.29575986693,2.7284348972711654,1827.68994140625,0.1455078125
