case,section,chainage_m,depth_threshold_m,arrival_s,V_m3,h_e_m,entrainment_rate,phi_deg,Manning
RECON_A_h6,R0,0.0,0.001,30.0,10000000.0,6.0,0.2,38.0,0.025
RECON_A_h6,R0,0.0,0.05,30.0,10000000.0,6.0,0.2,38.0,0.025
RECON_A_h6,R0,0.0,0.1,30.0,10000000.0,6.0,0.2,38.0,0.025
RECON_A_h6,R0,0.0,0.2,30.0,10000000.0,6.0,0.2,38.0,0.025
RECON_A_h6,R1,4926.866477505887,0.001,150.0,10000000.0,6.0,0.2,38.0,0.025
RECON_A_h6,R1,4926.866477505887,0.05,150.0,10000000.0,6.0,0.2,38.0,0.025
RECON_A_h6,R1,4926.866477505887,0.1,150.0,10000000.0,6.0,0.2,38.0,0.025
RECON_A_h6,R1,4926.866477505887,0.2,150.0,10000000.0,6.0,0.2,38.0,0.025
RECON_A_h6,R2,9853.732955011774,0.001,270.0,10000000.0,6.0,0.2,38.0,0.025
RECON_A_h6,R2,9853.732955011774,0.05,270.0,10000000.0,6.0,0.2,38.0,0.025
RECON_A_h6,R2,9853.732955011774,0.1,270.0,10000000.0,6.0,0.2,38.0,0.025
RECON_A_h6,R2,9853.732955011774,0.2,270.0,10000000.0,6.0,0.2,38.0,0.025
RECON_A_h6,R3,14780.599432517662,0.001,420.0,10000000.0,6.0,0.2,38.0,0.025
RECON_A_h6,R3,14780.599432517662,0.05,420.0,10000000.0,6.0,0.2,38.0,0.025
RECON_A_h6,R3,14780.599432517662,0.1,420.0,10000000.0,6.0,0.2,38.0,0.025
RECON_A_h6,R3,14780.599432517662,0.2,420.0,10000000.0,6.0,0.2,38.0,0.025
RECON_A_h6,R4,19707.465910023548,0.001,,10000000.0,6.0,0.2,38.0,0.025
RECON_A_h6,R4,19707.465910023548,0.05,,10000000.0,6.0,0.2,38.0,0.025
RECON_A_h6,R4,19707.465910023548,0.1,,10000000.0,6.0,0.2,38.0,0.025
RECON_A_h6,R4,19707.465910023548,0.2,,10000000.0,6.0,0.2,38.0,0.025
RECON_A_h8,R0,0.0,0.001,30.0,10000000.0,8.0,0.2,38.0,0.025
RECON_A_h8,R0,0.0,0.05,30.0,10000000.0,8.0,0.2,38.0,0.025
RECON_A_h8,R0,0.0,0.1,30.0,10000000.0,8.0,0.2,38.0,0.025
RECON_A_h8,R0,0.0,0.2,30.0,10000000.0,8.0,0.2,38.0,0.025
