case,V_m3,h_e_m,entrainment_rate,phi_deg,Manning,historical_reach_m,fraction,max_depth_m,max_speed_m_s,P99_speed_m_s,wet_volume_m3,bdif_state_integral_m3,R3_reached,R4_h010_reached
RECON_A_h6,10000000.0,6.0,0.2,38.0,0.025,2768.28905749058,0.14046905219217362,42.88070291820409,50.76771887290909,50.52871881575209,10525102.399597345,530261.7442913703,False,False
RECON_A_h6,10000000.0,6.0,0.2,38.0,0.025,6544.00403055726,0.33205710264498645,43.86563898619767,50.94211454388418,50.44714814992975,12426889.564075999,2460321.1896166825,False,False
RECON_A_h6,10000000.0,6.0,0.2,38.0,0.025,11757.313119347922,0.5965918283470406,38.78855358682106,51.10812961114076,49.91265512439229,16009286.608446835,6317935.364573599,False,False
RECON_A_h6,10000000.0,6.0,0.2,38.0,0.025,15033.422714979744,0.7628288072965025,77.81243750285448,40.70194050697822,37.62783399105812,18895658.504097115,9936943.67169527,True,False
RECON_A_h6,10000000.0,6.0,0.2,38.0,0.025,15573.422714979806,0.7902295904547982,67.55264286667276,41.41140993963196,35.174301021582586,19618179.212615605,11040814.197536606,True,False
RECON_A_h6,10000000.0,6.0,0.2,38.0,0.025,16031.700040707938,0.8134835860633886,62.34390612527334,39.226939511011366,30.405151014875933,19960783.946508247,11544374.133963522,True,False
RECON_A_h6,10000000.0,6.0,0.2,38.0,0.025,16350.17839452217,0.8296438755327845,60.92260087515073,33.97244305088553,26.177278398323338,20102367.2359364,11874533.564864878,True,False
RECON_A_h6,10000000.0,6.0,0.2,38.0,0.025,16630.1783945222,0.8438516890222711,61.91595978493589,30.24724832220701,25.140906215187407,20172503.29263897,12021762.637688162,True,False
RECON_A_h6,10000000.0,6.0,0.2,38.0,0.025,16710.17839452213,0.8479110643049775,61.3922888714792,29.84664809182043,22.46590384092847,20232637.594779275,12135420.386174953,True,False
RECON_A_h6,10000000.0,6.0,0.2,38.0,0.025,16770.178394522423,0.850955595767025,59.98683044950926,29.24855028090924,21.847995895863654,20268681.037525617,12119576.659545014,True,False
RECON_A_h6,10000000.0,6.0,0.2,38.0,0.025,16770.178394522423,0.850955595767025,58.91996882384991,28.59060390692808,20.163040927379928,20273115.568812795,12136178.034463413,True,False
RECON_A_h6,10000000.0,6.0,0.2,38.0,0.025,17208.954505154194,0.8732200569938031,58.644103593402,27.60101103394605,19.720682134137128,20284723.557983857,12067523.21656346,True,False
RECON_A_h8,10000000.0,8.0,0.2,38.0,0.025,2768.28905749058,0.14046905219217362,43.10480711132038,50.77083323400528,50.52866204005278,10538820.910829626,543986.0572169024,False,False
RECON_A_h8,10000000.0,8.0,0.2,38.0,0.025,6544.00403055726,0.33205710264498645,43.92221602465581,51.046827293635566,50.497217147121944,12504217.980368389,2538252.839238043,False,False
