K_u,section,chainage_m,depth_threshold_m,arrival_s
1.0,R0,0.0,0.001,30.0
1.0,R0,0.0,0.05,30.0
1.0,R0,0.0,0.1,30.0
1.0,R0,0.0,0.2,30.0
1.0,R1,4926.866477505887,0.001,240.0
1.0,R1,4926.866477505887,0.05,240.0
1.0,R1,4926.866477505887,0.1,240.0
1.0,R1,4926.866477505887,0.2,240.0
1.0,R2,9853.732955011774,0.001,390.0
1.0,R2,9853.732955011774,0.05,390.0
1.0,R2,9853.732955011774,0.1,390.0
1.0,R2,9853.732955011774,0.2,390.0
1.0,R3,14780.599432517662,0.001,
1.0,R3,14780.599432517662,0.05,
1.0,R3,14780.599432517662,0.1,
1.0,R3,14780.599432517662,0.2,
1.0,R4,19707.465910023548,0.001,
1.0,R4,19707.465910023548,0.05,
1.0,R4,19707.465910023548,0.1,
1.0,R4,19707.465910023548,0.2,
1.5,R0,0.0,0.001,30.0
1.5,R0,0.0,0.05,30.0
1.5,R0,0.0,0.1,30.0
1.5,R0,0.0,0.2,30.0
1.5,R1,4926.866477505887,0.001,240.0
1.5,R1,4926.866477505887,0.05,240.0
1.5,R1,4926.866477505887,0.1,240.0
1.5,R1,4926.866477505887,0.2,240.0
1.5,R2,9853.732955011774,0.001,390.0
1.5,R2,9853.732955011774,0.05,390.0
1.5,R2,9853.732955011774,0.1,390.0
1.5,R2,9853.732955011774,0.2,390.0
1.5,R3,14780.599432517662,0.001,
1.5,R3,14780.599432517662,0.05,
1.5,R3,14780.599432517662,0.1,
1.5,R3,14780.599432517662,0.2,
1.5,R4,19707.465910023548,0.001,
1.5,R4,19707.465910023548,0.05,
1.5,R4,19707.465910023548,0.1,
1.5,R4,19707.465910023548,0.2,
2.0,R0,0.0,0.001,30.0
2.0,R0,0.0,0.05,30.0
2.0,R0,0.0,0.1,30.0
2.0,R0,0.0,0.2,30.0
2.0,R1,4926.866477505887,0.001,240.0
2.0,R1,4926.866477505887,0.05,240.0
2.0,R1,4926.866477505887,0.1,240.0
2.0,R1,4926.866477505887,0.2,240.0
2.0,R2,9853.732955011774,0.001,390.0
2.0,R2,9853.732955011774,0.05,390.0
2.0,R2,9853.732955011774,0.1,390.0
2.0,R2,9853.732955011774,0.2,390.0
2.0,R3,14780.599432517662,0.001,
2.0,R3,14780.599432517662,0.05,
2.0,R3,14780.599432517662,0.1,
2.0,R3,14780.599432517662,0.2,
2.0,R4,19707.465910023548,0.001,
2.0,R4,19707.465910023548,0.05,
2.0,R4,19707.465910023548,0.1,
2.0,R4,19707.465910023548,0.2,
3.0,R0,0.0,0.001,30.0
3.0,R0,0.0,0.05,30.0
3.0,R0,0.0,0.1,30.0
3.0,R0,0.0,0.2,30.0
3.0,R1,4926.866477505887,0.001,240.0
3.0,R1,4926.866477505887,0.05,240.0
3.0,R1,4926.866477505887,0.1,240.0
3.0,R1,4926.866477505887,0.2,240.0
3.0,R2,9853.732955011774,0.001,390.0
3.0,R2,9853.732955011774,0.05,390.0
3.0,R2,9853.732955011774,0.1,390.0
3.0,R2,9853.732955011774,0.2,390.0
3.0,R3,14780.599432517662,0.001,
3.0,R3,14780.599432517662,0.05,
3.0,R3,14780.599432517662,0.1,
3.0,R3,14780.599432517662,0.2,
3.0,R4,19707.465910023548,0.001,
3.0,R4,19707.465910023548,0.05,
3.0,R4,19707.465910023548,0.1,
3.0,R4,19707.465910023548,0.2,
4.0,R0,0.0,0.001,30.0
4.0,R0,0.0,0.05,30.0
4.0,R0,0.0,0.1,30.0
4.0,R0,0.0,0.2,30.0
4.0,R1,4926.866477505887,0.001,240.0
4.0,R1,4926.866477505887,0.05,240.0
4.0,R1,4926.866477505887,0.1,240.0
4.0,R1,4926.866477505887,0.2,240.0
4.0,R2,9853.732955011774,0.001,390.0
4.0,R2,9853.732955011774,0.05,390.0
4.0,R2,9853.732955011774,0.1,390.0
4.0,R2,9853.732955011774,0.2,390.0
4.0,R3,14780.599432517662,0.001,
4.0,R3,14780.599432517662,0.05,
4.0,R3,14780.599432517662,0.1,
4.0,R3,14780.599432517662,0.2,
4.0,R4,19707.465910023548,0.001,
4.0,R4,19707.465910023548,0.05,
4.0,R4,19707.465910023548,0.1,
4.0,R4,19707.465910023548,0.2,
