K_u,time_s,instantaneous_reach_m,historical_reach_m,historical_fraction_of_S0_port,max_depth_m,global_max_speed_ms,P99_wet_speed_ms,wet_volume_m3,bdif_state_integral_m3,local_sill_crossed,R3_reached,R4_reached_h010
1.0,90,1888.3721406971122,1888.3721406971122,0.09582013990630091,15.88540438359869,35.253090840634975,34.6852205772275,2253911.6056074994,260708.740142842,False,False,False
1.0,180,3907.457947973987,3907.457947973987,0.19827297765293042,17.15025204680207,36.35365128057303,35.3192698007829,2759816.755183628,793504.0348112351,False,False,False
1.0,300,7600.225458078729,7600.225458078729,0.3856520920943533,20.14296981766888,41.543032952199056,39.61601215538396,4038339.804524333,2369611.8393208906,False,False,False
1.0,420,11237.313119347911,11237.313119347911,0.5702058890094248,13.69375491608506,40.73236408170307,38.138535656268154,5443107.210585438,4460839.547333217,False,False,False
1.0,540,12996.563800161372,12996.563800161372,0.6594741231317367,40.52047383687719,34.74730510488791,30.748907845938696,6415962.175899215,5844513.398582726,False,False,False
1.0,600,13775.611321880913,13775.611321880913,0.6990047013032967,48.23752895548542,31.017472248079105,27.550542416360724,6637708.259265273,6148707.950787442,False,False,False
1.0,660,14295.611321881068,14295.611321881068,0.7253906406409197,49.42364709731462,31.560654081716933,27.582791508878998,6769214.822828077,6407628.460463647,False,False,False
1.0,690,14395.312244148521,14395.312244148521,0.7304496838848684,49.05077573258195,31.9037604175129,26.715556677753003,6817323.218888819,6489846.1494089635,False,False,False
1.0,720,14395.312244148521,14395.312244148521,0.7304496838848684,48.37390650866018,31.83372075439796,25.740234050912857,6841636.28075256,6560318.246102916,False,False,False
1.0,750,14395.312244148521,14395.312244148521,0.7304496838848684,47.77031214982341,31.617418149378512,24.061713234155256,6857539.580182378,6592386.495898684,False,False,False
1.0,780,14435.312244148674,14435.312244148674,0.7324793715262312,46.89907301947367,30.185623207226985,21.61547147238924,6867405.0982398335,6615543.819104724,False,False,False
1.0,810,14435.312244148674,14435.312244148674,0.7324793715262312,46.00286012583202,29.855956082667543,21.999137331869022,6868920.928785325,6613595.227559031,False,False,False
1.0,840,14435.312244148674,14435.312244148674,0.7324793715262312,44.94264193886973,29.488125457369353,21.052243410593707,6869264.651403256,6623109.749032176,False,False,False
1.0,870,14435.312244148674,14435.312244148674,0.7324793715262312,44.21271126363774,29.088204076401823,20.202749783812827,6868305.331594287,6608185.733473064,False,False,False
1.0,900,14435.312244148674,14435.312244148674,0.7324793715262312,43.49739950438772,28.83244097107105,19.7489888881735,6866911.756508544,6589965.918775568,False,False,False
1.5,90,1888.3721406971122,1888.3721406971122,0.09582013990630091,15.60415641887135,34.852661320804344,34.143729957406975,2259056.5875687106,265898.1169504187,False,False,False
1.5,180,3907.457947973987,3907.457947973987,0.19827297765293042,17.190987720345,36.80612856655852,35.87018072181828,2765567.917041477,799885.1388715323,False,False,False
1.5,300,7600.225458078729,7600.225458078729,0.3856520920943533,19.67389219370837,41.50955723238484,39.733607204017844,4038893.7473430233,2377156.963641386,False,False,False
1.5,420,11237.313119347911,11237.313119347911,0.5702058890094248,13.64187282545598,40.58918493689651,37.98260811291981,5450296.815727207,4480979.7122299485,False,False,False
1.5,540,12996.563800161372,12996.563800161372,0.6594741231317367,40.56599589114283,34.623166590332836,30.605913118997183,6415460.635726981,5862101.144156857,False,False,False
1.5,600,13775.611321880913,13775.611321880913,0.6990047013032967,48.12905978411655,31.02114322889642,27.47196738534408,6633352.550981545,6159376.287286112,False,False,False
1.5,660,14295.611321881068,14295.611321881068,0.7253906406409197,49.48956854458369,30.7125536341458,26.800599470951692,6762820.046804128,6411665.193168654,False,False,False
1.5,690,14395.312244148521,14395.312244148521,0.7304496838848684,48.95178274005082,31.832837308836773,26.613660718902945,6809678.868547158,6488271.307080558,False,False,False
1.5,720,14395.312244148521,14395.312244148521,0.7304496838848684,48.35913899298291,31.820816242212118,25.53074541752899,6834654.020294241,6563747.701258054,False,False,False
1.5,750,14395.312244148521,14395.312244148521,0.7304496838848684,47.49279551112102,31.590617678652837,23.088690664867112,6850840.233839866,6592567.585480979,False,False,False
1.5,780,14435.312244148674,14435.312244148674,0.7324793715262312,46.47376778031762,30.135027949521753,22.259033413497015,6861463.005417852,6609040.274923268,False,False,False
1.5,810,14435.312244148674,14435.312244148674,0.7324793715262312,45.61590612235575,29.724348505662718,22.558992114635313,6862607.286579885,6602768.456541559,False,False,False
1.5,840,14435.312244148674,14435.312244148674,0.7324793715262312,44.85327092054769,29.327009847444486,21.593495114934772,6862380.103402179,6615752.221037857,False,False,False
1.5,870,14435.312244148674,14435.312244148674,0.7324793715262312,44.26335060116791,29.03123528627939,20.75895599142241,6862638.41476125,6610283.03934916,False,False,False
1.5,900,14435.312244148674,14435.312244148674,0.7324793715262312,43.61174523938195,28.876247168089368,21.088911288298863,6860423.546922871,6574857.286460208,False,False,False
2.0,90,1948.3721406970449,1948.3721406970449,0.09886467136833002,16.19765102305437,33.81113922464059,33.60787798172059,2265162.394754585,272151.2723823656,False,False,False
2.0,180,3827.457947973987,3827.457947973987,0.1942136023702204,17.95700192216006,34.34311660539696,32.18585613800588,2739120.435592997,770511.084322411,False,False,False
2.0,300,7380.237484001108,7380.237484001108,0.3744894202885514,19.67512597112335,41.39246544508743,39.352178166398296,3930434.469992292,2243722.4631577176,False,False,False
2.0,420,10957.450688263414,10957.450688263414,0.5560050560681306,13.60758228647807,40.66294080893443,38.29473701660734,5297591.218008509,4243281.58203283,False,False,False
2.0,540,12896.563800161231,12896.563800161231,0.654399904028342,33.65555061734525,35.33127503362581,31.353854212024906,6273546.719507929,5721532.293384062,False,False,False
2.0,600,13575.61132188121,13575.61132188121,0.6888562630965367,46.55778489020781,31.81831112519143,28.143448593012586,6532014.775498778,6066696.559904506,False,False,False
2.0,660,14295.611321881068,14295.611321881068,0.7253906406409197,49.55672130218064,29.310089349799046,26.96189089702311,6668576.700755515,6304229.087588832,False,False,False
2.0,690,14355.31224414874,14355.31224414874,0.7284199962435245,49.2544812289183,32.07254727638564,26.992571501411067,6725866.2061907975,6423594.812545682,False,False,False
2.0,720,14395.312244148521,14395.312244148521,0.7304496838848684,48.65796366408712,31.875957691800682,25.922205719190163,6761672.437443415,6488012.125717673,False,False,False
2.0,750,14395.312244148521,14395.312244148521,0.7304496838848684,47.64178944965101,31.68821191028227,24.031684415899186,6784239.280691456,6517312.441360105,False,False,False
