chainage_m,route_z30,route_z32,route_z64
13500.0,2146.7505,2154.992,2154.042969
13510.0,2146.7505,2154.992,2154.042969
13520.0,2146.7505,2154.992,2154.042969
13530.0,2149.2888,2157.9924,2154.042969
13540.0,2149.2888,2157.9924,2154.042969
13550.0,2149.2888,2157.9924,2154.042969
13560.0,2150.7798,2160.5408,2153.944092
13570.0,2150.7798,2160.5408,2153.944092
13580.0,2150.7798,2160.5408,2153.944092
13590.0,2149.8848,2162.0977,2153.944092
13600.0,2149.8848,2142.7505,2153.944092
13610.0,2149.8848,2142.7505,2153.944092
13620.0,2150.4148,2141.8455,2155.265625
13630.0,2150.4148,2141.8455,2155.265625
13640.0,2150.4148,2141.8455,2155.265625
13650.0,2153.2642,2143.162,2155.265625
13660.0,2153.2642,2143.162,2155.265625
13670.0,2153.2642,2143.162,2155.265625
13680.0,2155.8818,2143.162,2155.265625
13690.0,2155.8818,2145.1995,2159.391357
13700.0,2155.8818,2145.1995,2159.391357
13710.0,2158.8542,2145.1995,2159.391357
13720.0,2158.8542,2148.06,2159.391357
13730.0,2158.8542,2148.06,2159.391357
13740.0,2161.7585,2148.06,2159.391357
13750.0,2161.7585,2150.6194,2163.920898
13760.0,2161.7585,2150.6194,2163.920898
13770.0,2161.455,2150.6194,2163.920898
13780.0,2161.455,2152.3142,2163.920898
13790.0,2161.455,2152.3142,2163.920898
13800.0,2146.3252,2152.3142,2163.920898
13810.0,2146.3252,2157.3503,2171.993896
13820.0,2146.3252,2157.3503,2171.993896
13830.0,2152.9277,2157.3503,2171.993896
13840.0,2152.9277,2157.3503,2171.993896
13850.0,2152.9277,2165.4875,2171.993896
13860.0,2160.1147,2165.4875,2171.993896
13870.0,2160.1147,2165.4875,2171.993896
13880.0,2160.1147,2169.6099,2176.979004
13890.0,2161.4065,2169.6099,2176.979004
13900.0,2161.4065,2169.6099,2176.979004
13910.0,2161.4065,2163.7837,2176.979004
13920.0,2154.481,2163.7837,2176.979004
13930.0,2154.481,2163.7837,2176.979004
13940.0,2154.481,2153.9622,2159.205078
13950.0,2146.7556,2153.9622,2159.205078
13960.0,2146.7556,2153.9622,2159.205078
13970.0,2146.7556,2149.058,2159.205078
13980.0,2144.0369,2149.058,2159.205078
13990.0,2144.0369,2149.058,2159.205078
14000.0,2144.0369,2149.058,2159.205078
14010.0,2144.0686,2147.794,2151.144287
14020.0,2144.0686,2147.794,2151.144287
14030.0,2144.0686,2147.794,2151.144287
14040.0,2141.6511,2144.1555,2151.144287
14050.0,2141.6511,2144.1555,2151.144287
14060.0,2141.6511,2143.331,2148.309326
14070.0,2138.7183,2142.615,2149.625
14080.0,2138.7183,2142.615,2149.625
14090.0,2138.7183,2142.615,2149.625
14100.0,2135.638,2142.1777,2149.625
14110.0,2135.638,2142.1777,2149.625
14120.0,2135.638,2142.1777,2149.625
14130.0,2131.9849,2140.3567,2149.125732
14140.0,2131.9849,2140.3567,2149.125732
14150.0,2131.9849,2140.3567,2149.125732
14160.0,2130.3289,2140.3567,2149.125732
14170.0,2130.3289,2138.7664,2149.125732
14180.0,2130.3289,2138.7664,2149.125732
14190.0,2130.7407,2138.7664,2149.125732
14200.0,2130.7407,2137.754,2144.72876
14210.0,2130.7407,2137.754,2144.72876
14220.0,2132.3198,2137.754,2144.72876
14230.0,2132.3198,2138.055,2144.72876
14240.0,2140.2917,2138.055,2144.72876
14250.0,2140.8005,2138.055,2144.72876
14260.0,2140.8005,2140.739,2145.358154
14270.0,2140.8005,2140.739,2145.358154
14280.0,2143.3274,2140.739,2145.358154
14290.0,2143.3274,2140.739,2145.358154
14300.0,2143.3274,2143.8323,2145.358154
14310.0,2145.0444,2143.8323,2145.358154
14320.0,2145.0444,2143.8323,2145.358154
14330.0,2145.0444,2146.8909,2151.718018
14340.0,2148.2124,2146.8909,2151.718018
14350.0,2148.2124,2146.8909,2151.718018
14360.0,2148.2124,2153.7703,2151.718018
14370.0,2154.905,2153.7703,2151.718018
14380.0,2154.905,2153.7703,2151.718018
14390.0,2154.905,2151.288,2152.547119
14400.0,2154.905,2159.812,2163.228027
14410.0,2149.9292,2159.812,2163.228027
14420.0,2155.6301,2159.812,2163.228027
14430.0,2155.6301,2155.3337,2163.228027
14440.0,2155.6301,2155.3337,2163.228027
14450.0,2155.6301,2162.8853,2163.228027
14460.0,2161.817,2162.8853,2163.228027
14470.0,2161.817,2162.8853,2163.228027
14480.0,2161.817,2166.913,2175.796387
14490.0,2161.817,2171.9578,2174.341797
14500.0,2172.346,2171.9578,2174.341797
14510.0,2172.346,2171.9578,2174.341797
14520.0,2172.346,2171.9578,2174.341797
14530.0,2172.346,2170.0981,2174.341797
14540.0,2172.058,2170.0981,2174.341797
14550.0,2172.058,2170.0981,2174.341797
14560.0,2172.058,2170.0981,2174.341797
14570.0,2171.8557,2160.9434,2171.33374
