chainage_m,x,y,z30,z32,z64
13500.0,344391.536199632,3133712.306241863,2146.7505,2154.992,2154.042969
13510.0,344392.22424991126,3133702.329940604,2146.7505,2154.992,2154.042969
13520.0,344392.91230019054,3133692.3536393447,2146.7505,2154.992,2154.042969
13530.0,344393.60035046976,3133682.377338086,2149.2888,2157.9924,2154.042969
13540.0,344394.28840074904,3133672.4010368264,2149.2888,2157.9924,2154.042969
13550.0,344394.9764510283,3133662.4247355675,2149.2888,2157.9924,2154.042969
13560.0,344395.6645013076,3133652.448434308,2150.7798,2160.5408,2153.944092
13570.0,344396.35255158687,3133642.4721330493,2150.7798,2160.5408,2153.944092
13580.0,344397.04060186615,3133632.49583179,2150.7798,2160.5408,2153.944092
13590.0,344397.7286521454,3133622.519530531,2149.8848,2162.0977,2153.944092
13600.0,344398.4167024247,3133612.5432292717,2149.8848,2142.7505,2153.944092
13610.0,344399.104752704,3133602.5669280128,2149.8848,2142.7505,2153.944092
13620.0,344399.79280298325,3133592.5906267534,2150.4148,2141.8455,2155.265625
13630.0,344400.48085326253,3133582.6143254945,2150.4148,2141.8455,2155.265625
13640.0,344401.1689035418,3133572.638024235,2150.4148,2141.8455,2155.265625
13650.0,344401.8569538211,3133562.6617229762,2153.2642,2143.162,2155.265625
13660.0,344402.54500410036,3133552.685421717,2153.2642,2143.162,2155.265625
13670.0,344403.23305437964,3133542.7091204575,2153.2642,2143.162,2155.265625
13680.0,344403.9211046589,3133532.7328191986,2155.8818,2143.162,2155.265625
13690.0,344404.6091549382,3133522.7565179393,2155.8818,2145.1995,2159.391357
13700.0,344405.2972052174,3133512.7802166804,2155.8818,2145.1995,2159.391357
13710.0,344405.9852554967,3133502.803915421,2158.8542,2145.1995,2159.391357
13720.0,344406.67330577597,3133492.827614162,2158.8542,2148.06,2159.391357
13730.0,344407.36135605525,3133482.8513129028,2158.8542,2148.06,2159.391357
13740.0,344408.0494063345,3133472.875011644,2161.7585,2148.06,2159.391357
13750.0,344408.7374566138,3133462.8987103845,2161.7585,2150.6194,2163.920898
13760.0,344409.4255068931,3133452.9224091256,2161.7585,2150.6194,2163.920898
13770.0,344410.11355717236,3133442.9461078662,2161.455,2150.6194,2163.920898
13780.0,344410.80160745163,3133432.9698066073,2161.455,2152.3142,2163.920898
13790.0,344411.4896577309,3133422.993505348,2161.455,2152.3142,2163.920898
13800.0,344412.1777080102,3133413.017204089,2146.3252,2152.3142,2163.920898
13810.0,344412.86575828947,3133403.0409028297,2146.3252,2157.3503,2171.993896
13820.0,344413.55380856874,3133393.0646015704,2146.3252,2157.3503,2171.993896
13830.0,344414.241858848,3133383.0883003115,2152.9277,2157.3503,2171.993896
