order,extension_chainage_m,x,y,terrain_z_m,adverse_rise_m,signed_downstream_projection_m
0,0.0,340814.0,3129212.0,1801.428833,0.0,97.72406893132248
1,64.0,340814.0,3129148.0,1796.681152,0.0,126.2226218795602
2,128.0,340814.0,3129084.0,1802.448975,5.7678229999999076,154.72117482779788
3,192.0,340814.0,3129020.0,1800.344727,3.6635749999998097,183.2197277760356
4,256.0,340814.0,3128956.0,1795.493042,0.0,211.7182807242733
5,320.0,340814.0,3128892.0,1787.657349,0.0,240.21683367251103
6,384.0,340814.0,3128828.0,1777.250854,0.0,268.71538662074875
7,448.0,340814.0,3128764.0,1775.689697,0.0,297.21393956898646
8,538.5096679918781,340878.0,3128700.0,1776.140869,0.4511720000000423,268.40775903161676
9,629.0193359837563,340814.0,3128636.0,1772.450195,0.0,354.2110454654619
10,719.5290039756344,340750.0,3128572.0,1786.102295,13.652100000000019,440.01433189930697
11,783.5290039756344,340750.0,3128508.0,1784.460815,12.010620000000017,468.5128848475447
12,847.5290039756344,340750.0,3128444.0,1786.371948,13.92175300000008,497.0114377957824
13,911.5290039756344,340750.0,3128380.0,1778.986816,6.536621000000196,525.5099907440201
14,975.5290039756344,340750.0,3128316.0,1772.158813,0.0,554.0085436922577
15,1039.5290039756344,340750.0,3128252.0,1772.143921,0.0,582.5070966404955
16,1103.5290039756344,340750.0,3128188.0,1775.399414,3.2554929999998876,611.0056495887331
17,1194.0386719675125,340814.0,3128124.0,1779.081299,6.937377999999853,582.1994690513635
18,1284.5483399593907,340750.0,3128060.0,1780.517212,8.373290999999881,668.0027554852086
19,1348.5483399593907,340750.0,3127996.0,1784.111084,11.9671629999998,696.5013084334464
20,1439.0580079512688,340686.0,3127932.0,1776.566895,4.42297399999984,782.3045948672915
21,1503.0580079512688,340686.0,3127868.0,1769.725098,0.0,810.8031478155292
22,1567.0580079512688,340686.0,3127804.0,1763.921509,0.0,839.3017007637669
23,1657.567675943147,340622.0,3127740.0,1758.360718,0.0,925.104987197612
24,1748.077343935025,340558.0,3127676.0,1755.198364,0.0,1010.9082736314571
25,1838.5870119269032,340494.0,3127612.0,1753.366089,0.0,1096.711560065302
26,1929.0966799187813,340430.0,3127548.0,1749.96228,0.0,1182.514846499147
27,2019.6063479106595,340366.0,3127484.0,1730.954102,0.0,1268.3181329329923
28,2083.6063479106597,340366.0,3127420.0,1724.932617,0.0,1296.81668588123
29,2147.6063479106597,340366.0,3127356.0,1724.118042,0.0,1325.3152388294677
30,2238.1160159025376,340302.0,3127292.0,1725.14502,1.0269779999998718,1411.1185252633127
31,2328.6256838944155,340238.0,3127228.0,1727.047119,2.9290770000000066,1496.9218116971579
