order,x,y,chainage_m,distance_to_route_m,terrain_z,adverse_rise_m
0,344427.0,3133225.0,13995.611321881046,7.259690155249198,2144.036865234375,0.0
1,344427.0,3133195.0,14015.611321881017,2.9168822014651,2144.068603515625,0.03173828125
2,344427.0,3133165.0,14055.611321880959,7.515488348293361,2141.651123046875,0.0
3,344427.0,3133135.0,14075.61132188093,5.148486210150674,2138.71826171875,0.0
4,344427.0,3133105.0,14115.611321881335,9.715359793459319,2135.637939453125,0.0
5,344397.0,3133075.0,14135.611321881306,38.40311274707199,2134.9541015625,0.0
6,344397.0,3133045.0,14175.611321881242,41.56584395470625,2133.877197265625,0.0
7,344397.0,3133015.0,14195.611321881213,42.52938103646807,2134.4296875,0.552490234375
8,344397.0,3132985.0,14235.611321881155,45.62428639080266,2135.3212890625,1.444091796875
9,344427.0,3132955.0,14255.611321881126,16.889646434691223,2136.059326171875,2.18212890625
10,344427.0,3132925.0,14295.611321881068,20.319013000265723,2141.002197265625,7.125
11,344427.0,3132895.0,14315.611321881033,20.970541540430716,2144.667724609375,10.79052734375
12,344427.0,3132865.0,14375.312244148816,21.89874869462748,2147.8681640625,13.990966796875
13,344397.0,3132835.0,14415.312244148598,21.109470072605486,2149.92919921875,16.052001953125
14,344397.0,3132805.0,14435.312244148674,4.64884631265704,2155.630126953125,21.7529296875
15,344367.0,3132775.0,14475.312244148785,2.3187532309313346,2161.81689453125,27.939697265625
16,344337.0,3132745.0,14515.312244148608,0.9572692267882208,2172.345947265625,38.46875
17,344337.0,3132715.0,14553.820973961103,9.2952998024292,2172.05810546875,38.180908203125
18,344337.0,3132685.0,14573.820973961103,7.334515941079748,2171.855712890625,37.978515625
19,344307.0,3132655.0,14613.820973961103,24.40334482025373,2149.03076171875,15.153564453125
20,344307.0,3132625.0,14633.820973961103,23.72584590882098,2150.54052734375,16.663330078125
21,344307.0,3132595.0,14673.820973961103,24.40334482025373,2148.847900390625,14.970703125
22,344307.0,3132565.0,14693.820973961103,23.72584590882098,2140.777099609375,6.89990234375
23,344307.0,3132535.0,14753.422714979662,22.8706969635074,2133.440673828125,0.0
24,344307.0,3132505.0,14773.422714979764,7.373866626330714,2128.22119140625,0.0
25,344277.0,3132475.0,14813.422714979622,5.707322110439796,2125.919677734375,0.0
26,344247.0,3132445.0,14853.42271497948,5.594516866191547,2123.880859375,0.0
27,344217.0,3132415.0,14893.422714979723,7.109795278928464,2119.86962890625,0.0
28,344187.0,3132385.0,14933.42271497958,9.503958937735666,2118.716796875,0.0
29,344157.0,3132355.0,14973.422714979784,12.273009358769727,2109.178466796875,0.0
30,344127.0,3132325.0,15013.422714979642,15.213604391820434,2101.2666015625,0.0
31,344097.0,3132295.0,15053.4227149795,18.24297769295277,2106.48681640625,5.22021484375
32,344097.0,3132265.0,15093.422714979704,9.549271425257087,2104.58544921875,3.31884765625
33,344067.0,3132235.0,15133.422714979562,6.505331792069944,2107.2724609375,6.005859375
34,344037.0,3132205.0,15173.422714979804,3.7383920800013373,2099.135986328125,0.0
35,344007.0,3132175.0,15213.422714979662,2.4813878382080032,2096.1669921875,0.0
36,343977.0,3132145.0,15253.42271497952,4.343325052051954,2093.76025390625,0.0
37,343947.0,3132115.0,15293.422714979724,7.217834582337765,2086.076904296875,0.0
38,343917.0,3132085.0,15333.422714979582,10.288599333759823,2081.01171875,0.0
39,343887.0,3132055.0,15373.422714979786,13.42158310665098,2083.637451171875,2.625732421875
40,343857.0,3132025.0,15433.422714979746,15.976108788690976,2079.048828125,0.0
41,343827.0,3131995.0,15473.422714979642,16.604276295826192,2073.576416015625,0.0
42,343797.0,3131965.0,15513.4227149795,17.795881749240056,2068.708251953125,0.0
