time_s,chainage_start_m,chainage_end_m,erodible_cell_count,touched_by_flow_count,bdif_gt_001_count,bdif_gt_05_count,bdif_gt_1_count,bdif_gt_2_count,bdif_gt_3_count,bdif_gt_35_count,ratio_ge_025_fraction,ratio_ge_050_fraction,ratio_ge_075_fraction,ratio_ge_090_fraction,median_bdif_m,p90_bdif_m,p99_bdif_m,max_bdif_m,bed_difference_state_integral_m3
300.0,0,5000,230,32,11,11,7,6,3,0,0.043478260869565216,0.030434782608695653,0.02608695652173913,0.0,0.0,0.0,3.212473241764387,3.381996257840823,101534.19889270604
300.0,5000,10000,191,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.0,10000,14500,152,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.0,14500,16770,69,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.0,16770,19707.466,126,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.0,0,5000,230,28,9,9,6,5,3,3,0.034782608695652174,0.02608695652173913,0.021739130434782608,0.013043478260869565,0.0,0.0,3.710000000000008,4.0,93100.32604037735
420.0,5000,10000,191,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.0,10000,14500,152,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.0,14500,16770,69,3,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0463439388184411,0.06304651921805286,551.9520131183951
420.0,16770,19707.466,126,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.0,0,5000,230,26,8,8,6,5,3,3,0.030434782608695653,0.02608695652173913,0.021739130434782608,0.013043478260869565,0.0,0.0,3.710000000000008,4.0,89004.32604037735
540.0,5000,10000,191,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.0,10000,14500,152,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.0,14500,16770,69,5,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7116253697441568,0.7390455835120783,12676.139473834239
540.0,16770,19707.466,126,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,0,5000,230,26,8,8,6,5,3,3,0.030434782608695653,0.02608695652173913,0.021739130434782608,0.013043478260869565,0.0,0.0,3.710000000000008,4.0,89004.32604037735
600.0,5000,10000,191,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,10000,14500,152,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,14500,16770,69,4,4,4,2,0,0,0,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,1.2238259700370926,1.425926416994846,17207.760192272188
600.0,16770,19707.466,126,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660.0,0,5000,230,24,7,7,6,5,3,3,0.030434782608695653,0.02608695652173913,0.021739130434782608,0.013043478260869565,0.0,0.0,3.710000000000008,4.0,86016.0
660.0,5000,10000,191,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660.0,10000,14500,152,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660.0,14500,16770,69,3,3,3,2,0,0,0,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,1.0864076133171447,1.26449446793245,13310.951343985249
660.0,16770,19707.466,126,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
