case,V_m3,section,chainage_m,depth_threshold_m,arrival_s
V2,2000000.0,R0,0.0,0.001,30.0
V2,2000000.0,R0,0.0,0.05,30.0
V2,2000000.0,R0,0.0,0.1,30.0
V2,2000000.0,R0,0.0,0.2,30.0
V2,2000000.0,R1,4926.866477505887,0.001,240.0
V2,2000000.0,R1,4926.866477505887,0.05,240.0
V2,2000000.0,R1,4926.866477505887,0.1,240.0
V2,2000000.0,R1,4926.866477505887,0.2,240.0
V2,2000000.0,R2,9853.732955011774,0.001,390.0
V2,2000000.0,R2,9853.732955011774,0.05,390.0
V2,2000000.0,R2,9853.732955011774,0.1,390.0
V2,2000000.0,R2,9853.732955011774,0.2,390.0
V2,2000000.0,R3,14780.599432517662,0.001,
V2,2000000.0,R3,14780.599432517662,0.05,
V2,2000000.0,R3,14780.599432517662,0.1,
V2,2000000.0,R3,14780.599432517662,0.2,
V2,2000000.0,R4,19707.465910023548,0.001,
V2,2000000.0,R4,19707.465910023548,0.05,
V2,2000000.0,R4,19707.465910023548,0.1,
V2,2000000.0,R4,19707.465910023548,0.2,
V4,4000000.0,R0,0.0,0.001,30.0
V4,4000000.0,R0,0.0,0.05,30.0
V4,4000000.0,R0,0.0,0.1,30.0
V4,4000000.0,R0,0.0,0.2,30.0
V4,4000000.0,R1,4926.866477505887,0.001,180.0
V4,4000000.0,R1,4926.866477505887,0.05,180.0
V4,4000000.0,R1,4926.866477505887,0.1,180.0
V4,4000000.0,R1,4926.866477505887,0.2,180.0
V4,4000000.0,R2,9853.732955011774,0.001,300.0
V4,4000000.0,R2,9853.732955011774,0.05,330.0
V4,4000000.0,R2,9853.732955011774,0.1,330.0
V4,4000000.0,R2,9853.732955011774,0.2,330.0
V4,4000000.0,R3,14780.599432517662,0.001,660.0
V4,4000000.0,R3,14780.599432517662,0.05,660.0
V4,4000000.0,R3,14780.599432517662,0.1,660.0
V4,4000000.0,R3,14780.599432517662,0.2,660.0
V4,4000000.0,R4,19707.465910023548,0.001,
V4,4000000.0,R4,19707.465910023548,0.05,
V4,4000000.0,R4,19707.465910023548,0.1,
V4,4000000.0,R4,19707.465910023548,0.2,
V6,6000000.0,R0,0.0,0.001,30.0
V6,6000000.0,R0,0.0,0.05,30.0
V6,6000000.0,R0,0.0,0.1,30.0
V6,6000000.0,R0,0.0,0.2,30.0
V6,6000000.0,R1,4926.866477505887,0.001,180.0
V6,6000000.0,R1,4926.866477505887,0.05,180.0
V6,6000000.0,R1,4926.866477505887,0.1,180.0
V6,6000000.0,R1,4926.866477505887,0.2,180.0
V6,6000000.0,R2,9853.732955011774,0.001,300.0
V6,6000000.0,R2,9853.732955011774,0.05,300.0
V6,6000000.0,R2,9853.732955011774,0.1,300.0
V6,6000000.0,R2,9853.732955011774,0.2,300.0
V6,6000000.0,R3,14780.599432517662,0.001,450.0
V6,6000000.0,R3,14780.599432517662,0.05,480.0
V6,6000000.0,R3,14780.599432517662,0.1,480.0
V6,6000000.0,R3,14780.599432517662,0.2,480.0
V6,6000000.0,R4,19707.465910023548,0.001,
V6,6000000.0,R4,19707.465910023548,0.05,
V6,6000000.0,R4,19707.465910023548,0.1,
V6,6000000.0,R4,19707.465910023548,0.2,
V10,10000000.0,R0,0.0,0.001,30.0
V10,10000000.0,R0,0.0,0.05,30.0
V10,10000000.0,R0,0.0,0.1,30.0
V10,10000000.0,R0,0.0,0.2,30.0
V10,10000000.0,R1,4926.866477505887,0.001,150.0
V10,10000000.0,R1,4926.866477505887,0.05,150.0
V10,10000000.0,R1,4926.866477505887,0.1,150.0
V10,10000000.0,R1,4926.866477505887,0.2,150.0
V10,10000000.0,R2,9853.732955011774,0.001,270.0
V10,10000000.0,R2,9853.732955011774,0.05,270.0
V10,10000000.0,R2,9853.732955011774,0.1,270.0
V10,10000000.0,R2,9853.732955011774,0.2,270.0
V10,10000000.0,R3,14780.599432517662,0.001,420.0
V10,10000000.0,R3,14780.599432517662,0.05,420.0
V10,10000000.0,R3,14780.599432517662,0.1,420.0
V10,10000000.0,R3,14780.599432517662,0.2,420.0
V10,10000000.0,R4,19707.465910023548,0.001,
V10,10000000.0,R4,19707.465910023548,0.05,
V10,10000000.0,R4,19707.465910023548,0.1,
V10,10000000.0,R4,19707.465910023548,0.2,
