case,V_m3,time_s,instantaneous_reach_m,historical_reach_m,historical_fraction,max_depth_m,global_max_speed_ms,P99_wet_speed_ms,wet_volume_m3,bdif_state_integral_m3,local_sill_crossed,R3_reached,R4_reached_h010,source_injected_analytic_m3
V2,2000000.0,90,1888.3721406971122,1888.3721406971122,0.09582013990630091,15.88540438359869,35.253090840634975,34.6852205772275,2253911.6056074994,260708.740142842,False,False,False,2000000.0
V2,2000000.0,180,3907.457947973987,3907.457947973987,0.19827297765293042,17.15025204680207,36.35365128057303,35.3192698007829,2759816.755183628,793504.0348112351,False,False,False,2000000.0
V2,2000000.0,300,7600.225458078729,7600.225458078729,0.3856520920943533,20.14296981766888,41.543032952199056,39.61601215538396,4038339.804524333,2369611.8393208906,False,False,False,2000000.0
V2,2000000.0,420,11237.313119347911,11237.313119347911,0.5702058890094248,13.69375491608506,40.73236408170307,38.138535656268154,5443107.210585438,4460839.547333217,False,False,False,2000000.0
V2,2000000.0,540,12996.563800161372,12996.563800161372,0.6594741231317367,40.52047383687719,34.74730510488791,30.748907845938696,6415962.175899215,5844513.398582726,False,False,False,2000000.0
V2,2000000.0,600,13775.611321880913,13775.611321880913,0.6990047013032967,48.23752895548542,31.017472248079105,27.550542416360724,6637708.259265273,6148707.950787442,False,False,False,2000000.0
V2,2000000.0,660,14295.611321881068,14295.611321881068,0.7253906406409197,49.42364709731462,31.560654081716933,27.582791508878998,6769214.822828077,6407628.460463647,False,False,False,2000000.0
V2,2000000.0,690,14395.312244148521,14395.312244148521,0.7304496838848684,49.05077573258195,31.9037604175129,26.715556677753003,6817323.218888819,6489846.1494089635,False,False,False,2000000.0
V2,2000000.0,720,14395.312244148521,14395.312244148521,0.7304496838848684,48.37390650866018,31.83372075439796,25.740234050912857,6841636.28075256,6560318.246102916,False,False,False,2000000.0
V2,2000000.0,750,14395.312244148521,14395.312244148521,0.7304496838848684,47.77031214982341,31.617418149378512,24.061713234155256,6857539.580182378,6592386.495898684,False,False,False,2000000.0
V2,2000000.0,780,14435.312244148674,14435.312244148674,0.7324793715262312,46.89907301947367,30.185623207226985,21.61547147238924,6867405.0982398335,6615543.819104724,False,False,False,2000000.0
V2,2000000.0,810,14435.312244148674,14435.312244148674,0.7324793715262312,46.00286012583202,29.855956082667543,21.999137331869022,6868920.928785325,6613595.227559031,False,False,False,2000000.0
