s_m,x,y,elevation_m,slope_local,slope_100m,slope_250m,slope_500m,valley_width_m,cross_valley_relief_m,river_vector_offset_m,bend_angle_deg
0.0,333893.8,3143368.5,2750.2364,0.08584512905210318,0.006461191551461525,-0.02738946637555637,0.0008039047424936144,128.0,162.01273836996688,159.80504404738173,nan
32.0,333916.42741699796,3143345.872583002,2752.983444129667,-0.024410339698789585,-0.06683126183943608,-0.04237718440895238,0.005590223179542139,96.0,163.94316707655844,143.16931650822386,0.0
64.0,333939.05483399594,3143323.245166004,2748.6741382592772,-0.17616350783903556,-0.06561415373534146,-0.0633306390030099,-0.007444233690577652,96.0,166.43548585478084,132.30742335874564,0.0
96.0,333961.6822509939,3143300.617749006,2741.708979627969,-0.020835136802361376,-0.06089679314699424,-0.02531449300085324,-0.020145909341621613,96.0,171.78078191592977,128.689764015203,0.0
128.0,333984.3096679919,3143277.9903320083,2747.340689503926,0.0232108554992152,-0.054908956928779847,0.0021198855367820213,-0.022235615164517084,96.0,163.99720417510616,130.9774278569757,0.0
160.0,334006.93708498986,3143255.36291501,2743.1944743799186,-0.14974263116585007,-0.021424072143881857,-0.0029729971109572944,-0.019634348922614307,64.0,183.26290471380526,133.6025914926769,15.09633807930812
192.0,334021.8,3143229.519335984,2737.7571611093117,0.033744323896762296,0.03346574236508332,-0.002316964355904929,-0.020485367650603804,64.0,183.8252349821464,143.70224335765843,29.903661920470775
224.0,334021.8,3143197.519335984,2745.3541111093114,0.21645744137137513,0.1093491447274073,0.002399389705862632,-0.0292691653811387,96.0,170.34152322040245,168.10966196312734,15.096338079446705
256.0,334029.5645019878,3143168.735498012,2751.6104373570797,0.10164751261274318,0.08036742746960499,-0.02074858372295239,-0.031379467520465366,128.0,167.73398646248825,185.04259233931586,29.90366192092176
288.0,334052.1919189858,3143146.1080810144,2751.859551916527,-0.07227376376572181,-0.03681030441596249,-0.0017684145383245777,-0.029932879700242665,96.0,173.31511142440513,187.66775597466187,0.0
320.0,334074.8193359837,3143123.480664016,2746.9849164760735,-0.14768543083929586,-0.0971075000902556,0.010334402777740252,-0.016202022815044983,128.0,158.39069115819893,190.2929196104007,23.19859051341623
352.0,334085.8,3143096.0290039754,2742.407684342812,-0.08260284583220567,-0.07690730461574731,-0.04041650524651595,0.0008104762553912224,128.0,142.98836492013743,204.12981559016237,21.80140948628899
384.0,334085.8,3143064.0290039754,2741.6983343428124,-0.0016993130016160762,-0.03456798900177091,-0.06640290155182448,-0.0014445837544144525,160.0,131.9196730165886,228.53723419563127,23.19859051358894
416.0,334097.4467529817,3143036.853247018,2742.2989283107086,-0.012097657949233565,-0.04331060839327165,-0.055756667726031085,0.0074943109399191596,160.0,144.0075957568888,241.73292045703968,21.801409486779527
448.0,334120.07416997966,3143014.2258300204,2740.9240842340614,-0.1091986430191767,-0.06822902376332877,-0.028439460861269254,0.014045681650987718,192.0,166.0647992472086,244.35808409238567,0.0
480.0,334142.70158697764,3142991.5984130222,2735.3102151574813,-0.09249513015620892,-0.05166767221337978,0.004952284524959396,0.001331944010080406,192.0,168.7954296904436,246.98324772808687,0.0
512.0,334165.3290039756,3142968.9709960246,2735.004395904064,0.037617988103505695,0.003224067223181919,0.01720043266632092,-0.008143215951519778,224.0,162.69390285127838,249.60841136343285,0.0
544.0,334187.9564209736,3142946.3435790264,2737.7177663961056,0.0721924372512035,0.06902835978905841,0.014848519816237967,-0.01588694995244259,256.0,153.51296999545184,252.233574999134,0.0
576.0,334210.58383797156,3142923.7161620283,2739.624711888141,0.09797778233738086,0.09079444388859884,0.023393767471130558,-0.015100675643328032,256.0,143.102074389657,254.85873863483516,0.0
608.0,334233.21125496953,3142901.0887450306,2743.988344465698,0.1038094095102764,0.07476657173586773,0.048064147622779274,-0.005586287253299816,224.0,132.91452806434927,257.48390227018115,0.0
640.0,334255.8386719675,3142878.4613280324,2746.2685140967988,0.028966487309808997,0.04559173409358664,0.04939175726210124,-0.0013183391904340168,256.0,124.77029823369821,260.1090659058824,0.0
672.0,334278.4660889655,3142855.8339110347,2745.8421996535258,0.0003048061753929687,0.019287263468777384,0.018287173536946283,-0.0017831051747161837,256.0,114.39159035732291,262.73422954122833,0.0
704.0,334301.09350596345,3142833.2064940366,2746.288021692024,0.024372173078155868,0.014470692546756253,-0.007379776827980094,0.0017368189524413539,288.0,113.03137008690692,265.3593931769296,0.0
736.0,334323.7209229614,3142810.5790770384,2747.4020187305277,0.020935427393702355,-0.01611839000148393,-0.018106828609807054,0.009795064271659612,256.0,135.12041638676465,267.98455681263073,8.588320531516093
768.0,334348.23232405685,3142792.5,2747.627889045221,-0.08542858883292581,-0.07165742715932083,-0.019715157569857183,0.0077756369275903126,256.0,155.27931809076244,265.9221562062046,36.41167946870496
800.0,334380.23232405685,3142792.5,2741.9345890452205,-0.15353937818842667,-0.08536274402044455,-0.019075218292624412,0.00013690029242752644,224.0,174.94911997068175,245.22727961760395,0.0
832.0,334412.23232405685,3142792.5,2737.8013688411615,-0.03227062818841375,-0.043799118018491755,-0.02276759927409694,-0.005233757558572506,224.0,180.38055960997735,224.53240302900335,0.0
864.0,334444.23232405685,3142792.5,2739.869268841162,0.056974538950278486,0.011150247530340494,-0.02932691405693913,-0.007918813586206852,224.0,178.96450960997754,203.8375264404027,0.0
896.0,334476.23232405685,3142792.5,2741.4477393339794,0.018930007700262763,0.02138709267432205,-0.031064169616498476,-0.0098454599328943,224.0,177.4277932308737,183.14264985180208,0.0
928.0,334508.23232405685,3142792.5,2741.080789333979,-0.012289287510689917,-0.0025226849847422273,-0.014126304566056206,-0.010907650944102898,224.0,180.08951641456952,162.44777326320147,0.0
960.0,334540.23232405685,3142792.5,2740.661224933295,-0.016379131260677582,-0.016919031898073627,-0.000705156679103311,-0.010914198661287629,224.0,187.74927573399918,141.75289667460086,0.0
992.0,334572.23232405685,3142792.5,2740.0325249332955,-0.02196869900343046,-0.024114735866041882,0.0029774575463106883,-0.010735110734452973,224.0,186.83427573399877,121.05802008600023,0.0
